o,t,c,ch,h,l,mb,mv,ra,se,va,vo
21050,021529,21100,-200,21100,21050,BID,1500,-0.94,15,7898485000,375200
21050,021529,21100,-200,21100,21050,BID,900,-0.94,15,7847845000,372800
21050,021529,21100,-200,21100,21050,BID,1000,-0.94,15,7877385000,374200
21050,021529,21100,-200,21100,21050,BID,900,-0.94,15,7930135000,376700
21050,021529,21100,-200,21100,21050,BID,100,-0.94,15,7845735000,372700
21050,021529,21100,-200,21100,21050,BID,800,-0.94,15,7828855000,371900
21050,021529,21100,-200,21100,21050,BID,500,-0.94,14,7866835000,373700
21050,021529,21100,-200,21100,21050,BID,900,-0.94,11,7809865000,371000
21050,021529,21100,-200,21100,21050,BID,1700,-0.94,9,7773995000,369300
21050,021529,21100,-200,21100,21050,BID,900,-0.94,6,7755005000,368400
21050,021529,21100,-200,21100,21050,BID,400,-0.94,5,7717025000,366600
21050,021529,21100,-200,21100,21050,BID,800,-0.94,5,7676935000,364700
21050,021529,21100,-200,21100,21050,BID,1100,-0.94,5,7693815000,365500
21050,021529,21100,-200,21100,21050,BID,1400,-0.94,5,7725465000,367000
21050,021526,21050,-250,21050,21050,UNKNOWN,364700,-1.17,1,0,0
21050,021611,21200,-100,21200,21050,BID,100,-0.47,13,9187110000,436300
21050,021606,21200,-100,21200,21050,BID,200,-0.47,12,9121390000,433200
21050,021606,21200,-100,21200,21050,BID,1200,-0.47,11,9085350000,431500
21050,021606,21200,-100,21200,21050,BID,2400,-0.47,12,9136230000,433900
21050,021606,21200,-100,21200,21050,BID,500,-0.47,12,9125630000,433400
21050,021606,21200,-100,21200,21050,BID,100,-0.47,11,9119270000,433100
21050,021606,21200,-100,21200,21050,BID,400,-0.47,10,9110790000,432700
21050,021606,21200,-100,21200,21050,BID,2000,-0.47,9,9042950000,429500
21050,021606,21100,-200,21100,21050,BID,200,-0.94,6,9038730000,429300
21050,021606,21100,-200,21100,21050,BID,100,-0.94,4,9036620000,429200
21050,021606,21100,-200,21100,21050,BID,6900,-0.94,4,8891030000,422300
21050,021606,21100,-200,21100,21050,BID,1000,-0.94,4,8869930000,421300
21050,021606,21100,-200,21100,21050,BID,100,-0.94,1,0,394700
21050,021604,21050,-250,21100,21050,ASK,100,-1.17,135400000293,8865715000,421100
21050,021558,21100,-200,21100,21050,BID,200,-0.94,135400000291,8861495000,420900
21050,021557,21100,-200,21100,21050,BID,500,-0.94,135400000290,8850945000,420400
21050,021557,21100,-200,21100,21050,BID,2000,-0.94,135400000289,8808745000,418400
21050,021556,21050,-250,21100,21050,ASK,5000,-1.17,135400000288,8703495000,413400
21050,021554,21050,-250,21100,21050,ASK,13400,-1.17,135400000287,8421425000,400000
21050,021554,21050,-250,21100,21050,ASK,800,-1.17,135400000285,8387745000,398400
21050,021554,21050,-250,21100,21050,ASK,800,-1.17,135400000286,8404585000,399200
21050,021553,21100,-200,21100,21050,BID,300,-0.94,135400000284,8381415000,398100
21050,021552,21100,-200,21100,21050,ASK,900,-0.94,135400000283,8362425000,397200
21050,021550,21100,-200,21100,21050,BID,100,-0.94,135400000282,8360315000,397100
21050,021550,21100,-200,21100,21050,BID,2000,-0.94,135400000281,8318115000,395100
21050,021547,21100,-200,21100,21050,BID,200,-0.94,135400000280,8313895000,394900
21050,021546,21050,-250,21100,21050,ASK,200,-1.17,135400000279,8309685000,394700
21050,021542,21050,-250,21100,21050,ASK,5000,-1.17,20,8204435000,389700
21050,021542,21100,-200,21100,21050,ASK,100,-0.94,20,8202325000,389600
21050,021542,21100,-200,21100,21050,ASK,4900,-0.94,20,8098935000,384700
21050,021534,21100,-200,21100,21050,BID,4100,-0.94,17,7949125000,377600
21050,021534,21100,-200,21100,21050,BID,3000,-0.94,17,8035635000,381700
21050,021645,21050,-250,21250,21050,ASK,100,-1.17,64,11122300000,527800
21050,021644,21100,-200,21250,21050,ASK,700,-0.94,63,11107530000,527100
21050,021644,21250,-50,21250,21050,BID,300,-0.23,62,11101155000,526800
21050,021644,21250,-50,21250,21050,BID,100,-0.23,62,11099030000,526700
21050,021644,21250,-50,21250,21050,BID,4000,-0.23,60,11011905000,522600
21050,021644,21250,-50,21250,21050,BID,100,-0.23,60,11009780000,522500
21050,021644,21200,-100,21200,21050,BID,1100,-0.47,60,10986460000,521400
21050,021644,21250,-50,21250,21050,BID,100,-0.23,60,11096905000,526600
21050,021643,21200,-100,21200,21050,ASK,3900,-0.47,56,10903780000,517500
21050,021643,21200,-100,21200,21050,ASK,1000,-0.47,55,10882580000,516500
21050,021641,21200,-100,21200,21050,ASK,1000,-0.47,54,10861380000,515500
21050,021640,21200,-100,21200,21050,ASK,100,-0.47,53,10859260000,515400
21050,021640,21200,-100,21200,21050,BID,200,-0.47,52,10855020000,515200
21050,021640,21200,-100,21200,21050,BID,200,-0.47,51,10850780000,515000
21050,021640,21200,-100,21200,21050,BID,5000,-0.47,51,10744780000,510000
21050,021640,21200,-100,21200,21050,BID,5000,-0.47,49,10638780000,505000
21050,021640,21200,-100,21200,21050,BID,700,-0.47,49,10623940000,504300
21050,021639,21100,-200,21200,21050,ASK,300,-0.94,47,10617610000,504000
21050,021636,21200,-100,21200,21050,BID,1300,-0.47,46,10590050000,502700
21050,021636,21200,-100,21200,21050,BID,500,-0.47,45,10515850000,499200
21050,021636,21200,-100,21200,21050,BID,3000,-0.47,45,10526450000,499700
21050,021636,21150,-150,21200,21050,BID,1800,-0.7,45,10477780000,497400
21050,021636,21100,-200,21200,21050,BID,2000,-0.94,43,10435580000,495400
21050,021636,21100,-200,21200,21050,BID,1000,-0.94,42,10414480000,494400
21050,021635,21050,-250,21200,21050,ASK,600,-1.17,40,10391300000,493300
21050,021635,21100,-200,21200,21050,BID,500,-0.94,40,10403930000,493900
21050,021633,21100,-200,21200,21050,BID,500,-0.94,38,10380750000,492800
21050,021633,21100,-200,21200,21050,BID,100,-0.94,38,10378640000,492700
21050,021631,21050,-250,21200,21050,ASK,100,-1.17,36,10376535000,492600
21050,021631,21100,-200,21200,21050,BID,10000,-0.94,35,10165535000,482600
21050,021630,21100,-200,21200,21050,BID,5000,-0.94,34,10060035000,477600
21050,021630,21050,-250,21200,21050,ASK,1500,-1.17,33,10028460000,476100
21050,021629,21100,-200,21200,21050,BID,100,-0.94,33,10026350000,476000
21050,021627,21100,-200,21200,21050,BID,500,-0.94,31,10015800000,475500
21050,021625,21100,-200,21200,21050,BID,20000,-0.94,30,9593800000,455500
21050,021624,21050,-250,21200,21050,ASK,1500,-1.17,29,9562225000,454000
21050,021621,21100,-200,21200,21050,ASK,200,-0.94,28,9558005000,453800
21050,021621,21100,-200,21200,21050,ASK,200,-0.94,28,9551675000,453500
21050,021621,21100,-200,21200,21050,ASK,100,-0.94,28,9555895000,453700
21050,021621,21200,-100,21200,21050,ASK,6900,-0.47,28,9405395000,446600
21050,021618,21200,-100,21200,21050,ASK,500,-0.47,24,9394795000,446100
21050,021618,21200,-100,21200,21050,ASK,100,-0.47,24,9392675000,446000
21050,021614,21200,-100,21200,21050,BID,1100,-0.47,21,9343915000,443700
21050,021614,21200,-100,21200,21050,BID,200,-0.47,22,9388435000,445800
21050,021614,21200,-100,21200,21050,BID,200,-0.47,19,9339675000,443500
21050,021614,21200,-100,21200,21050,BID,1000,-0.47,22,9367235000,444800
21050,021614,21200,-100,21200,21050,BID,300,-0.47,20,9333315000,443200
21050,021614,21200,-100,21200,21050,BID,300,-0.47,20,9326955000,442900
21050,021614,21200,-100,21200,21050,BID,4500,-0.47,18,9231555000,438400
21050,021614,21200,-100,21200,21050,BID,500,-0.47,15,9220955000,437900
21050,021614,21150,-150,21200,21050,BID,1500,-0.7,14,9189230000,436400
21050,021715,21250,-50,21250,21050,BID,10000,-0.23,90,11802860000,559900
21050,021715,21200,-100,21250,21050,ASK,200,-0.47,89,11798620000,559700
21050,021711,21200,-100,21250,21050,BID,1200,-0.47,88,11773180000,558500
21050,021710,21200,-100,21250,21050,ASK,800,-0.47,87,11756220000,557700
21050,021709,21200,-100,21250,21050,ASK,600,-0.47,86,11743500000,557100
21050,021708,21200,-100,21250,21050,ASK,600,-0.47,85,11730780000,556500
21050,021707,21100,-200,21250,21050,ASK,500,-0.94,84,11699130000,555000
21050,021707,21100,-200,21250,21050,ASK,1000,-0.94,84,11709680000,555500
21050,021707,21200,-100,21250,21050,ASK,200,-0.47,84,11667330000,553500
