o,t,c,ch,h,l,mb,mv,ra,se,va,vo
26300,021526,26300,-200,26300,26300,UNKNOWN,2300,-0.75,1,0,0
26300,021612,26250,-250,26300,26250,BID,1000,-0.94,1,0,2300
26300,021550,26250,-250,26300,26250,ASK,1000,-0.94,173400000007,60490000,2300
26300,021640,26300,-200,26300,26250,ASK,4000,-0.75,5,252355000,9600
26300,021619,26300,-200,26300,26250,BID,3000,-0.75,4,173455000,6600
26300,021619,26300,-200,26300,26250,BID,1800,-0.75,4,126115000,4800
26300,021619,26250,-250,26300,26250,BID,500,-0.94,4,112990000,4300
26300,021706,26300,-200,26300,26250,ASK,400,-0.75,8,375965000,14300
26300,021706,26300,-200,26300,26250,ASK,600,-0.75,8,360185000,13700
26300,021701,26300,-200,26300,26250,ASK,100,-0.75,6,357555000,13600
26300,021912,26250,-250,26400,26250,BID,1000,-0.94,23,638940000,24300
26300,021911,26250,-250,26400,26250,ASK,2000,-0.94,22,586440000,22300
26300,021911,26250,-250,26400,26250,ASK,1000,-0.94,21,560190000,21300
26300,021911,26300,-200,26400,26250,ASK,500,-0.75,20,520790000,19800
26300,021911,26250,-250,26400,26250,ASK,1000,-0.94,20,533940000,20300
26300,021911,26300,-200,26400,26250,ASK,500,-0.75,19,455040000,17300
26300,021911,26300,-200,26400,26250,ASK,2000,-0.75,19,468190000,17800
26300,021911,26300,-200,26400,26250,ASK,600,-0.75,16,439260000,16700
26300,021911,26350,-150,26400,26250,ASK,500,-0.57,16,426085000,16200
26300,021911,26400,-100,26400,26250,ASK,300,-0.38,14,418165000,15900
26300,021902,26400,-100,26400,26250,BID,200,-0.38,13,399685000,15200
26300,021902,26400,-100,26400,26250,BID,500,-0.38,13,404965000,15400
26300,021829,26400,-100,26400,26250,BID,200,-0.38,11,386485000,14700
26300,021829,26400,-100,26400,26250,BID,100,-0.38,11,391765000,14900
26300,021829,26400,-100,26400,26250,BID,200,-0.38,11,394405000,15000
26300,022034,26200,-300,26400,26200,ASK,500,-1.13,27,730740000,27800
26300,022034,26200,-300,26400,26200,ASK,500,-1.13,27,743840000,28300
26300,022026,26200,-300,26400,26200,ASK,1500,-1.13,25,691440000,26300
26300,021959,26250,-250,26400,26250,BID,1000,-0.94,24,665190000,25300
26300,022110,26250,-250,26400,26200,BID,5000,-0.94,28,756940000,28800
26300,022131,26250,-250,26400,26200,BID,1000,-0.94,30,890815000,33900
26300,022126,26250,-250,26400,26200,BID,100,-0.94,29,888190000,33800
26300,022228,26250,-250,26400,26200,BID,1500,-0.94,31,917065000,34900
26300,022258,26250,-250,26400,26200,BID,1000,-0.94,32,956440000,36400
26300,022404,26250,-250,26400,26200,BID,500,-0.94,34,995815000,37900
26300,022336,26250,-250,26400,26200,BID,500,-0.94,33,982690000,37400
26300,022455,26250,-250,26400,26200,BID,2000,-0.94,37,1043065000,39700
26300,022446,26250,-250,26400,26200,BID,300,-0.94,36,1035190000,39400
26300,022434,26250,-250,26400,26200,BID,1000,-0.94,35,1008940000,38400
26300,022537,26250,-250,26400,26200,BID,1000,-0.94,40,1174315000,44700
26300,022510,26250,-250,26400,26200,BID,2000,-0.94,39,1121815000,42700
26300,022510,26250,-250,26400,26200,BID,1000,-0.94,38,1095565000,41700
26300,022609,26250,-250,26400,26200,BID,100,-0.94,42,1253065000,47700
26300,022558,26250,-250,26400,26200,BID,2000,-0.94,41,1200565000,45700
26300,022800,26250,-250,26400,26200,BID,2400,-0.94,44,1271440000,48400
26300,022800,26250,-250,26400,26200,BID,600,-0.94,44,1255690000,47800
26300,022818,26250,-250,26400,26200,BID,1700,-0.94,46,1360690000,51800
26300,022807,26250,-250,26400,26200,BID,1000,-0.94,45,1334440000,50800
26300,022900,26300,-200,26400,26200,BID,1000,-0.75,47,1405315000,53500
26300,023058,26300,-200,26400,26200,ASK,200,-0.75,50,1444765000,55000
26300,023058,26300,-200,26400,26200,ASK,300,-0.75,49,1436875000,54700
26300,023042,26300,-200,26400,26200,ASK,200,-0.75,48,1431615000,54500
26300,023206,26300,-200,26400,26200,BID,500,-0.75,52,1450025000,55200
26300,023206,26300,-200,26400,26200,BID,1500,-0.75,51,1463175000,55700
26300,023306,26300,-200,26400,26200,ASK,1800,-0.75,55,1534185000,58400
26300,023246,26300,-200,26400,26200,BID,700,-0.75,54,1515775000,57700
26300,023246,26300,-200,26400,26200,BID,500,-0.75,54,1502625000,57200
26300,023322,26300,-200,26400,26200,BID,200,-0.75,56,1581525000,60200
26300,023634,26350,-150,26400,26200,BID,200,-0.57,1,0,60400
26300,023700,26300,-200,26400,26200,ASK,500,-0.75,3,1599945000,60900
26300,023700,26300,-200,26400,26200,ASK,300,-0.75,2,1592055000,60600
26300,023856,26250,-250,26400,26200,ASK,300,-0.94,6,1620985000,61700
26300,023856,26300,-200,26400,26200,ASK,100,-0.75,6,1618355000,61600
26300,023853,26300,-200,26400,26200,BID,200,-0.75,4,1613095000,61400
26300,024022,26300,-200,26400,26200,ASK,200,-0.75,9,1631495000,62100
26300,024022,26250,-250,26400,26200,ASK,300,-0.94,9,1636755000,62300
26300,024012,26350,-150,26400,26200,BID,100,-0.57,7,1628860000,62000
26300,024110,26200,-300,26400,26200,ASK,300,-1.13,11,1663005000,63300
26300,024110,26250,-250,26400,26200,ASK,700,-0.94,11,1644630000,62600
26300,024247,26200,-300,26400,26200,ASK,300,-1.13,12,1670865000,63600
26300,024332,26100,-400,26400,26100,ASK,2500,-1.51,20,1809725000,68900
