o,t,c,ch,h,l,mb,mv,ra,se,va,vo
39750,021527,39750,0,39750,39750,BID,200,0,2,1621800000,40800
39750,021525,39750,0,39750,39750,UNKNOWN,40800,0,1,0,0
39750,021614,39650,-100,39750,39650,BID,200,-0.25,3,1685260000,42400
39750,021614,39650,-100,39750,39650,BID,400,-0.25,3,0,41000
39750,021614,39650,-100,39750,39650,BID,500,-0.25,3,1665435000,41900
39750,021559,39650,-100,39750,39650,BID,300,-0.25,202800000054,1637680000,41200
39750,021556,39650,-100,39750,39650,ASK,100,-0.25,202800000053,1633715000,41100
39750,021556,39650,-100,39750,39650,ASK,100,-0.25,202800000052,1629750000,41000
39750,021654,39750,0,39750,39500,BID,100,0.0,30,2490695000,62700
39750,021654,39750,0,39750,39500,BID,200,0.0,30,2470820000,62200
39750,021654,39750,0,39750,39500,BID,3600,0.0,30,2295920000,57800
39750,021654,39750,0,39750,39500,BID,300,0.0,30,2458895000,61900
39750,021654,39750,0,39750,39500,BID,300,0.0,30,2478770000,62400
39750,021654,39750,0,39750,39500,BID,500,0.0,30,2439020000,61400
39750,021650,39750,0,39750,39500,BID,300,0.0,24,2188595000,55100
39750,021650,39700,-50,39750,39500,BID,500,-0.13,24,2168745000,54600
39750,021650,39750,0,39750,39500,BID,2400,0.0,24,2200520000,55400
39750,021650,39700,-50,39750,39500,BID,100,-0.13,21,2164775000,54500
39750,021649,39600,-150,39750,39500,ASK,900,-0.38,20,2129135000,53600
39750,021644,39650,-100,39750,39500,BID,100,-0.25,19,2053710000,51700
39750,021644,39700,-50,39750,39500,BID,1300,-0.13,19,2077525000,52300
39750,021644,39700,-50,39750,39500,BID,500,-0.13,19,2057675000,51800
39750,021641,39600,-150,39750,39500,ASK,100,-0.38,16,2049750000,51600
39750,021640,39600,-150,39750,39500,BID,100,-0.38,15,2045790000,51500
39750,021638,39600,-150,39750,39500,BID,100,-0.38,14,2041830000,51400
39750,021638,39600,-150,39750,39500,BID,100,-0.38,14,2037870000,51300
39750,021637,39600,-150,39750,39500,BID,3300,-0.38,12,1907190000,48000
39750,021636,39500,-250,39750,39500,ASK,200,-0.63,11,1899290000,47800
39750,021632,39500,-250,39750,39500,ASK,100,-0.63,10,1895340000,47700
39750,021632,39500,-250,39750,39500,ASK,100,-0.63,10,1891390000,47600
39750,021626,39500,-250,39750,39500,ASK,100,-0.63,8,1887440000,47500
39750,021626,39500,-250,39750,39500,ASK,100,-0.63,7,1883490000,47400
39750,021626,39500,-250,39750,39500,ASK,100,-0.63,6,1879540000,47300
39750,021617,39600,-150,39750,39600,ASK,100,-0.38,5,1875580000,47200
39750,021617,39650,-100,39750,39650,ASK,4600,-0.25,5,1693190000,42600
39750,021714,39750,0,39750,39500,BID,100,0.0,41,2590070000,65200
39750,021712,39750,0,39750,39500,ASK,500,0.0,40,2562245000,64500
39750,021712,39750,0,39750,39500,ASK,200,0.0,40,2582120000,65000
39750,021659,39750,0,39750,39500,ASK,200,0.0,38,2554295000,64300
39750,021659,39750,0,39750,39500,BID,100,0.0,37,2518520000,63400
39750,021659,39750,0,39750,39500,BID,100,0.0,37,2546345000,64100
39750,021659,39750,0,39750,39500,BID,500,0.0,37,2522495000,63500
39750,021659,39750,0,39750,39500,BID,100,0.0,37,2542370000,64000
39750,021659,39750,0,39750,39500,BID,400,0.0,37,2494670000,62800
39750,021659,39750,0,39750,39500,BID,100,0.0,37,2550320000,64200
39750,021659,39750,0,39750,39500,BID,200,0.0,37,2510570000,63200
39750,021807,39700,-50,39750,39500,ASK,400,-0.13,44,2609930000,65700
39750,021807,39700,-50,39750,39500,ASK,300,-0.13,44,2598020000,65400
39750,021754,39750,0,39750,39500,BID,100,0.0,42,2594045000,65300
39750,021858,39600,-150,39750,39500,BID,200,-0.38,48,2807970000,70700
39750,021849,39600,-150,39750,39500,ASK,1700,-0.38,47,2740650000,69000
39750,021840,39600,-150,39750,39500,ASK,900,-0.38,46,2705010000,68100
39750,021822,39600,-150,39750,39500,ASK,2000,-0.38,45,2625810000,66100
39750,022018,39600,-150,39750,39500,ASK,1000,-0.38,51,2835690000,71400
39750,021957,39600,-150,39750,39500,BID,200,-0.38,50,2827770000,71200
39750,021957,39600,-150,39750,39500,BID,300,-0.38,50,2815890000,70900
39750,022106,39650,-100,39750,39500,ASK,100,-0.25,56,2914900000,73400
39750,022044,39600,-150,39750,39500,ASK,200,-0.38,55,2906980000,73200
39750,022041,39700,-50,39750,39500,BID,100,-0.13,54,2903010000,73100
39750,022037,39600,-150,39750,39500,ASK,200,-0.38,53,2895090000,72900
39750,022035,39600,-150,39750,39500,ASK,500,-0.38,52,2875290000,72400
39750,022157,39600,-150,39750,39500,ASK,100,-0.38,64,3009990000,75800
39750,022152,39600,-150,39750,39500,ASK,600,-0.38,63,2986230000,75200
39750,022148,39600,-150,39750,39500,ASK,100,-0.38,62,2982270000,75100
39750,022143,39700,-50,39750,39500,BID,300,-0.13,61,2970360000,74800
