o,t,c,ch,h,l,mb,mv,ra,se,va,vo
18800,021528,18800,500,18800,18800,ASK,500,2.73,12,30820720000,1639400
18800,021528,18800,500,18800,18800,ASK,100,2.73,12,30830120000,1639900
18800,021528,18800,500,18800,18800,ASK,5100,2.73,10,30724840000,1634300
18800,021528,18800,500,18800,18800,ASK,200,2.73,9,30721080000,1634100
18800,021528,18800,500,18800,18800,ASK,900,2.73,8,30704160000,1633200
18800,021527,18800,500,18800,18800,ASK,500,2.73,7,30694760000,1632700
18800,021527,18800,500,18800,18800,ASK,4300,2.73,6,30610160000,1628200
18800,021527,18800,500,18800,18800,ASK,200,2.73,6,30691000000,1632500
18800,021527,18800,500,18800,18800,ASK,700,2.73,5,30597000000,1627500
18800,021527,18800,500,18800,18800,ASK,300,2.73,3,30591360000,1627200
18800,021527,18800,500,18800,18800,ASK,200,2.73,3,30587600000,1627000
18800,021527,18800,500,18800,18800,UNKNOWN,1627000,2.73,1,0,0
18600,021612,18600,300,18800,18600,ASK,5000,1.64,19,37210745000,1981500
18600,021611,18700,400,18800,18600,BID,1000,2.19,18,37192045000,1980500
18600,021611,18650,350,18800,18600,BID,2700,1.91,17,37005180000,1970500
18600,021611,18700,400,18800,18600,BID,7300,2.19,17,37055535000,1973200
18600,021610,18650,350,18800,18600,BID,15000,1.91,15,36537065000,1945400
18600,021610,18650,350,18800,18600,BID,10000,1.91,15,36818680000,1960500
18600,021610,18650,350,18800,18600,BID,100,1.91,15,36816815000,1960400
18600,021609,18650,350,18800,18600,BID,8000,1.91,12,36387865000,1937400
18600,021609,18650,350,18800,18600,BID,300,1.91,11,36382270000,1937100
18600,021606,18650,350,18800,18600,BID,7200,1.91,10,36247990000,1929900
18600,021606,18650,350,18800,18600,BID,1000,1.91,9,36229340000,1928900
18600,021606,18650,350,18800,18600,BID,10000,1.91,8,36042840000,1918900
18600,021605,18650,350,18800,18600,BID,200,1.91,7,36039110000,1918700
18600,021605,18650,350,18800,18600,BID,1000,1.91,6,36020460000,1917700
18600,021605,18650,350,18800,18600,BID,10000,1.91,5,35833960000,1907700
18600,021605,18650,350,18800,18600,ASK,20000,1.91,4,35460960000,1887700
18600,021605,18650,350,18800,18600,ASK,4000,1.91,4,35386360000,1883700
18600,021605,18650,350,18800,18600,ASK,10000,1.91,4,35199860000,1873700
18600,021605,18650,350,18800,18600,ASK,500,1.91,4,0,1670300
18800,021604,18700,400,18800,18600,BID,5000,2.19,385200000644,35097035000,1868200
18800,021603,18700,400,18800,18600,BID,200,2.19,385200000643,35093295000,1868000
18800,021603,18700,400,18800,18600,BID,5000,2.19,385200000642,34999795000,1863000
18800,021602,18700,400,18800,18600,BID,100,2.19,385200000641,34997925000,1862900
18800,021602,18700,400,18800,18600,ASK,400,2.19,385200000640,34990445000,1862500
18800,021602,18700,400,18800,18600,ASK,6400,2.19,385200000639,34870765000,1856100
18800,021602,18700,400,18800,18600,ASK,5000,2.19,385200000638,34777265000,1851100
18800,021601,18750,450,18800,18600,BID,300,2.46,385200000636,34720880000,1848100
18800,021601,18800,500,18800,18600,BID,2700,2.73,385200000637,34726505000,1848400
18800,021600,18800,500,18800,18600,BID,8000,2.73,385200000635,34570480000,1840100
18800,021600,18800,500,18800,18600,BID,200,2.73,385200000634,34566720000,1839900
18800,021600,18700,400,18800,18600,BID,7600,2.19,385200000632,34405900000,1831300
18800,021600,18700,400,18800,18600,BID,1000,2.19,385200000633,34548020000,1838900
18800,021559,18650,350,18800,18600,ASK,300,1.91,385200000631,34400305000,1831000
18800,021559,18700,400,18800,18600,BID,100,2.19,385200000630,34398435000,1830900
18800,021558,18700,400,18800,18600,ASK,500,2.19,385200000629,34389085000,1830400
18800,021558,18700,400,18800,18600,ASK,500,2.19,385200000628,34379735000,1829900
18800,021558,18700,400,18800,18600,ASK,1200,2.19,385200000626,34355425000,1828600
18800,021558,18700,400,18800,18600,ASK,100,2.19,385200000627,34377865000,1829800
18800,021555,18800,500,18800,18600,BID,5000,2.73,385200000625,34261425000,1823600
18800,021553,18700,400,18800,18600,BID,1000,2.19,385200000623,34240855000,1822500
