o,t,c,ch,h,l,mb,mv,ra,se,va,vo
24550,021526,24550,50,24550,24550,UNKNOWN,43200,0.2,1,0,0
24550,021727,24550,50,24550,24550,ASK,400,0.2,1,0,43200
24550,021805,24600,100,24600,24550,BID,4800,0.41,4,1080220000,44000
24550,021743,24600,100,24600,24550,BID,100,0.41,3,1077760000,43900
24550,021743,24600,100,24600,24550,BID,300,0.41,2,1070380000,43600
24550,021835,24700,200,24700,24550,BID,300,0.82,11,1555000000,63300
24550,021831,24600,100,24600,24550,BID,4000,0.41,10,1331140000,54200
24550,021831,24600,100,24600,24550,BID,5000,0.41,10,1432000000,58300
24550,021831,24600,100,24600,24550,BID,5000,0.41,10,1205680000,49100
24550,021831,24600,100,24600,24550,BID,100,0.41,10,1328680000,54100
24550,021831,24600,100,24600,24550,BID,100,0.41,10,1429540000,58200
24550,021831,24600,100,24600,24550,BID,300,0.41,10,1198300000,48800
24550,021927,24700,200,24700,24550,BID,100,0.82,13,1567350000,63800
24550,021927,24700,200,24700,24550,BID,200,0.82,13,1562410000,63600
24550,022040,24700,200,24700,24550,BID,100,0.82,18,1626630000,66200
24550,022036,24700,200,24700,24550,BID,300,0.82,17,1619220000,65900
24550,022036,24700,200,24700,24550,BID,1600,0.82,16,1577230000,64200
24550,022036,24700,200,24700,24550,BID,100,0.82,16,1616750000,65800
24550,022021,24700,200,24700,24550,BID,300,0.82,14,1569820000,63900
24550,022113,24700,200,24700,24550,BID,200,0.82,19,1629100000,66300
24550,022206,24700,200,24700,24550,BID,300,0.82,21,1638980000,66700
24550,022203,24700,200,24700,24550,BID,200,0.82,20,1634040000,66500
24550,022233,24700,200,24700,24550,BID,1800,0.82,22,1646390000,67000
24550,022323,24650,150,24700,24550,ASK,200,0.61,25,1717980000,69900
24550,022317,24650,150,24700,24550,ASK,800,0.61,24,1698260000,69100
24550,022259,24700,200,24700,24550,BID,300,0.82,23,1690850000,68800
24550,022353,24650,150,24700,24550,ASK,200,0.61,27,1730320000,70400
24550,022350,24700,200,24700,24550,BID,300,0.82,26,1722910000,70100
24550,022434,24650,150,24700,24550,BID,1900,0.61,29,1745110000,71000
24550,022418,24650,150,24700,24550,BID,400,0.61,28,1735250000,70600
24550,022448,24650,150,24700,24550,BID,2000,0.61,30,1791945000,72900
24550,022547,24600,100,24700,24550,ASK,500,0.41,33,1851105000,75300
24550,022543,24650,150,24700,24550,BID,300,0.61,32,1843710000,75000
24550,022536,24650,150,24700,24550,BID,100,0.61,31,1841245000,74900
24550,022638,24650,150,24700,24550,BID,100,0.61,37,2040535000,83000
24550,022638,24650,150,24700,24550,BID,100,0.61,37,2038070000,82900
24550,022638,24650,150,24700,24550,BID,100,0.61,37,2035605000,82800
24550,022634,24600,100,24700,24550,ASK,7000,0.41,34,1863405000,75800
24550,022708,24650,150,24700,24550,BID,600,0.61,40,2055300000,83600
24550,022708,24650,150,24700,24550,BID,700,0.61,40,2070090000,84200
24550,022649,24600,100,24700,24550,ASK,500,0.41,38,2043000000,83100
24550,022729,24650,150,24700,24550,BID,300,0.61,41,2087345000,84900
24550,022822,24650,150,24700,24550,BID,200,0.61,42,2094740000,85200
24550,022914,24700,200,24700,24550,BID,300,0.82,46,2291940000,93200
24550,022847,24650,150,24700,24550,BID,1000,0.61,45,2267290000,92200
24550,022847,24650,150,24700,24550,BID,200,0.61,44,2262360000,92000
24550,022847,24650,150,24700,24550,BID,6600,0.61,44,2099670000,85400
24550,022957,24650,150,24700,24550,ASK,500,0.61,50,2333860000,94900
24550,022944,24650,150,24700,24550,ASK,200,0.61,49,2328930000,94700
24550,022923,24650,150,24700,24550,ASK,200,0.61,48,2324000000,94500
24550,022922,24650,150,24700,24550,ASK,1000,0.61,47,2299350000,93500
24550,023035,24650,150,24700,24550,ASK,100,0.61,54,2365920000,96200
24550,023011,24650,150,24700,24550,ASK,300,0.61,53,2353595000,95700
24550,023011,24650,150,24700,24550,ASK,200,0.61,53,2360990000,96000
24550,023006,24700,200,24700,24550,BID,300,0.82,51,2346185000,95400
24550,023152,24650,150,24700,24550,BID,300,0.61,59,2383175000,96900
24550,023150,24650,150,24700,24550,BID,100,0.61,58,2380710000,96800
24550,023136,24650,150,24700,24550,BID,200,0.61,57,2375780000,96600
24550,023129,24650,150,24700,24550,BID,200,0.61,56,2370850000,96400
24550,023129,24650,150,24700,24550,BID,100,0.61,56,2368385000,96300
24550,023235,24650,150,24700,24550,BID,100,0.61,63,2533260000,103000
24550,023228,24600,100,24700,24550,ASK,5600,0.41,62,2395500000,97400
24550,023226,24650,150,24700,24550,BID,100,0.61,61,2393035000,97300
24550,023216,24650,150,24700,24550,BID,100,0.61,60,2390570000,97200
24550,023301,24600,100,24700,24550,ASK,500,0.41,67,2567770000,104400
24550,023252,24650,150,24700,24550,BID,300,0.61,66,2560375000,104100
24550,023252,24650,150,24700,24550,BID,800,0.61,66,2540655000,103300
24550,023244,24650,150,24700,24550,BID,200,0.61,64,2535725000,103100
24550,023337,24650,150,24700,24550,BID,300,0.61,69,2949070000,119900
24550,023332,24600,100,24700,24550,ASK,15000,0.41,68,2580070000,104900
24550,023430,24650,150,24700,24550,BID,300,0.61,71,2958925000,120300
24550,023421,24600,100,24700,24550,ASK,100,0.41,70,2956465000,120200
24550,023524,24650,150,24700,24550,BID,300,0.61,72,2966320000,120600
24650,023627,24650,150,24700,24550,BID,500,0.61,2,2981110000,121200
24650,023616,24650,150,24700,24550,BID,300,0.61,1,0,120900
24650,023709,24650,150,24700,24550,BID,200,0.61,6,3008200000,122300
24650,023709,24650,150,24700,24550,BID,100,0.61,6,3013130000,122500
24650,023649,24650,150,24700,24550,BID,100,0.61,4,3005735000,122200
24650,023634,24600,100,24700,24550,ASK,500,0.41,3,2993435000,121700
24650,023743,24600,100,24700,24550,ASK,1000,0.41,14,3251755000,132200
24650,023743,24600,100,24700,24550,ASK,300,0.41,14,3244375000,131900
24650,023743,24600,100,24700,24550,ASK,100,0.41,14,3241915000,131800
24650,023743,24600,100,24700,24550,ASK,2000,0.41,14,3276355000,133200
24650,023743,24600,100,24700,24550,ASK,1000,0.41,14,3217315000,130800
24650,023743,24600,100,24700,24550,ASK,2000,0.41,9,3158275000,128400
24650,023743,24600,100,24700,24550,ASK,5800,0.41,9,3015595000,122600
24650,023743,24600,100,24700,24550,ASK,400,0.41,9,3207475000,130400
