o,t,c,ch,h,l,mb,mv,ra,se,va,vo
79000,021526,79000,100,79000,79000,UNKNOWN,15300,0.13,1,0,0
79000,021636,79000,100,79000,79000,ASK,100,0.13,1,0,15300
79000,021810,79000,100,79000,79000,ASK,800,0.13,6,1311400000,16600
79000,021810,79000,100,79000,79000,ASK,100,0.13,6,1303500000,16500
79000,021810,79000,100,79000,79000,ASK,100,0.13,6,1295600000,16400
79000,021801,79000,100,79000,79000,ASK,900,0.13,3,1224500000,15500
79000,021801,79000,100,79000,79000,ASK,100,0.13,3,1216600000,15400
79000,021943,79000,100,79000,79000,ASK,200,0.13,7,1374600000,17400
79000,022049,79000,100,79100,78900,BID,200,0.13,13,1477300000,18700
79000,022028,79000,100,79100,78900,BID,700,0.13,12,1414100000,17900
79000,022028,79000,100,79100,78900,BID,100,0.13,12,1469400000,18600
79000,022022,79000,100,79100,78900,BID,100,0.13,10,1406200000,17800
79000,022021,78900,0,79100,78900,ASK,100,0.0,9,1398310000,17700
79000,022013,79100,200,79100,79000,ASK,100,0.25,8,1390400000,17600
79000,022151,79000,100,79100,78900,BID,400,0.13,15,1501000000,19000
79000,022131,79000,100,79100,78900,BID,100,0.13,14,1493100000,18900
79000,022319,79000,100,79100,78900,BID,100,0.13,17,1540490000,19500
79000,022258,78900,0,79100,78900,ASK,100,0.0,16,1532600000,19400
79000,022449,78900,0,79100,78900,ASK,100,0.0,18,1548390000,19600
79000,022552,78900,0,79100,78900,ASK,200,0.0,19,1556280000,19700
79000,022638,78900,0,79100,78900,ASK,100,0.0,20,1572060000,19900
79000,022822,78900,0,79100,78900,ASK,100,0.0,21,1579950000,20000
79000,022955,78900,0,79100,78900,ASK,700,0.0,23,1611510000,20400
79000,022955,78900,0,79100,78900,ASK,300,0.0,23,1587840000,20100
79000,023126,78900,0,79100,78900,ASK,1500,0.0,32,2479410000,31400
79000,023126,78900,0,79100,78900,ASK,500,0.0,32,2597760000,32900
79000,023113,78900,0,79100,78900,ASK,200,0.0,30,2463630000,31200
79000,023059,78900,0,79100,78900,ASK,100,0.0,29,2455740000,31100
79000,023055,78900,0,79100,78900,ASK,100,0.0,28,1792980000,22700
79000,023055,78900,0,79100,78900,ASK,100,0.0,28,1800870000,22800
79000,023055,78900,0,79100,78900,ASK,1300,0.0,28,1666740000,21100
79000,023055,78900,0,79100,78900,ASK,8200,0.0,28,1808760000,22900
79000,023055,78900,0,79100,78900,ASK,300,0.0,28,1769310000,22400
79000,023134,78900,0,79100,78900,ASK,100,0.0,35,2652990000,33600
79000,023129,78900,0,79100,78900,ASK,100,0.0,34,2645100000,33500
79000,023128,78900,0,79100,78900,ASK,100,0.0,33,2637210000,33400
79000,023205,78900,0,79100,78900,ASK,100,0.0,40,2779230000,35200
79000,023205,78900,0,79100,78900,ASK,100,0.0,40,2771340000,35100
79000,023205,78900,0,79100,78900,ASK,200,0.0,38,2755560000,34900
79000,023205,78900,0,79100,78900,ASK,1000,0.0,37,2676660000,33900
79000,023205,78900,0,79100,78900,ASK,200,0.0,36,2660880000,33700
79000,023244,78800,-100,79100,78800,ASK,100,-0.13,41,2787120000,35300
79000,023518,78900,0,79100,78800,BID,200,0.0,43,2802890000,35500
79000,023452,78900,0,79100,78800,BID,100,0.0,42,2795000000,35400
79000,023523,78800,-100,79100,78800,ASK,100,-0.13,44,2818670000,35700
78800,023709,78800,-100,79100,78800,ASK,100,-0.13,1,0,35800
78800,023813,78900,0,79100,78800,BID,100,0.0,2,2834430000,35900
78800,023908,78900,0,79100,78800,BID,1000,0.0,4,2850200000,36100
78800,023853,78800,-100,79100,78800,ASK,100,-0.13,3,2842320000,36000
78800,024014,78800,-100,79100,78800,ASK,100,-0.13,6,2936980000,37200
78800,024014,78800,-100,79100,78800,ASK,300,-0.13,6,2944860000,37300
78800,024014,78800,-100,79100,78800,ASK,100,-0.13,6,2929100000,37100
78800,024133,78800,-100,79100,78800,ASK,100,-0.13,7,2968500000,37600
78800,024241,78900,0,79100,78800,BID,100,0.0,8,2976380000,37700
78800,024340,78900,0,79100,78800,BID,100,0.0,11,3142060000,39800
78800,024340,78900,0,79100,78800,BID,1900,0.0,11,2992150000,37900
78800,024322,78800,-100,79100,78800,ASK,100,-0.13,9,2984270000,37800
78800,024508,78900,0,79100,78800,ASK,100,0.0,13,3220960000,40800
78800,024452,78900,0,79100,78800,ASK,900,0.0,12,3149950000,39900
78800,024550,78900,0,79100,78800,BID,300,0.0,14,3228850000,40900
78800,024623,78900,0,79100,78800,BID,300,0.0,17,3268300000,41400
78800,024623,78900,0,79100,78800,BID,100,0.0,17,3260410000,41300
78800,024623,78900,0,79100,78800,BID,100,0.0,17,3252520000,41200
78800,024648,78800,-100,79100,78800,ASK,300,-0.13,18,3291970000,41700
78800,024752,78800,-100,79100,78800,ASK,1000,-0.13,21,3331370000,42200
78800,024752,78800,-100,79100,78800,ASK,200,-0.13,21,3315610000,42000
78800,024752,78800,-100,79100,78800,ASK,1000,-0.13,21,3410170000,43200
78800,024921,78900,0,79100,78800,BID,100,0.0,23,3496860000,44300
78800,024921,78900,0,79100,78800,BID,100,0.0,23,3488970000,44200
78800,025119,78900,0,79100,78800,ASK,100,0.0,24,3504750000,44400
78800,025307,78900,0,79100,78800,ASK,100,0.0,27,3544200000,44900
78800,025251,78900,0,79100,78800,ASK,200,0.0,26,3528420000,44700
78800,025251,78900,0,79100,78800,ASK,200,0.0,25,3512640000,44500
78800,025332,78900,0,79100,78800,ASK,100,0.0,32,3670440000,46500
78800,025332,78900,0,79100,78800,ASK,500,0.0,32,3630990000,46000
78800,025332,78900,0,79100,78800,ASK,200,0.0,30,3607320000,45700
78800,025332,78900,0,79100,78800,ASK,100,0.0,30,3623100000,45900
78800,025332,78900,0,79100,78800,ASK,700,0.0,30,3552090000,45000
78800,025410,78900,0,79100,78800,ASK,300,0.0,33,3678330000,46600
78800,025438,78800,-100,79100,78800,ASK,100,-0.13,34,3702000000,46900
78800,025546,78800,-100,79100,78800,ASK,100,-0.13,35,3709880000,47000
78800,025625,78900,0,79100,78800,BID,600,0.0,38,3733540000,47300
78800,025625,78900,0,79100,78800,BID,100,0.0,38,3725650000,47200
78800,025625,78900,0,79100,78800,BID,100,0.0,38,3717760000,47100
78800,025733,78900,0,79100,78800,BID,100,0.0,41,3796660000,48100
78800,025721,78900,0,79100,78800,BID,100,0.0,40,3788770000,48000
78800,025717,78900,0,79100,78800,BID,100,0.0,39,3780880000,47900
78800,025921,78800,-100,79100,78800,ASK,100,-0.13,42,3804550000,48200
78800,030027,78800,-100,79100,78800,ASK,200,-0.13,43,3812430000,48300
78800,030043,78800,-100,79100,78800,ASK,400,-0.13,45,3836070000,48600
78800,030043,78800,-100,79100,78800,ASK,100,-0.13,45,3828190000,48500
78800,030159,78800,-100,79100,78800,ASK,100,-0.13,46,3867590000,49000
78800,030251,78800,-100,79100,78800,ASK,300,-0.13,47,3875470000,49100
78800,030315,78800,-100,79100,78800,ASK,100,-0.13,48,3899110000,49400
78800,030352,78800,-100,79100,78800,ASK,100,-0.13,49,3906990000,49500
78800,030503,78800,-100,79100,78800,ASK,100,-0.13,54,4009430000,50800
78800,030503,78800,-100,79100,78800,ASK,200,-0.13,54,3993670000,50600
78800,030433,78800,-100,79100,78800,ASK,100,-0.13,52,3922750000,49700
78800,030433,78800,-100,79100,78800,ASK,800,-0.13,52,3930630000,49800
78800,030433,78800,-100,79100,78800,ASK,100,-0.13,52,3914870000,49600
78800,030538,78800,-100,79100,78800,ASK,100,-0.13,55,4017310000,50900
78800,030741,78800,-100,79100,78800,ASK,200,-0.13,57,4033070000,51100
78800,030733,78800,-100,79100,78800,ASK,100,-0.13,56,4025190000,51000
78800,030816,78800,-100,79100,78800,ASK,100,-0.13,68,4285230000,54300
78800,030759,78800,-100,79100,78800,ASK,400,-0.13,67,4048830000,51300
78800,030759,78800,-100,79100,78800,ASK,1000,-0.13,67,4151270000,52600
78800,030759,78800,-100,79100,78800,ASK,200,-0.13,67,4127630000,52300
78800,030759,78800,-100,79100,78800,ASK,100,-0.13,67,4096110000,51900
78800,030759,78800,-100,79100,78800,ASK,700,-0.13,67,4230070000,53600
78800,030759,78800,-100,79100,78800,ASK,100,-0.13,67,4088230000,51800
78800,030759,78800,-100,79100,78800,ASK,200,-0.13,67,4111870000,52100
78800,030759,78800,-100,79100,78800,ASK,100,-0.13,67,4143390000,52500
