o,t,c,ch,h,l,mb,mv,ra,se,va,vo
84100,021526,84100,-400,84100,84100,UNKNOWN,3800,-0.47,1,0,0
84100,021649,84200,-300,84200,84100,ASK,100,-0.36,2,328000000,3900
84100,021622,84200,-300,84200,84100,ASK,100,-0.36,1,0,3800
84100,021730,84200,-300,84500,84100,ASK,100,-0.36,5,361740000,4300
84100,021724,84200,-300,84500,84100,ASK,100,-0.36,4,353320000,4200
84100,021720,84500,0,84500,84100,BID,200,0.0,3,336420000,4000
84100,021810,84900,400,84900,84100,BID,100,0.47,9,395630000,4700
84100,021759,84900,400,84900,84100,BID,100,0.47,8,387140000,4600
84100,021747,84900,400,84900,84100,BID,100,0.47,7,378650000,4500
84100,021746,84900,400,84900,84100,BID,100,0.47,6,370160000,4400
84100,021845,84500,0,84900,84100,BID,100,0.0,13,429550000,5100
84100,021834,84500,0,84900,84100,ASK,100,0.0,12,421100000,5000
84100,021834,84900,400,84900,84100,BID,100,0.47,11,412610000,4900
84100,021823,84900,400,84900,84100,BID,100,0.47,10,404120000,4800
84100,021857,84500,0,84900,84100,BID,100,0.0,14,438000000,5200
84100,021945,84500,0,84900,84100,ASK,100,0.0,15,446450000,5300
84100,022042,84500,0,84900,84100,BID,100,0.0,25,607000000,7200
84100,022042,84500,0,84900,84100,BID,1000,0.0,24,522500000,6200
84100,022030,84500,0,84900,84100,BID,100,0.0,23,514050000,6100
84100,022019,84500,0,84900,84100,BID,100,0.0,22,505600000,6000
84100,022013,84500,0,84900,84100,ASK,100,0.0,21,497150000,5900
84100,022013,84500,0,84900,84100,ASK,100,0.0,20,471800000,5600
84100,022013,84500,0,84900,84100,ASK,100,0.0,20,463350000,5500
84100,022013,84500,0,84900,84100,ASK,100,0.0,20,480250000,5700
84100,022013,84500,0,84900,84100,ASK,100,0.0,20,454900000,5400
84100,022013,84500,0,84900,84100,ASK,100,0.0,20,488700000,5800
84100,022113,84400,-100,84900,84100,ASK,100,-0.12,29,640800000,7600
84100,022106,84500,0,84900,84100,BID,100,0.0,28,632350000,7500
84100,022056,84500,0,84900,84100,BID,100,0.0,27,623900000,7400
84100,022054,84500,0,84900,84100,BID,100,0.0,26,615450000,7300
84100,022200,84400,-100,84900,84100,ASK,200,-0.12,30,649240000,7700
84100,022307,84300,-200,84900,84100,ASK,100,-0.24,45,885550000,10500
84100,022259,84300,-200,84900,84100,ASK,100,-0.24,44,877120000,10400
84100,022252,84400,-100,84900,84100,BID,100,-0.12,43,868680000,10300
84100,022251,84400,-100,84900,84100,ASK,100,-0.12,42,860240000,10200
84100,022251,84400,-100,84900,84100,ASK,100,-0.12,42,851800000,10100
84100,022251,84400,-100,84900,84100,ASK,1000,-0.12,40,758960000,9000
84100,022251,84400,-100,84900,84100,ASK,100,-0.12,40,750520000,8900
84100,022250,84400,-100,84900,84100,ASK,100,-0.12,40,733640000,8700
84100,022251,84400,-100,84900,84100,ASK,100,-0.12,40,843360000,10000
84100,022250,84400,-100,84900,84100,ASK,100,-0.12,39,725200000,8600
84100,022251,84400,-100,84900,84100,ASK,100,-0.12,39,742080000,8800
84100,022250,84400,-100,84900,84100,ASK,100,-0.12,34,716760000,8500
84100,022250,84400,-100,84900,84100,ASK,100,-0.12,34,708320000,8400
84100,022250,84400,-100,84900,84100,ASK,100,-0.12,34,666120000,7900
84100,022250,84400,-100,84900,84100,ASK,400,-0.12,32,674560000,8000
84100,022350,84300,-200,84900,84100,ASK,100,-0.24,49,919270000,10900
84100,022338,84300,-200,84900,84100,ASK,100,-0.24,48,910840000,10800
84100,022329,84300,-200,84900,84100,ASK,100,-0.24,47,893980000,10600
84100,022329,84300,-200,84900,84100,ASK,100,-0.24,47,902410000,10700
84100,022436,84300,-200,84900,84100,BID,100,-0.24,61,1020430000,12100
84100,022424,84300,-200,84900,84100,ASK,100,-0.24,60,1003570000,11900
84100,022424,84300,-200,84900,84100,BID,100,-0.24,60,1012000000,12000
84100,022424,84300,-200,84900,84100,ASK,100,-0.24,58,995140000,11800
84100,022424,84300,-200,84900,84100,ASK,100,-0.24,58,978280000,11600
84100,022424,84300,-200,84900,84100,ASK,100,-0.24,58,986710000,11700
84100,022424,84300,-200,84900,84100,ASK,100,-0.24,55,969850000,11500
84100,022424,84300,-200,84900,84100,ASK,100,-0.24,54,961420000,11400
84100,022424,84300,-200,84900,84100,ASK,100,-0.24,54,952990000,11300
84100,022424,84300,-200,84900,84100,ASK,100,-0.24,54,936130000,11100
84100,022424,84300,-200,84900,84100,ASK,100,-0.24,53,944560000,11200
84100,022415,84300,-200,84900,84100,ASK,100,-0.24,50,927700000,11000
84100,022445,84200,-300,84900,84100,ASK,300,-0.36,63,1037280000,12300
84100,022445,84200,-300,84900,84100,ASK,100,-0.36,63,1028860000,12200
84100,022522,84200,-300,84900,84100,ASK,100,-0.36,64,1062540000,12600
84100,022630,84200,-300,84900,84100,ASK,100,-0.36,83,1348820000,16000
84100,022604,84200,-300,84900,84100,ASK,100,-0.36,82,1340400000,15900
84100,022602,84200,-300,84900,84100,ASK,200,-0.36,81,1323560000,15700
84100,022602,84200,-300,84900,84100,ASK,100,-0.36,80,1306720000,15500
84100,022602,84200,-300,84900,84100,ASK,100,-0.36,80,1315140000,15600
84100,022602,84200,-300,84900,84100,ASK,100,-0.36,80,1289880000,15300
84100,022602,84200,-300,84900,84100,ASK,100,-0.36,80,1298300000,15400
84100,022602,84200,-300,84900,84100,ASK,100,-0.36,79,1264620000,15000
84100,022602,84200,-300,84900,84100,ASK,100,-0.36,79,1273040000,15100
84100,022602,84200,-300,84900,84100,ASK,100,-0.36,79,1281460000,15200
84100,022602,84200,-300,84900,84100,ASK,100,-0.36,79,1256200000,14900
84100,022602,84200,-300,84900,84100,ASK,1000,-0.36,79,1172000000,13900
84100,022602,84200,-300,84900,84100,ASK,100,-0.36,71,1155160000,13700
84100,022602,84200,-300,84900,84100,ASK,500,-0.36,71,1079380000,12800
84100,022602,84200,-300,84900,84100,ASK,100,-0.36,71,1146740000,13600
84100,022602,84200,-300,84900,84100,ASK,100,-0.36,71,1163580000,13800
84100,022602,84200,-300,84900,84100,ASK,200,-0.36,71,1129900000,13400
84100,022602,84200,-300,84900,84100,ASK,100,-0.36,71,1121480000,13300
84100,022602,84200,-300,84900,84100,ASK,100,-0.36,71,1070960000,12700
84100,022700,84200,-300,84900,84100,ASK,100,-0.36,88,1382500000,16400
84100,022700,84200,-300,84900,84100,ASK,200,-0.36,88,1390920000,16500
84100,022652,84200,-300,84900,84100,ASK,100,-0.36,86,1365660000,16200
84100,022652,84200,-300,84900,84100,ASK,100,-0.36,86,1374080000,16300
84100,022638,84200,-300,84900,84100,ASK,100,-0.36,84,1357240000,16100
