o,t,c,ch,h,l,mb,mv,ra,se,va,vo
38100,021526,38100,50,38100,38100,UNKNOWN,1400,0.13,1,0,0
38100,021840,38400,350,38400,38100,BID,2000,0.92,3,110840000,2900
38100,021840,38350,300,38350,38100,BID,1000,0.79,3,72490000,1900
38100,021840,38300,250,38300,38100,BID,500,0.66,1,0,1400
38100,022020,38300,250,38400,38100,BID,10000,0.66,4,187640000,4900
38100,022115,38300,250,38400,38100,BID,100,0.66,6,578300000,15100
38100,022115,38300,250,38400,38100,BID,200,0.66,6,570640000,14900
38100,022227,38300,250,38400,38100,BID,100,0.66,7,582130000,15200
38100,022419,38300,250,38400,38100,BID,100,0.66,8,585960000,15300
38100,022712,38200,150,38400,38100,BID,1600,0.39,16,742290000,19400
38100,022712,38200,150,38400,38100,BID,1000,0.39,16,704090000,18400
38100,022700,38100,50,38400,38100,ASK,100,0.13,14,700280000,18300
38100,022700,38100,50,38400,38100,ASK,1000,0.13,14,654560000,17100
38100,022700,38100,50,38400,38100,ASK,100,0.13,14,692660000,18100
38100,022700,38100,50,38400,38100,ASK,100,0.13,14,696470000,18200
38100,022700,38100,50,38400,38100,ASK,700,0.13,14,589790000,15400
38100,022700,38100,50,38400,38100,ASK,1000,0.13,12,616460000,16100
38100,022754,38050,0,38400,38050,ASK,1000,0.0,17,803410000,21000
38100,023019,38050,0,38400,38050,ASK,200,0.0,19,845265000,22100
38100,023019,38050,0,38400,38050,ASK,100,0.0,18,841460000,22000
38100,023143,38000,-50,38400,38000,ASK,2500,-0.13,22,909915000,23800
38100,023143,38000,-50,38400,38000,ASK,700,-0.13,21,883315000,23100
38100,023143,38050,0,38400,38050,ASK,800,0.0,20,852875000,22300
38100,023439,38000,-50,38400,38000,BID,200,-0.13,23,1004915000,26300
38000,023835,38000,-50,38400,37850,BID,200,-0.13,3,1057965000,27700
38000,023815,38000,-50,38400,37850,BID,200,-0.13,2,1050365000,27500
38000,023808,37850,-200,38400,37850,ASK,1000,-0.53,1,0,26500
38000,024001,38000,-50,38400,37850,BID,200,-0.13,6,1080765000,28300
38000,024001,38000,-50,38400,37850,BID,300,-0.13,6,1069365000,28000
38000,023936,38000,-50,38400,37850,BID,100,-0.13,4,1065565000,27900
38000,024241,38000,-50,38400,37850,BID,100,-0.13,8,1092165000,28600
38000,024227,38000,-50,38400,37850,ASK,100,-0.13,7,1088365000,28500
38000,024250,37900,-150,38400,37850,ASK,2000,-0.39,9,1095965000,28700
38000,024440,37800,-250,38400,37800,ASK,100,-0.66,22,1481785000,38900
38000,024440,37800,-250,38400,37800,ASK,2900,-0.66,22,1364605000,35800
38000,024440,37800,-250,38400,37800,ASK,200,-0.66,22,1474225000,38700
38000,024440,37800,-250,38400,37800,ASK,100,-0.66,19,1360825000,35700
38000,024440,37800,-250,38400,37800,ASK,700,-0.66,19,1334365000,35000
38000,024440,37800,-250,38400,37800,ASK,2000,-0.66,17,1258765000,33000
38000,024440,37850,-200,38400,37850,ASK,100,-0.53,17,1205840000,31600
38000,024440,37850,-200,38400,37850,ASK,100,-0.53,17,1202055000,31500
38000,024440,37800,-250,38400,37800,ASK,1000,-0.66,17,1220965000,32000
38000,024440,37800,-250,38400,37800,ASK,300,-0.66,17,1209625000,31700
38000,024428,37850,-200,38400,37850,ASK,600,-0.53,12,1179345000,30900
38000,024428,37900,-150,38400,37850,ASK,100,-0.39,12,1175555000,30800
38000,024428,37900,-150,38400,37850,ASK,100,-0.39,12,1171765000,30700
38000,024501,37650,-400,38400,37650,ASK,1200,-1.05,26,1515725000,39800
38000,024501,37700,-350,38400,37700,ASK,500,-0.92,26,1489335000,39100
38000,024501,37700,-350,38400,37700,ASK,100,-0.92,26,1485565000,39000
38000,024501,37700,-350,38400,37700,ASK,200,-0.92,25,1508185000,39600
38000,024957,37700,-350,38400,37650,ASK,900,-0.92,30,1640075000,43100
38000,024957,37700,-350,38400,37650,ASK,1700,-0.92,30,1575985000,41400
38000,024957,37700,-350,38400,37650,ASK,200,-0.92,30,1560905000,41000
38000,024957,37700,-350,38400,37650,ASK,200,-0.92,30,1568445000,41200
38000,025116,37700,-350,38400,37650,BID,300,-0.92,35,1794645000,47200
38000,025105,37700,-350,38400,37650,ASK,100,-0.92,34,1753175000,46100
38000,025105,37700,-350,38400,37650,ASK,100,-0.92,34,1674005000,44000
38000,025105,37700,-350,38400,37650,ASK,1000,-0.92,34,1756945000,46200
38000,025105,37700,-350,38400,37650,ASK,2000,-0.92,34,1677775000,44100
38000,025156,37700,-350,38400,37650,BID,500,-0.92,38,1817265000,47800
38000,025143,37700,-350,38400,37650,BID,100,-0.92,37,1813495000,47700
38000,025121,37700,-350,38400,37650,BID,200,-0.92,36,1805955000,47500
38000,025204,37700,-350,38400,37650,BID,100,-0.92,39,1836115000,48300
38000,025244,37700,-350,38400,37650,BID,200,-0.92,41,1843655000,48500
38000,025244,37700,-350,38400,37650,BID,100,-0.92,41,1839885000,48400
38000,025328,37650,-400,38400,37650,ASK,2000,-1.05,50,2031915000,53500
38000,025328,37650,-400,38400,37650,ASK,500,-1.05,50,2013090000,53000
38000,025328,37650,-400,38400,37650,ASK,200,-1.05,50,2107215000,55500
38000,025328,37650,-400,38400,37650,ASK,600,-1.05,47,1952850000,51400
38000,025328,37650,-400,38400,37650,ASK,1500,-1.05,47,1896375000,49900
38000,025328,37650,-400,38400,37650,ASK,1000,-1.05,47,1854960000,48800
38000,025328,37650,-400,38400,37650,ASK,100,-1.05,47,1892610000,49800
38000,025328,37650,-400,38400,37650,ASK,1000,-1.05,47,1975440000,52000
38000,025328,37650,-400,38400,37650,ASK,100,-1.05,47,1851195000,48700
38000,025500,37700,-350,38400,37650,BID,300,-0.92,51,2114745000,55700
38000,025551,37700,-350,38400,37650,BID,400,-0.92,54,2148675000,56600
38000,025551,37700,-350,38400,37650,BID,100,-0.92,54,2163755000,57000
38000,025538,37700,-350,38400,37650,BID,600,-0.92,52,2126055000,56000
38000,025741,37700,-350,38400,37650,ASK,100,-0.92,56,2175085000,57300
38000,025723,37800,-250,38400,37650,BID,200,-0.66,55,2167525000,57100
38000,025912,37700,-350,38400,37650,ASK,2000,-0.92,60,2193955000,57800
38000,025912,37700,-350,38400,37650,ASK,100,-0.92,60,2190185000,57700
38000,025912,37700,-350,38400,37650,ASK,100,-0.92,59,2186415000,57600
38000,025854,37800,-250,38400,37650,BID,200,-0.66,57,2178855000,57400
38000,025951,37700,-350,38400,37650,BID,100,-0.92,64,2457855000,64800
38000,025943,37700,-350,38400,37650,ASK,2000,-0.92,63,2382455000,62800
38000,025943,37700,-350,38400,37650,ASK,2200,-0.92,62,2299515000,60600
38000,025928,37700,-350,38400,37650,BID,800,-0.92,61,2269355000,59800
38000,030030,37600,-450,38400,37600,ASK,100,-1.18,90,3030390000,80000
38000,030030,37600,-450,38400,37600,ASK,2000,-1.18,90,3034150000,80100
38000,030030,37600,-450,38400,37600,ASK,1000,-1.18,90,2891270000,76300
38000,030030,37600,-450,38400,37600,ASK,100,-1.18,90,2951430000,77900
38000,030030,37600,-450,38400,37600,ASK,3400,-1.18,90,3109350000,82100
38000,030030,37600,-450,38400,37600,ASK,2000,-1.18,90,2955190000,78000
38000,030030,37650,-400,38400,37650,ASK,600,-1.05,90,2861150000,75500
38000,030030,37600,-450,38400,37600,ASK,600,-1.18,90,2928870000,77300
38000,030030,37650,-400,38400,37650,ASK,200,-1.05,83,2883740000,76100
38000,030021,37700,-350,38400,37650,ASK,100,-0.92,81,2857380000,75400
38000,030021,37700,-350,38400,37650,ASK,300,-0.92,81,2846070000,75100
38000,030015,37700,-350,38400,37650,BID,200,-0.92,79,2838530000,74900
38000,030008,37650,-400,38400,37650,ASK,1400,-1.05,78,2785820000,73500
38000,030008,37650,-400,38400,37650,ASK,2000,-1.05,78,2710520000,71500
38000,030008,37650,-400,38400,37650,ASK,100,-1.05,76,2620160000,69100
38000,030008,37650,-400,38400,37650,ASK,300,-1.05,76,2623925000,69200
38000,030008,37650,-400,38400,37650,ASK,100,-1.05,75,2597570000,68500
38000,030008,37700,-350,38400,37650,ASK,500,-0.92,75,2574955000,67900
38000,030008,37650,-400,38400,37650,ASK,1000,-1.05,76,2672870000,70500
38000,030008,37650,-400,38400,37650,ASK,1000,-1.05,76,2635220000,69500
38000,030008,37650,-400,38400,37650,ASK,300,-1.05,75,2608865000,68800
38000,030008,37650,-400,38400,37650,ASK,100,-1.05,75,2593805000,68400
38000,030008,37650,-400,38400,37650,ASK,200,-1.05,73,2601335000,68600
38000,030007,37800,-250,38400,37650,BID,2100,-0.66,67,2488015000,65600
38000,030007,37700,-350,38400,37650,BID,700,-0.92,67,2461625000,64900
38000,030007,37800,-250,38400,37650,BID,200,-0.66,67,2567395000,67700
38000,030051,37700,-350,38400,37600,BID,200,-0.92,91,3237190000,85500
38000,030142,37700,-350,38400,37600,BID,8000,-0.92,93,3248500000,85800
38000,030135,37700,-350,38400,37600,BID,100,-0.92,92,3244730000,85700
38000,030218,37700,-350,38400,37600,BID,300,-0.92,94,3550100000,93800
38000,030236,37700,-350,38400,37600,BID,200,-0.92,97,3749660000,99100
38000,030228,37650,-400,38400,37600,ASK,4000,-1.05,96,3599060000,95100
38000,030228,37650,-400,38400,37600,ASK,1000,-1.05,96,3561410000,94100
38000,030307,37650,-400,38400,37600,ASK,300,-1.05,98,3757200000,99300
38000,030444,37700,-350,38400,37600,BID,200,-0.92,101,3798655000,100400
38000,030444,37700,-350,38400,37600,BID,800,-0.92,101,3768495000,99600
38000,030444,37700,-350,38400,37600,BID,4000,-0.92,101,3806195000,100600
