o,t,c,ch,h,l,mb,mv,ra,se,va,vo
13000,021528,13050,-100,13050,13000,BID,100,-0.76,3,2667655000,205200
13000,021527,13050,-100,13050,13000,BID,1100,-0.76,2,2653300000,204100
13000,021527,13000,-150,13000,13000,UNKNOWN,204100,-1.14,1,0,0
13050,021608,13050,-100,13050,13000,BID,2800,-0.76,1,0,205300
13000,021558,13050,-100,13050,13000,BID,1100,-0.76,6600000124,2668960000,205300
13050,021650,13000,-150,13050,13000,ASK,500,-1.14,7,2871215000,220800
13050,021649,13050,-100,13050,13000,BID,1000,-0.76,6,2858165000,219800
13050,021633,13050,-100,13050,13000,BID,4700,-0.76,5,2796830000,215100
13050,021633,13000,-150,13050,13000,ASK,400,-1.14,4,2791630000,214700
13050,021628,13050,-100,13050,13000,BID,5000,-0.76,3,2726380000,209700
13050,021623,13050,-100,13050,13000,BID,500,-0.76,2,2719855000,209200
13050,021719,13050,-100,13050,13000,BID,500,-0.76,12,2934920000,225700
13050,021712,13050,-100,13050,13000,BID,100,-0.76,11,2933615000,225600
13050,021711,13000,-150,13050,13000,ASK,1100,-1.14,10,2879015000,221400
13050,021711,13000,-150,13050,13000,ASK,3100,-1.14,10,2893315000,222500
13050,021707,13000,-150,13050,13000,ASK,100,-1.14,8,2877715000,221300
13050,021800,13050,-100,13050,13000,BID,500,-0.76,17,2964905000,228000
13050,021746,13050,-100,13050,13000,BID,1000,-0.76,16,2951855000,227000
13050,021745,13000,-150,13050,13000,ASK,600,-1.14,15,2944055000,226400
13050,021742,13050,-100,13050,13000,BID,100,-0.76,14,2942750000,226300
13050,021729,13050,-100,13050,13000,BID,100,-0.76,13,2941445000,226200
13050,021825,13000,-150,13050,13000,ASK,100,-1.14,25,2994855000,230300
13050,021825,13000,-150,13050,13000,ASK,200,-1.14,25,2992255000,230100
13050,021825,13000,-150,13050,13000,ASK,1000,-1.14,25,2977955000,229000
13050,021825,13000,-150,13050,13000,ASK,100,-1.14,25,2990955000,230000
13050,021825,13000,-150,13050,13000,ASK,300,-1.14,25,2996155000,230400
13050,021821,13050,-100,13050,13000,BID,200,-0.76,20,2975345000,228800
13050,021820,13050,-100,13050,13000,BID,200,-0.76,19,2972735000,228600
13050,021810,13050,-100,13050,13000,BID,100,-0.76,18,2971430000,228500
13050,021910,13000,-150,13050,13000,ASK,500,-1.14,26,3000055000,230700
13050,021950,13050,-100,13050,13000,BID,100,-0.76,40,3266805000,251200
13050,021932,13000,-150,13050,13000,ASK,3800,-1.14,39,3217405000,247400
13050,021932,13000,-150,13050,13000,ASK,1200,-1.14,39,3201805000,246200
13050,021932,13000,-150,13050,13000,ASK,100,-1.14,39,3200505000,246100
13050,021932,13000,-150,13050,13000,ASK,1000,-1.14,36,3184905000,244900
13050,021932,13000,-150,13050,13000,ASK,2200,-1.14,36,3071805000,236200
13050,021932,13000,-150,13050,13000,ASK,200,-1.14,36,3197905000,245900
13050,021932,13000,-150,13050,13000,ASK,300,-1.14,36,3161505000,243100
13050,021932,13000,-150,13050,13000,ASK,2000,-1.14,36,3103005000,238600
13050,021932,13000,-150,13050,13000,ASK,500,-1.14,35,3155005000,242600
13050,021932,13000,-150,13050,13000,ASK,1500,-1.14,36,3165405000,243400
13050,021932,13000,-150,13050,13000,ASK,200,-1.14,34,3100405000,238400
13050,021932,13000,-150,13050,13000,ASK,2000,-1.14,34,3129005000,240600
13050,021929,13050,-100,13050,13000,BID,5000,-0.76,27,3006555000,231200
13050,022037,13000,-150,13050,13000,ASK,100,-1.14,43,3275940000,251900
13050,022032,13050,-100,13050,13000,BID,100,-0.76,42,3274635000,251800
13050,022030,13050,-100,13050,13000,BID,500,-0.76,41,3268110000,251300
13050,022113,13050,-100,13050,13000,BID,2000,-0.76,49,3422095000,263100
13050,022105,13050,-100,13050,13000,BID,100,-0.76,48,3420790000,263000
13050,022058,13050,-100,13050,13000,BID,100,-0.76,47,3419485000,262900
13050,022054,13050,-100,13050,13000,BID,4000,-0.76,46,3367285000,258900
13050,022046,13050,-100,13050,13000,BID,5000,-0.76,45,3302035000,253900
13050,022041,13050,-100,13050,13000,BID,1900,-0.76,44,3277240000,252000
13050,022235,13050,-100,13050,13000,BID,100,-0.76,54,3470380000,266800
13050,022223,13050,-100,13050,13000,BID,100,-0.76,53,3469075000,266700
13050,022217,13050,-100,13050,13000,BID,100,-0.76,52,3467770000,266600
13050,022205,13050,-100,13050,13000,BID,500,-0.76,51,3461245000,266100
13050,022158,13050,-100,13050,13000,BID,1000,-0.76,50,3448195000,265100
13050,022314,13050,-100,13050,13000,BID,300,-0.76,60,3713110000,285400
13050,022312,13050,-100,13050,13000,BID,1000,-0.76,59,3700060000,284400
13050,022309,13050,-100,13050,13000,BID,5000,-0.76,58,3634810000,279400
13050,022250,13050,-100,13050,13000,BID,10000,-0.76,57,3504310000,269400
13050,022247,13050,-100,13050,13000,BID,1000,-0.76,56,3491260000,268400
13050,022240,13050,-100,13050,13000,BID,1500,-0.76,55,3471685000,266900
13050,022342,13050,-100,13050,13000,BID,1300,-0.76,62,3736600000,287200
13050,022325,13050,-100,13050,13000,BID,1500,-0.76,61,3717025000,285700
13050,022545,13000,-150,13050,13000,ASK,5000,-1.14,67,3765310000,289400
13050,022537,13050,-100,13050,13000,BID,200,-0.76,66,3762700000,289200
13050,022529,13050,-100,13050,13000,BID,200,-0.76,65,3760090000,289000
13050,022526,13050,-100,13050,13000,BID,300,-0.76,64,3756175000,288700
13050,022521,13050,-100,13050,13000,BID,200,-0.76,63,3753565000,288500
13050,022630,13000,-150,13050,13000,ASK,800,-1.14,77,3952530000,303800
13050,022627,13050,-100,13050,13000,BID,100,-0.76,76,3951225000,303700
13050,022623,13050,-100,13050,13000,BID,100,-0.76,75,3949920000,303600
13050,022616,13050,-100,13050,13000,BID,200,-0.76,74,3947310000,303400
13050,022602,13000,-150,13050,13000,ASK,4100,-1.14,73,3894010000,299300
13050,022602,13000,-150,13050,13000,ASK,200,-1.14,73,3878410000,298100
13050,022602,13000,-150,13050,13000,ASK,1000,-1.14,73,3881010000,298300
13050,022602,13000,-150,13050,13000,ASK,1000,-1.14,71,3858910000,296600
13050,022602,13000,-150,13050,13000,ASK,500,-1.14,70,3871910000,297600
13050,022602,13000,-150,13050,13000,ASK,2200,-1.14,70,3830310000,294400
13050,022704,13000,-150,13050,13000,ASK,300,-1.14,118,5261455000,404300
13050,022704,13000,-150,13050,13000,ASK,200,-1.14,118,5265355000,404600
13050,022704,13000,-150,13050,13000,ASK,400,-1.14,118,5254955000,403800
13050,022704,13000,-150,13050,13000,ASK,100,-1.14,117,5260155000,404200
13050,022659,13050,-100,13050,13000,BID,1300,-0.76,114,5209280000,400300
13050,022659,13050,-100,13050,13000,BID,300,-0.76,114,5205365000,400000
13050,022659,13050,-100,13050,13000,BID,200,-0.76,114,5252345000,403600
13050,022659,13050,-100,13050,13000,BID,2000,-0.76,114,5226245000,401600
13050,022658,13050,-100,13050,13000,BID,300,-0.76,110,5201450000,399700
13050,022658,13050,-100,13050,13000,BID,1000,-0.76,110,5188400000,398700
13050,022658,13050,-100,13050,13000,BID,1200,-0.76,110,5172740000,397500
13050,022658,13050,-100,13050,13000,BID,37000,-0.76,107,4627250000,355700
13050,022658,13050,-100,13050,13000,BID,1200,-0.76,107,5157080000,396300
13050,022658,13050,-100,13050,13000,BID,100,-0.76,107,5110100000,392700
13050,022658,13050,-100,13050,13000,BID,3000,-0.76,107,5117930000,393300
13050,022658,13050,-100,13050,13000,BID,500,-0.76,107,5111405000,392800
13050,022649,13000,-150,13050,13000,ASK,9600,-1.14,102,4502450000,346100
13050,022649,13000,-150,13050,13000,ASK,1000,-1.14,101,4489450000,345100
13050,022649,13000,-150,13050,13000,ASK,2000,-1.14,100,4325650000,332500
13050,022649,13000,-150,13050,13000,ASK,200,-1.14,100,4486850000,344900
13050,022649,13000,-150,13050,13000,ASK,200,-1.14,100,4351650000,334500
13050,022649,13000,-150,13050,13000,ASK,10000,-1.14,100,4356850000,334900
13050,022649,13000,-150,13050,13000,ASK,200,-1.14,99,4354250000,334700
13050,022649,13000,-150,13050,13000,ASK,10100,-1.14,99,4194350000,322400
13050,022649,13000,-150,13050,13000,ASK,300,-1.14,98,4190450000,322100
13050,022649,13000,-150,13050,13000,ASK,1000,-1.14,94,4177450000,321100
13050,022649,13000,-150,13050,13000,ASK,500,-1.14,93,4170950000,320600
13050,022649,13000,-150,13050,13000,ASK,100,-1.14,93,4169650000,320500
13050,022649,13000,-150,13050,13000,ASK,1000,-1.14,90,4156650000,319500
13050,022649,13000,-150,13050,13000,ASK,100,-1.14,90,4137150000,318000
13050,022649,13000,-150,13050,13000,ASK,300,-1.14,90,4152750000,319200
13050,022649,13000,-150,13050,13000,ASK,2800,-1.14,90,4100750000,315200
13050,022649,13000,-150,13050,13000,ASK,9500,-1.14,90,3977250000,305700
13050,022649,13000,-150,13050,13000,ASK,1000,-1.14,90,4139750000,318200
13050,022649,13000,-150,13050,13000,ASK,100,-1.14,90,4138450000,318100
13050,022643,13050,-100,13050,13000,BID,200,-0.76,83,3974640000,305500
13050,022638,13050,-100,13050,13000,BID,100,-0.76,82,3973335000,305400
13050,022636,13050,-100,13050,13000,BID,100,-0.76,81,3972030000,305300
13050,022634,13000,-150,13050,13000,ASK,500,-1.14,80,3965530000,304800
