o,t,c,ch,h,l,mb,mv,ra,se,va,vo
26650,021526,26650,-100,26650,26650,UNKNOWN,45600,-0.37,1,0,0
26650,021713,26750,0,26750,26650,BID,100,0.0,2,1241890000,46600
26650,021712,26650,-100,26650,26650,ASK,1000,-0.37,1,0,45600
26650,021757,26750,0,26750,26650,BID,100,0.0,3,1244565000,46700
26650,021835,26700,-50,26750,26650,ASK,100,-0.19,4,1247240000,46800
26650,021931,26700,-50,26750,26650,BID,1000,-0.19,13,1396510000,52400
26650,021924,26650,-100,26750,26650,ASK,100,-0.37,12,1393845000,52300
26650,021924,26650,-100,26750,26650,ASK,1000,-0.37,11,1348540000,50600
26650,021924,26650,-100,26750,26650,ASK,700,-0.37,11,1375190000,51600
26650,021924,26650,-100,26750,26650,ASK,200,-0.37,11,1316560000,49400
26650,021924,26650,-100,26750,26650,ASK,2000,-0.37,11,1263260000,47400
26650,021924,26650,-100,26750,26650,ASK,1000,-0.37,11,1321890000,49600
26650,021900,26700,-50,26750,26650,ASK,100,-0.19,6,1249910000,46900
26650,021900,26700,-50,26750,26650,ASK,400,-0.19,6,1252580000,47000
26650,021955,26700,-50,26750,26650,BID,500,-0.19,19,1479280000,55500
26650,021947,26700,-50,26750,26650,BID,100,-0.19,18,1476610000,55400
26650,021939,26700,-50,26750,26650,ASK,400,-0.19,17,1465930000,55000
26650,021934,26700,-50,26750,26650,BID,1000,-0.19,16,1439230000,54000
26650,021934,26700,-50,26750,26650,BID,100,-0.19,16,1436560000,53900
26650,021934,26700,-50,26750,26650,BID,500,-0.19,16,1423210000,53400
26650,022030,26700,-50,26750,26650,BID,1500,-0.19,21,1519280000,57000
26650,022029,26650,-100,26750,26650,ASK,1000,-0.37,20,1492630000,56000
26650,022114,26650,-100,26750,26650,ASK,100,-0.37,23,1586030000,59500
26650,022106,26700,-50,26750,26650,BID,1000,-0.19,22,1559330000,58500
26650,022205,26650,-100,26750,26650,ASK,100,-0.37,26,1642095000,61600
26650,022200,26700,-50,26750,26650,BID,1000,-0.19,25,1615395000,60600
26650,022131,26700,-50,26750,26650,BID,1000,-0.19,24,1588695000,59600
26650,022244,26700,-50,26750,26650,BID,100,-0.19,30,1660755000,62300
26650,022230,26650,-100,26750,26650,ASK,400,-0.37,29,1650095000,61900
26650,022230,26650,-100,26750,26650,ASK,100,-0.37,29,1647430000,61800
26650,022207,26700,-50,26750,26650,BID,100,-0.19,27,1644760000,61700
26650,022322,26700,-50,26750,26650,BID,200,-0.19,34,1687445000,63300
26650,022310,26700,-50,26750,26650,BID,100,-0.19,33,1684775000,63200
