o,t,c,ch,h,l,mb,mv,ra,se,va,vo
91000,021531,91000,-500,91000,91000,BID,200,-0.55,4,791700000,8700
91000,021529,91000,-500,91000,91000,BID,1400,-0.55,3,664300000,7300
91000,021528,91000,-500,91000,91000,BID,100,-0.55,2,655200000,7200
91000,021526,91000,-500,91000,91000,UNKNOWN,7200,-0.55,1,0,0
91000,021604,91000,-500,91000,91000,BID,100,-0.55,2,0,9000
91000,021604,91000,-500,91000,91000,BID,200,-0.55,1,837200000,9200
91000,021555,91000,-500,91000,91000,BID,100,-0.55,382500000029,828100000,9100
91000,021545,91000,-500,91000,91000,BID,100,-0.55,382500000028,819000000,9000
91000,021535,91000,-500,91000,91000,BID,100,-0.55,5,809900000,8900
91000,021643,91000,-500,91000,91000,BID,100,-0.55,7,900900000,9900
91000,021633,91000,-500,91000,91000,BID,100,-0.55,6,891800000,9800
91000,021629,91000,-500,91000,91000,BID,100,-0.55,5,882700000,9700
91000,021624,91000,-500,91000,91000,BID,100,-0.55,4,873600000,9600
91000,021614,91000,-500,91000,91000,BID,100,-0.55,3,864500000,9500
91000,021721,91100,-400,91100,91000,BID,200,-0.44,8,910000000,10000
91000,021802,91100,-400,91100,91000,BID,100,-0.44,15,1064870000,11700
91000,021750,91100,-400,91100,91000,BID,100,-0.44,14,1055760000,11600
91000,021741,91100,-400,91100,91000,BID,100,-0.44,13,1046650000,11500
91000,021735,91100,-400,91100,91000,BID,200,-0.44,12,1028430000,11300
91000,021733,91100,-400,91100,91000,BID,700,-0.44,11,964660000,10600
91000,021733,91100,-400,91100,91000,BID,300,-0.44,11,937330000,10300
91000,021731,91100,-400,91100,91000,BID,100,-0.44,9,928220000,10200
91000,021839,91100,-400,91100,91000,BID,100,-0.44,20,1110420000,12200
91000,021838,91100,-400,91100,91000,BID,100,-0.44,19,1101310000,12100
91000,021830,91100,-400,91100,91000,BID,100,-0.44,18,1092200000,12000
91000,021819,91100,-400,91100,91000,BID,100,-0.44,17,1083090000,11900
91000,021810,91100,-400,91100,91000,BID,100,-0.44,16,1073980000,11800
91000,021922,91000,-500,91100,91000,BID,200,-0.55,31,1265170000,13900
91000,021922,91000,-500,91100,91000,ASK,200,-0.55,30,1246970000,13700
91000,021922,91000,-500,91100,91000,ASK,100,-0.55,30,1228770000,13500
91000,021922,91000,-500,91100,91000,ASK,100,-0.55,30,1237870000,13600
91000,021922,91000,-500,91100,91000,ASK,100,-0.55,27,1155970000,12700
91000,021922,91000,-500,91100,91000,ASK,600,-0.55,27,1165070000,12800
91000,021922,91000,-500,91100,91000,ASK,100,-0.55,27,1219670000,13400
91000,021917,91100,-400,91100,91000,BID,100,-0.44,24,1146860000,12600
91000,021908,91100,-400,91100,91000,BID,100,-0.44,23,1137750000,12500
91000,021858,91100,-400,91100,91000,BID,100,-0.44,22,1128640000,12400
91000,021848,91100,-400,91100,91000,BID,100,-0.44,21,1119530000,12300
91000,021956,91000,-500,91100,91000,BID,100,-0.55,35,1310670000,14400
91000,021946,91000,-500,91100,91000,BID,100,-0.55,34,1301570000,14300
91000,021937,91000,-500,91100,91000,BID,100,-0.55,33,1292470000,14200
91000,021927,91000,-500,91100,91000,BID,100,-0.55,32,1283370000,14100
91000,022034,91000,-500,91100,91000,BID,100,-0.55,41,1401670000,15400
91000,022025,91000,-500,91100,91000,BID,100,-0.55,40,1392570000,15300
91000,022020,91000,-500,91100,91000,BID,100,-0.55,39,1383470000,15200
91000,022018,91000,-500,91100,91000,BID,500,-0.55,38,1337970000,14700
91000,022015,91000,-500,91100,91000,BID,100,-0.55,37,1328870000,14600
91000,022006,91000,-500,91100,91000,BID,100,-0.55,36,1319770000,14500
91000,022102,90900,-600,91100,90900,BID,100,-0.66,52,1701680000,18700
91000,022102,90900,-600,91100,90900,ASK,1000,-0.66,51,1610780000,17700
91000,022102,90900,-600,91100,90900,ASK,100,-0.66,50,1601690000,17600
91000,022102,90900,-600,91100,90900,ASK,100,-0.66,49,1538060000,16900
91000,022102,90900,-600,91100,90900,ASK,100,-0.66,49,1483520000,16300
91000,022102,90900,-600,91100,90900,ASK,600,-0.66,49,1547150000,17000
91000,022102,90900,-600,91100,90900,ASK,500,-0.66,49,1492610000,16400
91000,022102,90900,-600,91100,90900,ASK,500,-0.66,49,1438070000,15800
91000,022054,91000,-500,91100,91000,BID,100,-0.55,44,1428970000,15700
91000,022044,91000,-500,91100,91000,BID,100,-0.55,43,1419870000,15600
91000,022041,91000,-500,91100,91000,BID,100,-0.55,42,1410770000,15500
91000,022154,90900,-600,91100,90900,ASK,100,-0.66,62,1847120000,20300
91000,022153,90900,-600,91100,90900,ASK,100,-0.66,61,1838030000,20200
91000,022153,90900,-600,91100,90900,ASK,100,-0.66,61,1828940000,20100
91000,022153,90900,-600,91100,90900,ASK,100,-0.66,59,1819850000,20000
91000,022143,90900,-600,91100,90900,ASK,100,-0.66,58,1810760000,19900
91000,022143,90900,-600,91100,90900,ASK,100,-0.66,58,1792580000,19700
91000,022143,90900,-600,91100,90900,ASK,100,-0.66,58,1801670000,19800
91000,022143,90900,-600,91100,90900,ASK,400,-0.66,58,1756220000,19300
91000,022141,90900,-600,91100,90900,ASK,400,-0.66,54,1710770000,18800
91000,022141,90900,-600,91100,90900,ASK,100,-0.66,54,1747130000,19200
91000,022230,90900,-600,91100,90900,BID,100,-0.66,67,1919840000,21100
91000,022221,90900,-600,91100,90900,BID,100,-0.66,66,1910750000,21000
91000,022211,90900,-600,91100,90900,BID,100,-0.66,65,1901660000,20900
91000,022205,90900,-600,91100,90900,BID,400,-0.66,64,1865300000,20500
91000,022201,90900,-600,91100,90900,BID,100,-0.66,63,1856210000,20400
91000,022309,90900,-600,91100,90900,BID,100,-0.66,75,1992560000,21900
91000,022300,90900,-600,91100,90900,BID,100,-0.66,74,1983470000,21800
91000,022259,90900,-600,91100,90900,BID,100,-0.66,73,1974380000,21700
91000,022254,90900,-600,91100,90900,BID,100,-0.66,72,1965290000,21600
91000,022250,90900,-600,91100,90900,BID,100,-0.66,71,1956200000,21500
91000,022244,90900,-600,91100,90900,BID,100,-0.66,70,1947110000,21400
91000,022240,90900,-600,91100,90900,BID,100,-0.66,69,1938020000,21300
91000,022239,90900,-600,91100,90900,BID,100,-0.66,68,1928930000,21200
91000,022348,90900,-600,91100,90900,BID,100,-0.66,79,2028920000,22300
91000,022338,90900,-600,91100,90900,BID,100,-0.66,78,2019830000,22200
91000,022328,90900,-600,91100,90900,BID,100,-0.66,77,2010740000,22100
91000,022319,90900,-600,91100,90900,BID,100,-0.66,76,2001650000,22000
91000,022426,91000,-500,91100,90900,BID,100,-0.55,84,2074410000,22800
91000,022416,91000,-500,91100,90900,BID,100,-0.55,83,2065310000,22700
91000,022407,91000,-500,91100,90900,BID,100,-0.55,82,2056210000,22600
91000,022357,91000,-500,91100,90900,BID,100,-0.55,81,2047110000,22500
91000,022350,91000,-500,91100,90900,BID,100,-0.55,80,2038010000,22400
91000,022505,91000,-500,91100,90900,BID,100,-0.55,88,2110810000,23200
91000,022455,91000,-500,91100,90900,BID,100,-0.55,87,2101710000,23100
91000,022445,91000,-500,91100,90900,BID,100,-0.55,86,2092610000,23000
91000,022436,91000,-500,91100,90900,BID,100,-0.55,85,2083510000,22900
91000,022543,90900,-600,91100,90900,BID,100,-0.66,92,2147200000,23600
91000,022534,90900,-600,91100,90900,BID,100,-0.66,91,2138110000,23500
91000,022524,91000,-500,91100,90900,BID,100,-0.55,90,2129010000,23400
