o,t,c,ch,h,l,mb,mv,ra,se,va,vo
44200,021529,44200,-550,44200,44200,BID,300,-1.23,2,415480000,9400
44200,021527,44200,-550,44200,44200,UNKNOWN,9400,-1.23,1,0,0
44200,021622,44250,-500,44250,44200,ASK,200,-1.12,1,0,9700
44200,021730,44400,-350,44400,44200,ASK,300,-0.78,3,446470000,10100
44200,021729,44400,-350,44400,44200,ASK,200,-0.78,2,437590000,9900
44200,021804,44400,-350,44400,44200,ASK,100,-0.78,4,459790000,10400
44200,021847,44700,-50,44700,44200,BID,100,-0.11,11,504280000,11400
44200,021847,44700,-50,44700,44200,BID,200,-0.11,11,508750000,11500
44200,021837,44500,-250,44500,44200,ASK,200,-0.56,9,495380000,11200
44200,021837,44500,-250,44500,44200,ASK,100,-0.56,9,490930000,11100
44200,021831,44500,-250,44500,44200,BID,200,-0.56,7,482030000,10900
44200,021824,44500,-250,44500,44200,BID,300,-0.56,6,468680000,10600
44200,021823,44500,-250,44500,44200,BID,100,-0.56,5,464230000,10500
44200,021921,44700,-50,44700,44200,ASK,100,-0.11,17,571330000,12900
44200,021921,44700,-50,44700,44200,ASK,100,-0.11,17,575800000,13000
44200,021904,44700,-50,44700,44200,BID,200,-0.11,15,562390000,12700
44200,021900,44700,-50,44700,44200,BID,400,-0.11,14,544510000,12300
44200,021858,44700,-50,44700,44200,BID,300,-0.11,13,531100000,12000
44200,021851,44700,-50,44700,44200,BID,300,-0.11,12,517690000,11700
44200,021946,44700,-50,44700,44200,ASK,100,-0.11,19,589210000,13300
44200,021945,44700,-50,44700,44200,ASK,200,-0.11,18,580270000,13100
44200,022045,44700,-50,44700,44200,BID,400,-0.11,35,817180000,18400
44200,022038,44700,-50,44700,44200,BID,300,-0.11,34,803770000,18100
44200,022032,44700,-50,44700,44200,BID,300,-0.11,33,790360000,17800
44200,022027,44700,-50,44700,44200,BID,400,-0.11,32,772480000,17400
44200,022025,44700,-50,44700,44200,BID,300,-0.11,31,759070000,17100
44200,022018,44700,-50,44700,44200,BID,400,-0.11,30,741190000,16700
44200,022013,44700,-50,44700,44200,ASK,300,-0.11,29,727780000,16400
44200,022013,44700,-50,44700,44200,ASK,300,-0.11,29,665200000,15000
44200,022013,44700,-50,44700,44200,ASK,300,-0.11,29,714370000,16100
44200,022013,44700,-50,44700,44200,ASK,300,-0.11,28,651790000,14700
44200,022013,44700,-50,44700,44200,ASK,400,-0.11,28,696490000,15700
44200,022013,44700,-50,44700,44200,ASK,400,-0.11,23,620500000,14000
44200,022013,44700,-50,44700,44200,ASK,300,-0.11,27,638380000,14400
44200,022013,44700,-50,44700,44200,ASK,400,-0.11,28,678610000,15300
44200,022013,44700,-50,44700,44200,ASK,300,-0.11,22,607090000,13700
44200,022013,44700,-50,44700,44200,ASK,300,-0.11,20,593680000,13400
