o,t,c,ch,h,l,mb,mv,ra,se,va,vo
49500,021526,49500,800,49500,49500,UNKNOWN,5400,1.64,1,0,0
49500,021547,49450,750,49500,49450,BID,200,1.54,20900000016,267300000,5400
49500,021634,49450,750,49500,49450,BID,200,1.54,1,0,5400
49500,021741,49200,500,49500,49200,ASK,100,1.03,2,287080000,5800
49500,021801,49200,500,49500,49200,BID,100,1.03,4,336280000,6800
49500,021752,49200,500,49500,49200,ASK,900,1.03,3,292000000,5900
49500,021859,49400,700,49500,49200,BID,100,1.44,5,341200000,6900
49500,021938,49400,700,49500,49200,BID,200,1.44,6,346140000,7000
49500,022400,49200,500,49500,49200,ASK,300,1.03,7,356020000,7200
49500,022441,49200,500,49500,49200,BID,200,1.03,11,395400000,8000
49500,022425,49200,500,49500,49200,ASK,100,1.03,10,390480000,7900
49500,022425,49200,500,49500,49200,ASK,200,1.03,10,380640000,7700
49500,022405,49300,600,49500,49200,BID,200,1.23,8,370780000,7500
49500,022512,49200,500,49500,49200,BID,100,1.03,13,410160000,8300
49500,022512,49200,500,49500,49200,BID,100,1.03,13,405240000,8200
49500,022554,49250,550,49500,49200,BID,300,1.13,14,415080000,8400
49500,022654,49250,550,49500,49200,BID,200,1.13,15,429855000,8700
49500,022734,49250,550,49500,49100,BID,200,1.13,18,537905000,10900
49500,022709,49100,400,49500,49100,ASK,1000,0.82,17,488805000,9900
49500,022709,49100,400,49500,49100,ASK,1000,0.82,17,439705000,8900
49500,022756,49250,550,49500,49100,BID,200,1.13,19,547755000,11100
49500,022852,49250,550,49500,49100,BID,100,1.13,21,567455000,11500
49500,022821,49250,550,49500,49100,BID,200,1.13,20,557605000,11300
49500,022948,49250,550,49500,49100,BID,100,1.13,22,572380000,11600
49500,023034,49250,550,49500,49100,BID,200,1.13,24,587155000,11900
49500,023033,49250,550,49500,49100,BID,200,1.13,23,577305000,11700
49500,023336,49200,500,49500,49100,ASK,100,1.03,25,597005000,12100
49200,023605,49150,450,49500,49100,BID,100,0.92,2,621570000,12600
49200,023605,49150,450,49500,49100,BID,100,0.92,2,0,12200
49500,023603,49100,400,49500,49100,ASK,300,0.82,20900000043,601925000,12200
49200,023648,49150,450,49500,49100,BID,200,0.92,4,626485000,12700
49200,023648,49150,450,49500,49100,BID,100,0.92,4,636315000,12900
49200,023653,49000,300,49500,49000,ASK,600,0.62,5,641230000,13000
49200,023809,49000,300,49500,49000,BID,900,0.62,16,817630000,16600
49200,023809,49000,300,49500,49000,BID,800,0.62,16,729430000,14800
49200,023809,49000,300,49500,49000,BID,1000,0.62,16,768630000,15600
49200,023754,49000,300,49500,49000,ASK,100,0.62,13,719630000,14600
49200,023754,49000,300,49500,49000,ASK,100,0.62,13,724530000,14700
49200,023754,49000,300,49500,49000,ASK,100,0.62,13,714730000,14500
49200,023754,49000,300,49500,49000,ASK,100,0.62,11,709830000,14400
49200,023754,49000,300,49500,49000,ASK,100,0.62,10,704930000,14300
49200,023754,49000,300,49500,49000,ASK,100,0.62,8,700030000,14200
49200,023754,49000,300,49500,49000,ASK,200,0.62,8,690230000,14000
49200,023754,49000,300,49500,49000,ASK,400,0.62,6,670630000,13600
49200,023900,49000,300,49500,49000,ASK,1000,0.62,17,861730000,17500
49200,023933,49150,450,49500,49000,BID,200,0.92,18,910730000,18500
49200,024028,49150,450,49500,49000,BID,200,0.92,19,920560000,18700
49200,024151,49150,450,49500,49000,BID,300,0.92,20,930390000,18900
49200,024236,49000,300,49500,49000,ASK,500,0.62,21,945135000,19200
49200,024311,49000,300,49500,49000,ASK,100,0.62,26,1038265000,21100
49200,024311,49000,300,49500,49000,ASK,100,0.62,26,1043165000,21200
49200,024311,49000,300,49500,49000,ASK,1200,0.62,26,979465000,19900
49200,024311,49000,300,49500,49000,ASK,1000,0.62,26,1048065000,21300
49200,024255,49150,450,49500,49000,BID,200,0.92,22,969635000,19700
49200,024439,49000,300,49500,49000,ASK,100,0.62,27,1097065000,22300
49200,024456,49000,300,49500,49000,BID,500,0.62,29,1121565000,22800
49200,024456,49000,300,49500,49000,BID,400,0.62,29,1101965000,22400
49200,024656,49100,400,49500,49000,BID,200,0.82,30,1146065000,23300
49200,025053,49000,300,49500,49000,ASK,100,0.62,34,1170585000,23800
49200,025053,49000,300,49500,49000,ASK,100,0.62,33,1155885000,23500
49200,025053,49000,300,49500,49000,ASK,100,0.62,33,1165685000,23700
49200,025053,49000,300,49500,49000,ASK,100,0.62,33,1160785000,23600
49200,025111,49000,300,49500,49000,BID,200,0.62,35,1175485000,23900
49200,025142,49000,300,49500,49000,ASK,300,0.62,36,1185285000,24100
49200,025431,49000,300,49500,49000,BID,100,0.62,37,1199985000,24400
49200,025500,49000,300,49500,49000,BID,100,0.62,38,1204885000,24500
49200,025523,49000,300,49500,49000,BID,100,0.62,42,1258785000,25600
49200,025523,49000,300,49500,49000,BID,100,0.62,42,1229385000,25000
49200,025523,49000,300,49500,49000,BID,500,0.62,42,1234285000,25100
49200,025523,49000,300,49500,49000,BID,400,0.62,42,1209785000,24600
49200,025645,49000,300,49500,49000,ASK,300,0.62,43,1263685000,25700
49200,030148,49000,300,49500,49000,ASK,1000,0.62,45,1283295000,26100
49200,030144,49100,400,49500,49000,BID,100,0.82,44,1278385000,26000
49200,030522,49000,300,49500,49000,ASK,1800,0.62,49,1391095000,28300
49200,030522,49000,300,49500,49000,ASK,100,0.62,49,1381295000,28100
49200,030522,49000,300,49500,49000,ASK,100,0.62,49,1386195000,28200
49200,030522,49000,300,49500,49000,ASK,1000,0.62,49,1332295000,27100
49200,030536,49000,300,49500,49000,ASK,2200,0.62,50,1479295000,30100
49200,030632,49100,400,49500,49000,BID,100,0.82,51,1587095000,32300
49200,030858,49100,400,49500,49000,BID,100,0.82,52,1592005000,32400
49200,030943,49100,400,49500,49000,BID,200,0.82,54,1601825000,32600
49200,030920,49100,400,49500,49000,BID,100,0.82,53,1596915000,32500
49200,031015,49050,350,49500,49000,BID,100,0.72,55,1611645000,32800
49200,031150,49050,350,49500,49000,BID,200,0.72,56,1616550000,32900
49200,031223,49050,350,49500,49000,ASK,700,0.72,59,1641090000,33400
49200,031212,49100,400,49500,49000,BID,100,0.82,58,1636180000,33300
49200,031212,49100,400,49500,49000,BID,200,0.82,58,1626360000,33100
49200,031250,49100,400,49500,49000,BID,100,0.82,61,1685245000,34300
49200,031235,49100,400,49500,49000,BID,200,0.82,60,1675425000,34100
49200,031321,49100,400,49500,49000,BID,100,0.82,62,1690155000,34400
49200,031717,49000,300,49500,49000,ASK,2500,0.62,66,1773465000,36100
49200,031717,49000,300,49500,49000,ASK,1000,0.62,65,1724465000,35100
49200,031717,49000,300,49500,49000,ASK,100,0.62,64,1719565000,35000
49200,031717,49000,300,49500,49000,ASK,500,0.62,64,1695065000,34500
49200,031746,49000,300,49500,49000,ASK,100,0.62,68,1920465000,39100
49200,031727,49000,300,49500,49000,ASK,500,0.62,67,1895965000,38600
49200,032052,48900,200,49500,48900,ASK,100,0.41,69,1925365000,39200
49200,032204,49000,300,49500,48900,BID,200,0.62,70,1930255000,39300
49200,032232,49000,300,49500,48900,BID,200,0.62,74,1954755000,39800
49200,032216,49000,300,49500,48900,BID,100,0.62,73,1944955000,39600
49200,032216,49000,300,49500,48900,BID,100,0.62,73,1949855000,39700
49200,032212,49000,300,49500,48900,BID,100,0.62,71,1940055000,39500
49200,032318,49000,300,49500,48900,BID,100,0.62,76,1974355000,40200
49200,032318,49000,300,49500,48900,BID,200,0.62,76,1964555000,40000
49200,032400,49000,300,49500,48900,BID,200,0.62,80,2003755000,40800
49200,032348,49000,300,49500,48900,BID,100,0.62,79,1998855000,40700
49200,032348,49000,300,49500,48900,BID,200,0.62,78,1989055000,40500
49200,032338,49000,300,49500,48900,BID,200,0.62,77,1979255000,40300
49200,032446,49000,300,49500,48900,BID,100,0.62,83,2033155000,41400
49200,032429,49000,300,49500,48900,BID,200,0.62,82,2023355000,41200
49200,032418,49000,300,49500,48900,BID,200,0.62,81,2013555000,41000
49200,032531,49000,300,49500,48800,BID,200,0.62,92,2443370000,49800
49200,032530,48800,100,49500,48800,ASK,200,0.21,91,2155450000,43900
49200,032530,48800,100,49500,48800,ASK,4300,0.21,90,2233530000,45500
49200,032530,48800,100,49500,48800,ASK,1000,0.21,90,2165210000,44100
49200,032530,48950,250,49500,48900,ASK,700,0.51,90,2038055000,41500
49200,032530,48800,100,49500,48800,ASK,400,0.21,90,2214010000,45100
49200,032530,48900,200,49500,48900,ASK,1000,0.41,90,2072320000,42200
49200,032530,48900,200,49500,48900,ASK,200,0.41,90,2145670000,43700
49200,032530,48900,200,49500,48900,ASK,500,0.41,90,2121220000,43200
49200,033016,49000,300,49500,48800,BID,300,0.62,95,2472770000,50400
49200,033016,49000,300,49500,48800,BID,200,0.62,94,2462970000,50200
49200,033009,49000,300,49500,48800,BID,200,0.62,93,2453170000,50000
49200,033052,49000,300,49500,48800,BID,200,0.62,101,2575670000,52500
49200,033052,49000,300,49500,48800,BID,200,0.62,101,2585470000,52700
49200,033042,49000,300,49500,48800,BID,400,0.62,99,2556070000,52100
