o,t,c,ch,h,l,mb,mv,ra,se,va,vo
29300,021528,29300,300,29300,29300,ASK,100,1.03,2,2443620000,83400
29300,021526,29300,300,29300,29300,UNKNOWN,83400,1.03,1,0,0
29300,021557,29350,350,29350,29300,BID,100,1.21,58000000064,2505250000,85500
29300,021552,29350,350,29350,29300,BID,600,1.21,58000000062,2446550000,83500
29300,021552,29350,350,29350,29300,BID,1400,1.21,58000000063,2464160000,84100
29300,021651,29300,300,29350,29200,ASK,100,1.03,10,2590305000,88400
29300,021641,29200,200,29350,29200,ASK,100,0.69,9,2587385000,88300
29300,021637,29350,350,29350,29300,BID,900,1.21,8,2560970000,87400
29300,021637,29350,350,29350,29300,BID,100,1.21,8,2558035000,87300
29300,021637,29350,350,29350,29300,BID,500,1.21,6,2534555000,86500
29300,021637,29350,350,29350,29300,BID,300,1.21,6,2549230000,87000
29300,021637,29300,300,29300,29300,BID,200,1.03,6,2528695000,86300
29300,021636,29300,300,29300,29300,ASK,100,1.03,3,2525765000,86200
29300,021631,29300,300,29300,29300,ASK,200,1.03,2,2519905000,86000
29300,021622,29300,300,29300,29300,ASK,400,1.03,1,0,83500
29300,021705,29200,200,29350,29200,ASK,500,0.69,11,2593235000,88500
29300,021803,29200,200,29350,29200,ASK,100,0.69,13,2613675000,89200
29300,021747,29200,200,29350,29200,ASK,200,0.69,12,2607835000,89000
29300,021830,29200,200,29350,29200,ASK,300,0.69,14,2616595000,89300
29300,021920,29200,200,29350,29200,ASK,500,0.69,18,2701505000,92200
29300,021918,29300,300,29350,29200,BID,1000,1.03,17,2672205000,91200
29300,021917,29200,200,29350,29200,ASK,300,0.69,16,2663445000,90900
29300,021859,29300,300,29350,29200,BID,1300,1.03,15,2625355000,89600
29300,021957,29250,250,29350,29200,ASK,500,0.86,20,2780565000,94900
29300,021937,29300,300,29350,29200,BID,2200,1.03,19,2716105000,92700
29300,022035,29250,250,29350,29200,ASK,100,0.86,23,2818590000,96200
29300,022033,29250,250,29350,29200,ASK,500,0.86,22,2803965000,95700
29300,022013,29250,250,29350,29200,ASK,300,0.86,21,2795190000,95400
29300,022120,29300,300,29350,29200,BID,1000,1.03,26,2880015000,98300
29300,022119,29250,250,29350,29200,ASK,500,0.86,25,2865390000,97800
29300,022053,29250,250,29350,29200,ASK,1500,0.86,24,2821515000,96300
29300,022238,29250,250,29350,29200,ASK,500,0.86,27,2909315000,99300
29300,022317,29250,250,29350,29200,ASK,2000,0.86,41,3122840000,106600
29300,022317,29250,250,29350,29200,ASK,200,0.86,41,3116990000,106400
29300,022317,29250,250,29350,29200,ASK,1000,0.86,41,3058490000,104400
29300,022317,29250,250,29350,29200,ASK,1000,0.86,41,3087740000,105400
29300,022313,29250,250,29350,29200,ASK,300,0.86,37,3049715000,104100
29300,022306,29250,250,29350,29200,ASK,1500,0.86,36,3005840000,102600
29300,022303,29250,250,29350,29200,ASK,100,0.86,35,3002915000,102500
29300,022302,29250,250,29350,29200,ASK,100,0.86,34,2999990000,102400
29300,022302,29250,250,29350,29200,ASK,1000,0.86,34,2956115000,100900
29300,022302,29250,250,29350,29200,ASK,400,0.86,34,2944415000,100500
29300,022302,29250,250,29350,29200,ASK,500,0.86,34,2985365000,101900
29300,022256,29250,250,29350,29200,ASK,500,0.86,30,2929790000,100000
29300,022255,29250,250,29350,29200,ASK,100,0.86,29,2926865000,99900
29300,022255,29250,250,29350,29200,ASK,100,0.86,29,2923940000,99800
29300,022400,29200,200,29350,29200,ASK,100,0.69,45,3216435000,109800
29300,022344,29200,200,29350,29200,ASK,100,0.69,44,3213515000,109700
29300,022328,29250,250,29350,29200,BID,400,0.86,43,3201815000,109300
29300,022327,29250,250,29350,29200,BID,700,0.86,42,3181340000,108600
29300,022438,29250,250,29350,29200,BID,2000,0.86,59,3587370000,122500
29300,022433,29200,200,29350,29200,ASK,200,0.69,58,3581530000,122300
29300,022423,29200,200,29350,29200,ASK,500,0.69,57,3566930000,121800
29300,022418,29200,200,29350,29200,ASK,800,0.69,56,3543570000,121000
29300,022418,29200,200,29350,29200,ASK,200,0.69,56,3537730000,120800
29300,022418,29200,200,29350,29200,ASK,5000,0.69,54,3353770000,114500
29300,022418,29200,200,29350,29200,ASK,300,0.69,54,3345010000,114200
29300,022418,29200,200,29350,29200,ASK,1300,0.69,54,3499770000,119500
29300,022418,29200,200,29350,29200,ASK,300,0.69,54,3315810000,113200
29300,022418,29200,200,29350,29200,ASK,100,0.69,54,3283690000,112100
29300,022418,29200,200,29350,29200,ASK,1000,0.69,54,3286610000,112200
29300,022418,29200,200,29350,29200,ASK,700,0.69,54,3324570000,113500
29300,022418,29200,200,29350,29200,ASK,300,0.69,54,3274930000,111800
29300,022402,29250,250,29350,29200,BID,1900,0.86,46,3219355000,109900
29300,022510,29300,300,29350,29200,BID,2000,1.03,74,4160670000,142100
29300,022508,29250,250,29350,29200,ASK,200,0.86,73,4154820000,141900
29300,022458,29250,250,29350,29200,BID,500,0.86,72,4140195000,141400
29300,022458,29250,250,29350,29200,BID,4700,0.86,72,4002720000,136700
29300,022443,29250,250,29350,29200,BID,1500,0.86,70,3797970000,129700
29300,022443,29250,250,29350,29200,BID,200,0.86,70,3841845000,131200
29300,022443,29250,250,29350,29200,BID,100,0.86,70,3795045000,129600
29300,022443,29250,250,29350,29200,BID,1600,0.86,70,3710220000,126700
29300,022443,29250,250,29350,29200,BID,5300,0.86,70,3847695000,131400
29300,022443,29250,250,29350,29200,BID,100,0.86,70,3792120000,129500
29300,022443,29250,250,29350,29200,BID,100,0.86,70,3786270000,129300
29300,022443,29250,250,29350,29200,BID,1000,0.86,70,3757020000,128300
29300,022443,29250,250,29350,29200,BID,100,0.86,69,3789195000,129400
29300,022442,29250,250,29350,29200,BID,1400,0.86,61,3669270000,125300
29300,022441,29250,250,29350,29200,BID,800,0.86,60,3645870000,124500
29300,022546,29250,250,29350,29200,BID,1500,0.86,76,4321645000,147600
29300,022539,29250,250,29350,29200,ASK,3500,0.86,75,4219270000,144100
29300,022551,29300,300,29350,29200,BID,500,1.03,82,4386030000,149800
29300,022551,29300,300,29350,29200,BID,100,1.03,82,4406540000,150500
29300,022551,29300,300,29350,29200,BID,200,1.03,82,4380170000,149600
29300,022551,29300,300,29350,29200,BID,200,1.03,82,4400680000,150300
29300,022551,29300,300,29350,29200,BID,700,1.03,82,4409470000,150600
29300,022551,29300,300,29350,29200,BID,500,1.03,82,4365520000,149100
29300,022701,29300,300,29350,29200,BID,3700,1.03,84,4491510000,153400
29300,022654,29300,300,29350,29200,BID,2100,1.03,83,4429980000,151300
