o,t,c,ch,h,l,mb,mv,ra,se,va,vo
107700,021526,107700,0,107700,107700,UNKNOWN,300,0,1,0,0
107700,021549,107700,0,107700,107700,BID,200,0,115200000008,32310000,300
107700,021635,107900,200,107900,107700,BID,100,0.19,2,75390000,700
107700,021635,107700,0,107700,107700,BID,200,0.0,2,0,300
107700,021701,107900,200,107900,107700,BID,100,0.19,3,86180000,800
107700,021846,107800,100,107900,107700,BID,100,0.09,4,96970000,900
107700,021859,107900,200,107900,107700,BID,200,0.19,5,107750000,1000
107700,021939,107900,200,107900,107700,BID,100,0.19,7,129330000,1200
107700,021939,107900,200,107900,107700,BID,200,0.19,7,140120000,1300
107700,022031,107900,200,107900,107700,BID,100,0.19,9,172490000,1600
107700,022018,107900,200,107900,107700,BID,100,0.19,8,161700000,1500
107700,022321,107900,200,107900,107700,BID,100,0.19,14,269580000,2500
107700,022321,107900,200,107900,107700,BID,100,0.19,14,280370000,2600
107700,022321,107800,100,107900,107700,BID,100,0.09,12,194060000,1800
107700,022321,107800,100,107900,107700,BID,100,0.09,12,183280000,1700
107700,022321,107900,200,107900,107700,BID,600,0.19,12,204840000,1900
107700,022403,107900,200,107900,107700,BID,100,0.19,16,301940000,2800
107700,022403,107800,100,107900,107700,BID,100,0.09,16,291160000,2700
107700,022441,107900,200,107900,107700,BID,100,0.19,18,334290000,3100
107700,022440,107800,100,107900,107700,BID,200,0.09,17,312730000,2900
107700,022513,107900,200,107900,107700,BID,100,0.19,21,355870000,3300
107700,022513,107900,200,107900,107700,BID,100,0.19,21,366660000,3400
107700,022513,107900,200,107900,107700,BID,100,0.19,19,345080000,3200
107700,022554,107900,200,107900,107700,BID,300,0.19,22,377450000,3500
107700,022641,107800,100,107900,107700,BID,100,0.09,23,409820000,3800
107700,022654,107900,200,107900,107700,BID,300,0.19,24,420600000,3900
107700,022756,107900,200,107900,107700,BID,100,0.19,28,528500000,4900
107700,022756,107900,200,107900,107700,BID,100,0.19,28,517710000,4800
107700,022744,107900,200,107900,107700,BID,300,0.19,26,485340000,4500
107700,022744,107900,200,107900,107700,BID,300,0.19,26,452970000,4200
107700,022846,107900,200,107900,107700,BID,200,0.19,33,582450000,5400
107700,022824,107900,200,107900,107700,BID,100,0.19,32,571660000,5300
107700,022820,107900,200,107900,107700,BID,100,0.19,31,550080000,5100
107700,022820,107900,200,107900,107700,BID,100,0.19,31,539290000,5000
107700,022820,107900,200,107900,107700,BID,100,0.19,31,560870000,5200
107700,022853,107900,200,107900,107700,BID,200,0.19,34,604030000,5600
107700,022948,107900,200,107900,107700,BID,200,0.19,35,625610000,5800
107700,023036,108000,300,108000,107700,BID,300,0.28,42,787510000,7300
107700,023035,108000,300,108000,107700,BID,300,0.28,41,755110000,7000
107700,023035,107900,200,108000,107700,BID,500,0.19,41,701160000,6500
107700,023034,108000,300,108000,107700,BID,200,0.28,39,679560000,6300
107700,023034,107900,200,107900,107700,BID,100,0.19,38,668770000,6200
107700,023034,107900,200,107900,107700,BID,100,0.19,37,657980000,6100
107700,023006,107900,200,107900,107700,BID,100,0.19,36,647190000,6000
107700,023149,107900,200,108000,107700,BID,100,0.19,43,819910000,7600
107700,023332,107900,200,108000,107700,BID,100,0.19,44,830700000,7700
107700,023515,107900,200,108000,107700,BID,100,0.19,45,841490000,7800
107700,023543,107900,200,108000,107700,BID,400,0.19,48,873860000,8100
107700,023543,107900,200,108000,107700,BID,100,0.19,48,863070000,8000
107700,023543,107900,200,108000,107700,BID,100,0.19,48,852280000,7900
107700,023604,107900,200,108000,107700,BID,100,0.19,3,938600000,8700
107700,023604,107900,200,108000,107700,BID,100,0.19,3,917020000,8500
107700,023604,107900,200,108000,107700,BID,100,0.19,3,927810000,8600
107900,023657,107900,200,108000,107700,BID,100,0.19,6,981770000,9100
107900,023654,107900,200,108000,107700,BID,200,0.19,5,0,8500
107900,023654,108000,300,108000,107700,BID,100,0.28,5,970970000,9000
107900,023839,107900,200,108000,107700,BID,100,0.19,7,992560000,9200
107900,023934,107900,200,108000,107700,BID,200,0.19,8,1003350000,9300
107900,024024,107900,200,108000,107700,BID,100,0.19,12,1057300000,9800
107900,024024,107900,200,108000,107700,BID,100,0.19,12,1035720000,9600
107900,024024,107900,200,108000,107700,BID,100,0.19,12,1046510000,9700
107900,024023,107900,200,108000,107700,BID,100,0.19,9,1024930000,9500
107900,024102,107900,200,108000,107000,BID,100,0.19,18,1132650000,10500
107900,024050,107000,-700,108000,107000,ASK,100,-0.65,17,1121950000,10400
107900,024047,107900,200,108000,107000,BID,200,0.19,16,1100370000,10200
107900,024041,107000,-700,108000,107000,ASK,100,-0.65,15,1089670000,10100
