o,t,c,ch,h,l,mb,mv,ra,se,va,vo
14700,021526,14700,400,14700,14700,UNKNOWN,42000,2.8,1,0,0
14700,021549,14700,400,14700,14700,BID,400,2.8,23300000048,617400000,42000
14700,021644,14650,350,14700,14650,BID,1600,2.45,11,850960000,57900
14700,021639,14650,350,14700,14650,BID,500,2.45,10,843635000,57400
14700,021639,14650,350,14700,14650,BID,1000,2.45,9,828985000,56400
14700,021636,14650,350,14700,14650,BID,500,2.45,8,821660000,55900
14700,021632,14650,350,14700,14650,BID,1000,2.45,7,807010000,54900
14700,021627,14650,350,14700,14650,BID,200,2.45,6,804080000,54700
14700,021620,14650,350,14700,14650,ASK,200,2.45,5,801150000,54500
14700,021619,14700,400,14700,14700,BID,1000,2.8,4,786450000,53500
14700,021619,14700,400,14700,14700,BID,10000,2.8,3,639450000,43500
14700,021618,14700,400,14700,14700,BID,100,2.8,2,637980000,43400
14700,021617,14700,400,14700,14700,BID,1000,2.8,1,0,42000
14700,021737,14650,350,14700,14650,ASK,100,2.45,12,874400000,59500
14700,021758,14700,400,14700,14650,BID,200,2.8,15,1038535000,70700
14700,021758,14700,400,14700,14650,BID,1100,2.8,15,1022365000,69600
14700,021742,14650,350,14700,14650,ASK,10000,2.45,13,875865000,59600
14700,021857,14650,350,14700,14650,ASK,300,2.45,24,1761730000,119900
14700,021856,14700,400,14700,14650,BID,6100,2.8,23,1672060000,113800
14700,021856,14700,400,14700,14650,BID,3900,2.8,23,1614730000,109900
14700,021851,14700,400,14700,14650,BID,10000,2.8,21,1467730000,99900
14700,021844,14650,350,14700,14650,ASK,900,2.45,20,1454545000,99000
14700,021837,14700,400,14700,14650,BID,20000,2.8,19,1160545000,79000
14700,021836,14700,400,14700,14650,BID,100,2.8,18,1159075000,78900
14700,021832,14700,400,14700,14650,BID,300,2.8,17,1041475000,70900
14700,021832,14700,400,14700,14650,BID,7700,2.8,17,1045885000,71200
14700,021926,14650,350,14700,14650,ASK,100,2.45,31,1858735000,126500
14700,021916,14700,400,14700,14650,BID,500,2.8,30,1851385000,126000
14700,021914,14700,400,14700,14650,BID,1500,2.8,29,1829335000,124500
14700,021913,14700,400,14700,14650,BID,200,2.8,28,1826395000,124300
14700,021913,14700,400,14700,14650,BID,200,2.8,28,1823455000,124100
14700,021913,14700,400,14700,14650,BID,3600,2.8,28,1770535000,120500
14700,021859,14700,400,14700,14650,BID,300,2.8,25,1766125000,120200
14700,022013,14750,450,14750,14650,BID,400,3.15,56,2030930000,138200
14700,022012,14750,450,14750,14650,BID,200,3.15,55,2027980000,138000
14700,022011,14750,450,14750,14650,BID,400,3.15,54,2022080000,137600
14700,022011,14750,450,14750,14650,BID,200,3.15,53,2019130000,137400
14700,022010,14750,450,14750,14650,BID,200,3.15,52,2016180000,137200
14700,022010,14700,400,14750,14650,ASK,2000,2.8,51,1986780000,135200
14700,022009,14750,450,14750,14650,BID,200,3.15,50,1983830000,135000
14700,022008,14750,450,14750,14650,BID,200,3.15,49,1980880000,134800
14700,022008,14750,450,14750,14650,BID,200,3.15,49,1977930000,134600
14700,022008,14750,450,14750,14650,BID,200,3.15,47,1974980000,134400
14700,022008,14750,450,14750,14650,BID,200,3.15,46,1972030000,134200
14700,022007,14750,450,14750,14650,BID,200,3.15,45,1969080000,134000
14700,022007,14750,450,14750,14650,BID,400,3.15,44,1963180000,133600
14700,022006,14750,450,14750,14650,BID,200,3.15,43,1960230000,133400
14700,022006,14750,450,14750,14650,BID,200,3.15,42,1957280000,133200
14700,022005,14750,450,14750,14650,BID,200,3.15,41,1954330000,133000
14700,022005,14750,450,14750,14650,BID,200,3.15,40,1951380000,132800
14700,022004,14750,450,14750,14650,BID,400,3.15,39,1945480000,132400
14700,022004,14750,450,14750,14650,BID,400,3.15,38,1939580000,132000
14700,022000,14700,400,14700,14650,BID,1900,2.8,37,1908710000,129900
14700,022000,14700,400,14700,14650,BID,100,2.8,37,1936640000,131800
14700,022000,14700,400,14700,14650,BID,100,2.8,37,1938110000,131900
14700,022000,14700,400,14700,14650,BID,2900,2.8,37,1866080000,127000
14700,021938,14700,400,14700,14650,BID,100,2.8,33,1864610000,126900
14700,021938,14700,400,14700,14650,BID,300,2.8,33,1860200000,126600
14700,022040,14650,350,14750,14650,ASK,100,2.45,57,2036830000,138600
14700,022100,14650,350,14750,14650,ASK,100,2.45,59,2041245000,138900
14700,022049,14750,450,14750,14650,BID,200,3.15,58,2038295000,138700
14700,022157,14750,450,14750,14650,BID,1000,3.15,69,2204865000,150000
14700,022157,14750,450,14750,14650,BID,800,3.15,68,2147340000,146100
14700,022157,14750,450,14750,14650,BID,1000,3.15,68,2167990000,147500
14700,022157,14750,450,14750,14650,BID,500,3.15,68,2182740000,148500
14700,022157,14750,450,14750,14650,BID,1000,3.15,68,2190115000,149000
14700,022157,14750,450,14750,14650,BID,500,3.15,68,2159140000,146900
14700,022157,14750,450,14750,14650,BID,100,3.15,68,2166515000,147400
14700,022157,14750,450,14750,14650,BID,5100,3.15,68,2072115000,141000
14700,022151,14700,400,14750,14650,ASK,1900,2.8,61,2044185000,139100
14700,022140,14750,450,14750,14650,BID,100,3.15,60,2042710000,139000
14700,022225,14750,450,14750,14650,BID,100,3.15,70,2219615000,151000
14700,022305,14700,400,14750,14650,ASK,5000,2.8,73,2281360000,155200
14700,022305,14700,400,14750,14650,ASK,4000,2.8,73,2222560000,151200
14700,022248,14700,400,14750,14650,ASK,100,2.8,71,2221090000,151100
14700,022404,14700,400,14750,14650,BID,500,2.8,74,2354860000,160200
14700,022451,14700,400,14750,14650,BID,2500,2.8,76,2369560000,161200
14700,022438,14700,400,14750,14650,BID,500,2.8,75,2362210000,160700
14700,022514,14700,400,14750,14650,BID,400,2.8,77,2406310000,163700
14700,022557,14700,400,14750,14650,BID,400,2.8,87,2640040000,179600
14700,022557,14700,400,14750,14650,BID,200,2.8,87,2645920000,180000
14700,022557,14700,400,14750,14650,BID,500,2.8,87,2648860000,180200
14700,022553,14700,400,14750,14650,BID,400,2.8,84,2634160000,179200
14700,022553,14700,400,14750,14650,BID,100,2.8,84,2632690000,179100
14700,022536,14700,400,14750,14650,BID,4900,2.8,82,2560660000,174200
14700,022536,14700,400,14750,14650,BID,500,2.8,82,2479810000,168700
14700,022536,14700,400,14750,14650,BID,2100,2.8,82,2412190000,164100
14700,022536,14700,400,14750,14650,BID,2500,2.8,82,2443060000,166200
14700,022536,14700,400,14750,14650,BID,5000,2.8,82,2487160000,169200
14700,022641,14700,400,14750,14650,ASK,300,2.8,91,2657680000,180800
14700,022641,14700,400,14750,14650,ASK,200,2.8,91,2669440000,181600
14700,022641,14700,400,14750,14650,ASK,500,2.8,91,2662090000,181100
14700,022635,14700,400,14750,14650,ASK,100,2.8,88,2656210000,180700
14700,022725,14700,400,14750,14650,BID,900,2.8,95,2682670000,182500
14700,022716,14700,400,14750,14650,BID,100,2.8,94,2681200000,182400
14700,022656,14700,400,14750,14650,ASK,200,2.8,93,2672380000,181800
14700,022656,14700,400,14750,14650,BID,400,2.8,93,2675320000,182000
14700,022755,14700,400,14750,14650,BID,500,2.8,96,2695900000,183400
14700,022822,14700,400,14750,14650,BID,500,2.8,97,2703250000,183900
14700,022853,14700,400,14750,14650,BID,300,2.8,99,2715010000,184700
