o,t,c,ch,h,l,mb,mv,ra,se,va,vo
18250,021527,18250,200,18250,18250,UNKNOWN,10200,1.11,1,0,0
18250,021548,18400,350,18400,18250,BID,100,1.94,138600000033,273970000,15000
18250,021548,18400,350,18400,18250,BID,200,1.94,138600000034,275810000,15100
18250,021548,18400,350,18400,18250,BID,100,1.94,138600000032,272130000,14900
18250,021548,18400,350,18400,18250,BID,100,1.94,138600000035,279490000,15300
18250,021548,18300,250,18300,18250,BID,1000,1.39,138600000031,253830000,13900
18250,021548,18300,250,18300,18250,BID,3000,1.39,138600000029,197100000,10800
18250,021548,18400,350,18400,18250,BID,300,1.94,138600000036,281330000,15400
18250,021548,18300,250,18300,18250,BID,100,1.39,138600000030,252000000,13800
18250,021539,18250,200,18250,18250,ASK,100,1.11,2,186150000,10200
18250,021539,18250,200,18250,18250,ASK,500,1.11,2,187975000,10300
18250,021638,18450,400,18450,18250,BID,2800,2.22,5,329190000,18000
18250,021638,18450,400,18450,18250,BID,400,2.22,5,321810000,17600
18250,021638,18400,350,18400,18250,BID,200,1.94,5,318130000,17400
18250,021638,18400,350,18400,18250,BID,1600,1.94,4,288690000,15800
18250,021613,18400,350,18400,18250,BID,100,1.94,1,0,10800
18250,021654,18300,250,18450,18250,ASK,200,1.39,6,380850000,20800
18250,021852,18300,250,18450,18250,ASK,200,1.39,8,402810000,22000
18250,021852,18300,250,18450,18250,ASK,1000,1.39,7,384510000,21000
18250,021937,18450,400,18450,18250,BID,100,2.22,18,562870000,30700
18250,021937,18400,350,18450,18250,BID,600,1.94,18,549990000,30000
18250,021937,18400,350,18450,18250,BID,3800,1.94,18,480070000,26200
18250,021937,18450,400,18450,18250,BID,700,2.22,18,564715000,30800
18250,021937,18400,350,18450,18250,BID,100,1.94,18,561030000,30600
18250,021915,18400,350,18450,18250,BID,900,1.94,13,463510000,25300
18250,021859,18400,350,18450,18250,BID,800,1.94,12,406470000,22200
18250,021859,18400,350,18450,18250,BID,300,1.94,12,457990000,25000
18250,021859,18400,350,18450,18250,BID,1000,1.94,12,439590000,24000
18250,021859,18400,350,18450,18250,BID,1000,1.94,12,421190000,23000
18250,022123,18450,400,18450,18250,BID,100,2.22,19,577630000,31500
18250,022154,18350,300,18450,18250,ASK,500,1.66,20,579475000,31600
18250,022333,18400,350,18450,18250,ASK,200,1.94,24,614410000,33500
18250,022329,18400,350,18450,18250,BID,1000,1.94,23,590490000,32200
18250,022329,18400,350,18450,18250,BID,300,1.94,23,608890000,33200
18250,022329,18400,350,18450,18250,BID,100,1.94,23,588650000,32100
18250,022404,18400,350,18450,18250,ASK,200,1.94,32,748970000,40800
18250,022403,18450,400,18450,18250,BID,2000,2.22,31,664100000,36200
18250,022403,18450,400,18450,18250,BID,1000,2.22,31,701000000,38200
18250,022403,18450,400,18450,18250,BID,100,2.22,31,719450000,39200
18250,022403,18450,400,18450,18250,BID,1500,2.22,31,721295000,39300
18250,022403,18450,400,18450,18250,BID,200,2.22,31,660410000,36000
18250,022349,18400,350,18450,18250,ASK,200,1.94,26,656730000,35800
18250,022337,18400,350,18450,18250,ASK,2100,1.94,25,618090000,33700
18250,022438,18450,400,18450,18250,BID,100,2.22,43,778425000,42400
18250,022438,18450,400,18450,18250,BID,400,2.22,43,846690000,46100
