o,t,c,ch,h,l,mb,mv,ra,se,va,vo
11000,021528,11000,300,11000,11000,ASK,300,2.8,2,2161500000,196500
11000,021526,11000,300,11000,11000,UNKNOWN,196500,2.8,1,0,0
11000,021612,11000,300,11050,11000,BID,200,2.8,2,3425315000,311100
11000,021611,11000,300,11050,11000,BID,100,2.8,1,0,269400
11000,021603,11000,300,11050,11000,ASK,1800,2.8,220000000209,3404415000,309200
11000,021603,11000,300,11050,11000,ASK,100,2.8,220000000208,3403315000,309100
11000,021602,11000,300,11050,11000,ASK,3900,2.8,220000000206,3359315000,305100
11000,021602,11000,300,11050,11000,ASK,100,2.8,220000000207,3402215000,309000
11000,021602,11000,300,11050,11000,ASK,1100,2.8,220000000205,3347215000,304000
11000,021602,11000,300,11050,11000,ASK,8900,2.8,220000000204,3249315000,295100
11000,021559,11050,350,11050,11000,BID,4000,3.27,220000000203,3205115000,291100
11000,021555,11000,300,11050,11000,ASK,100,2.8,220000000202,3204015000,291000
11000,021550,11000,300,11050,11000,ASK,1000,2.8,220000000201,3193015000,290000
11000,021549,11000,300,11050,11000,ASK,300,2.8,220000000200,3189715000,289700
11000,021548,11000,300,11050,11000,ASK,8800,2.8,220000000198,2969715000,269700
11000,021548,11000,300,11050,11000,ASK,11200,2.8,220000000199,3066515000,278500
11000,021545,11050,350,11050,11000,BID,300,3.27,220000000197,2966400000,269400
11000,021545,11000,300,11050,11000,ASK,1200,2.8,220000000196,2953200000,268200
11000,021545,11000,300,11050,11000,ASK,300,2.8,220000000195,2949900000,267900
11000,021545,11000,300,11050,11000,ASK,100,2.8,220000000190,2914700000,264700
11000,021545,11000,300,11050,11000,ASK,1200,2.8,220000000189,2901500000,263500
11000,021545,11000,300,11050,11000,ASK,100,2.8,220000000192,2932300000,266300
11000,021545,11000,300,11050,11000,ASK,1000,2.8,220000000194,2938900000,266900
11000,021545,11000,300,11050,11000,ASK,4100,2.8,220000000188,2856400000,259400
11000,021545,11000,300,11050,11000,ASK,500,2.8,220000000193,2933400000,266400
11000,021545,11000,300,11050,11000,ASK,1500,2.8,220000000191,2915800000,264800
11000,021544,11000,300,11050,11000,ASK,500,2.8,27,2850900000,258900
11000,021544,11000,300,11050,11000,ASK,200,2.8,26,2828900000,256900
11000,021544,11000,300,11050,11000,ASK,1800,2.8,26,2831100000,257100
11000,021539,11050,350,11050,11000,ASK,26300,3.27,24,2538285000,230600
11000,021538,11050,350,11050,11000,BID,1500,3.27,23,2521710000,229100
11000,021538,11050,350,11050,11000,BID,1000,3.27,22,2355960000,214100
11000,021538,11050,350,11050,11000,BID,1000,3.27,22,2343805000,213000
11000,021538,11050,350,11050,11000,BID,14000,3.27,22,2367010000,215100
11000,021538,11050,350,11050,11000,BID,300,3.27,22,2340490000,212700
11000,021538,11050,350,11050,11000,BID,100,3.27,22,2339385000,212600
11000,021538,11050,350,11050,11000,BID,500,3.27,22,2331650000,211900
11000,021538,11050,350,11050,11000,BID,100,3.27,22,2354855000,214000
11000,021538,11050,350,11050,11000,BID,1000,3.27,22,2320600000,210900
11000,021538,11050,350,11050,11000,BID,200,3.27,22,2337175000,212400
11000,021538,11050,350,11050,11000,BID,200,3.27,22,2318390000,210700
11000,021538,11050,350,11050,11000,BID,200,3.27,12,2184685000,198600
11000,021538,11050,350,11050,11000,BID,100,3.27,12,2186895000,198800
11000,021538,11050,350,11050,11000,BID,100,3.27,12,2174740000,197700
11000,021538,11050,350,11050,11000,BID,200,3.27,12,2182475000,198400
11000,021538,11050,350,11050,11000,BID,500,3.27,12,2165900000,196900
11000,021538,11050,350,11050,11000,BID,200,3.27,12,2175845000,197800
11000,021538,11050,350,11050,11000,BID,11800,3.27,12,2188000000,198900
11000,021538,11050,350,11050,11000,BID,300,3.27,12,2171425000,197400
11000,021538,11050,350,11050,11000,BID,300,3.27,12,2178055000,198000
11000,021538,11050,350,11050,11000,BID,100,3.27,12,2181370000,198300
11000,021535,11000,300,11000,11000,ASK,100,2.8,3,2164800000,196800
11000,021637,11000,300,11050,11000,ASK,500,2.8,24,4093890000,371800
11000,021635,11000,300,11050,11000,ASK,300,2.8,23,4090590000,371500
11000,021635,11000,300,11050,11000,ASK,1700,2.8,23,4071890000,369800
11000,021634,11000,300,11050,11000,ASK,500,2.8,21,4066390000,369300
11000,021632,11000,300,11050,11000,ASK,500,2.8,20,4060890000,368800
11000,021626,11000,300,11050,11000,ASK,5000,2.8,19,4005890000,363800
11000,021625,11000,300,11050,11000,BID,2300,2.8,18,3980590000,361500
11000,021624,11000,300,11050,11000,BID,2700,2.8,17,3950890000,358800
11000,021624,11000,300,11050,11000,BID,1000,2.8,17,3904690000,354600
11000,021624,11000,300,11050,11000,BID,3100,2.8,17,3870590000,351500
11000,021624,11000,300,11050,11000,BID,3000,2.8,17,3917890000,355800
11000,021624,11000,300,11050,11000,BID,200,2.8,17,3915690000,355600
11000,021620,11000,300,11050,11000,ASK,100,2.8,12,3869490000,351400
11000,021620,11000,300,11050,11000,ASK,1800,2.8,12,3849690000,349600
11000,021619,11000,300,11050,11000,BID,200,2.8,10,3847490000,349400
11000,021618,11050,350,11050,11000,BID,17500,3.27,9,3654115000,331900
11000,021618,11000,300,11050,11000,BID,4900,2.8,9,3544115000,321900
11000,021618,11000,300,11050,11000,BID,100,2.8,9,3653015000,331800
11000,021618,11000,300,11050,11000,BID,3000,2.8,9,3598015000,326800
