o,t,c,ch,h,l,mb,mv,ra,se,va,vo
81200,021528,81200,500,81200,81200,UNKNOWN,6700,0.62,1,0,0
81200,021602,81200,500,81200,81200,BID,100,0.62,255700000012,544040000,6700
81200,021602,81200,500,81200,81200,BID,200,0.62,255700000013,552160000,6800
81200,021635,81200,500,81200,81200,BID,500,0.62,1,0,6700
81200,021805,81000,300,81200,81000,ASK,100,0.37,2,609000000,7500
81200,021930,81000,300,81200,81000,BID,200,0.37,3,617100000,7600
81200,022022,81000,300,81200,81000,BID,100,0.37,5,649500000,8000
81200,022014,81000,300,81200,81000,ASK,200,0.37,4,633300000,7800
81200,022027,81000,300,81200,81000,BID,100,0.37,6,657600000,8100
81200,022120,81000,300,81200,81000,ASK,1000,0.37,11,771000000,9500
81200,022117,81000,300,81200,81000,ASK,200,0.37,10,754800000,9300
81200,022108,81000,300,81200,81000,BID,900,0.37,9,681900000,8400
81200,022106,81000,300,81200,81000,BID,100,0.37,8,673800000,8300
81200,022106,81000,300,81200,81000,BID,100,0.37,8,665700000,8200
81200,022232,81000,300,81200,81000,ASK,100,0.37,13,924900000,11400
81200,022232,81000,300,81200,81000,ASK,900,0.37,13,852000000,10500
81200,022313,81000,300,81200,81000,ASK,100,0.37,18,1168100000,14400
81200,022313,81000,300,81200,81000,ASK,400,0.37,18,1135700000,14000
81200,022301,81000,300,81200,81000,ASK,500,0.37,16,1095200000,13500
81200,022258,81100,400,81200,81000,BID,1900,0.5,15,941110000,11600
81200,022258,81100,400,81200,81000,BID,100,0.5,15,933000000,11500
81200,022406,81000,300,81200,81000,ASK,400,0.37,21,1257200000,15500
81200,022400,81000,300,81200,81000,ASK,100,0.37,20,1249100000,15400
81200,022400,81000,300,81200,81000,ASK,900,0.37,20,1176200000,14500
81200,022443,81000,300,81200,81000,ASK,100,0.37,25,1322010000,16300
81200,022433,81000,300,81200,81000,ASK,100,0.37,24,1313910000,16200
81200,022419,81000,300,81200,81000,ASK,200,0.37,23,1297710000,16000
81200,022417,81100,400,81200,81000,BID,100,0.5,22,1289600000,15900
81200,022524,81000,300,81200,81000,BID,100,0.37,29,1435410000,17700
81200,022519,81000,300,81200,81000,ASK,200,0.37,28,1411110000,17400
81200,022519,81000,300,81200,81000,ASK,100,0.37,28,1427310000,17600
81200,022505,81000,300,81200,81000,ASK,1000,0.37,26,1330110000,16400
81200,022725,81000,300,81200,81000,BID,100,0.37,31,1451610000,17900
81200,022725,81000,300,81200,81000,BID,100,0.37,31,1443510000,17800
