o,t,c,ch,h,l,mb,mv,ra,se,va,vo
19650,021531,19650,600,19650,19650,BID,300,3.15,2,7327485000,372900
19650,021526,19650,600,19650,19650,UNKNOWN,372900,3.15,1,0,0
19650,021611,19550,500,19650,19550,BID,1000,2.62,12,9389615000,478100
19650,021610,19550,500,19650,19550,ASK,100,2.62,11,9387660000,478000
19650,021610,19550,500,19650,19550,ASK,2500,2.62,10,9338785000,475500
19650,021609,19550,500,19650,19550,ASK,2500,2.62,9,9289910000,473000
19650,021609,19550,500,19650,19550,ASK,200,2.62,9,9264495000,471700
19650,021609,19550,500,19650,19550,ASK,100,2.62,9,9268405000,471900
19650,021609,19550,500,19650,19550,ASK,1000,2.62,9,9270360000,472000
19650,021608,19550,500,19650,19550,ASK,100,2.62,5,9260585000,471500
19650,021608,19550,500,19650,19550,ASK,100,2.62,5,9262540000,471600
19650,021606,19600,550,19650,19600,BID,2800,2.89,3,0,381000
19650,021606,19600,550,19650,19600,BID,100,2.89,3,9237065000,470300
19650,021606,19600,550,19650,19600,BID,1100,2.89,3,9239025000,470400
19650,021604,19600,550,19650,19600,BID,800,2.89,292000000238,9166505000,466700
19650,021603,19600,550,19650,19600,BID,1000,2.89,292000000237,9146905000,465700
19650,021602,19600,550,19650,19600,ASK,50000,2.89,292000000231,8106145000,412600
19650,021602,19600,550,19650,19600,ASK,500,2.89,292000000228,8088505000,411700
19650,021602,19600,550,19650,19600,ASK,2400,2.89,292000000227,8041465000,409300
19650,021602,19600,550,19650,19600,ASK,400,2.89,292000000233,9125345000,464600
19650,021602,19600,550,19650,19600,ASK,500,2.89,292000000235,9135145000,465100
19650,021602,19600,550,19650,19600,ASK,100,2.89,292000000236,9144945000,465600
19650,021602,19600,550,19650,19600,ASK,2000,2.89,292000000232,9086145000,462600
19650,021602,19600,550,19650,19600,ASK,100,2.89,292000000234,9133185000,465000
19650,021602,19600,550,19650,19600,ASK,200,2.89,292000000230,8102225000,412400
19650,021602,19600,550,19650,19600,ASK,200,2.89,292000000229,8098305000,412200
19650,021601,19600,550,19650,19600,ASK,3500,2.89,292000000226,7972865000,405800
19650,021601,19600,550,19650,19600,ASK,1200,2.89,292000000225,7949345000,404600
19650,021559,19600,550,19650,19600,ASK,100,2.89,292000000224,7947385000,404500
19650,021557,19600,550,19650,19600,ASK,9600,2.89,292000000223,7759225000,394900
19650,021557,19600,550,19650,19600,ASK,500,2.89,292000000221,7743545000,394100
19650,021557,19600,550,19650,19600,ASK,300,2.89,292000000222,7753345000,394600
19650,021557,19600,550,19650,19600,ASK,9600,2.89,292000000220,7555385000,384500
19650,021554,19600,550,19650,19600,ASK,400,2.89,292000000219,7547545000,384100
19650,021554,19600,550,19650,19600,ASK,100,2.89,292000000218,7545585000,384000
19650,021554,19600,550,19650,19600,ASK,100,2.89,292000000217,7543625000,383900
19650,021546,19650,600,19650,19600,BID,2000,3.15,292000000215,7488605000,381100
19650,021546,19650,600,19650,19600,BID,800,3.15,292000000216,7527905000,383100
19650,021546,19650,600,19650,19600,BID,100,3.15,292000000214,7486640000,381000
19650,021544,19650,600,19650,19600,BID,300,3.15,8,7480745000,380700
19650,021544,19650,600,19650,19600,BID,700,3.15,8,7466990000,380000
19650,021543,19600,550,19650,19600,ASK,100,2.89,6,7465030000,379900
19650,021543,19600,550,19650,19600,ASK,100,2.89,6,7463070000,379800
19650,021534,19650,600,19650,19650,BID,100,3.15,4,7461105000,379700
19650,021534,19650,600,19650,19650,BID,6500,3.15,4,7333380000,373200
19650,021637,19600,550,19650,19500,BID,1000,2.89,31,10390685000,529200
19650,021637,19600,550,19650,19500,BID,100,2.89,30,10373045000,528300
19650,021637,19600,550,19650,19500,BID,800,2.89,30,10375005000,528400
19650,021637,19600,550,19650,19500,BID,500,2.89,30,10353445000,527300
19650,021637,19600,550,19650,19500,BID,500,2.89,30,10363245000,527800
19650,021629,19550,500,19650,19500,BID,400,2.62,26,10345625000,526900
19650,021626,19550,500,19650,19500,BID,800,2.62,25,10329985000,526100
19650,021625,19550,500,19650,19500,BID,3000,2.62,24,10271335000,523100
19650,021623,19550,500,19650,19500,BID,200,2.62,23,10251785000,522100
19650,021623,19550,500,19650,19500,BID,800,2.62,23,10255695000,522300
19650,021622,19550,500,19650,19500,BID,200,2.62,21,10247875000,521900
19650,021619,19500,450,19650,19500,ASK,200,2.36,20,10243975000,521700
19650,021618,19550,500,19650,19550,BID,2000,2.62,19,10204875000,519700
19650,021616,19550,500,19650,19550,BID,100,2.62,18,10202920000,519600
19650,021615,19550,500,19650,19550,BID,300,2.62,17,10197055000,519300
19650,021615,19550,500,19650,19550,BID,200,2.62,16,10193145000,519100
19650,021614,19600,550,19650,19550,BID,35700,2.89,15,9493425000,483400
19650,021614,19600,550,19650,19550,BID,3900,2.89,15,9416985000,479500
19650,021614,19550,500,19650,19550,BID,400,2.62,15,9409165000,479100
19650,021713,19600,550,19650,19500,BID,200,2.89,75,13525665000,689000
19650,021711,19600,550,19650,19500,ASK,300,2.89,74,13509985000,688200
19650,021711,19600,550,19650,19500,ASK,500,2.89,74,13515865000,688500
19650,021711,19600,550,19650,19500,ASK,1000,2.89,72,13462945000,685800
19650,021711,19600,550,19650,19500,ASK,200,2.89,72,13459025000,685600
19650,021711,19600,550,19650,19500,ASK,1400,2.89,73,13482545000,686800
19650,021711,19600,550,19650,19500,ASK,300,2.89,72,13453145000,685300
19650,021711,19600,550,19650,19500,ASK,500,2.89,71,13443345000,684800
19650,021711,19600,550,19650,19500,ASK,9000,2.89,68,13266945000,675800
19650,021711,19600,550,19650,19500,ASK,20000,2.89,66,12188945000,620800
19650,021711,19600,550,19650,19500,ASK,1800,2.89,66,12153665000,619000
19650,021711,19600,550,19650,19500,ASK,35000,2.89,66,12580945000,640800
19650,021708,19600,550,19650,19500,ASK,400,2.89,63,12145825000,618600
19650,021707,19650,600,19650,19500,BID,2000,3.15,62,12106525000,616600
19650,021704,19600,550,19650,19500,ASK,100,2.89,61,12104565000,616500
19650,021701,19600,550,19650,19500,ASK,100,2.89,60,12102605000,616400
19650,021701,19600,550,19650,19500,ASK,200,2.89,59,12098685000,616200
