o,t,c,ch,h,l,mb,mv,ra,se,va,vo
25100,021532,25100,700,25100,25100,BID,34200,2.87,8,22394220000,892200
25100,021532,25100,700,25100,25100,BID,15800,2.87,8,23252640000,926400
25100,021531,25100,700,25100,25100,BID,500,2.87,6,22381670000,891700
25100,021530,25100,700,25100,25100,BID,100,2.87,5,22379160000,891600
25100,021530,25100,700,25100,25100,BID,74800,2.87,4,19869160000,791600
25100,021530,25100,700,25100,25100,BID,10000,2.87,4,21746640000,866400
25100,021530,25100,700,25100,25100,BID,15200,2.87,4,21997640000,876400
25100,021527,25100,700,25100,25100,UNKNOWN,791600,2.87,1,0,0
25100,021610,25150,750,25150,25050,BID,2000,3.07,10,29019815000,1156100
25100,021608,25150,750,25150,25050,BID,2000,3.07,9,28969515000,1154100
25100,021607,25100,700,25150,25050,ASK,1000,2.87,8,28944415000,1153100
25100,021606,25150,750,25150,25050,BID,3600,3.07,7,28853875000,1149500
25100,021606,25100,700,25100,25050,ASK,100,2.87,6,28690405000,1143000
25100,021606,25150,750,25150,25050,BID,6300,3.07,6,28692915000,1143100
25100,021606,25150,750,25150,25050,BID,100,3.07,6,28851360000,1149400
25100,021605,25100,700,25100,25050,ASK,8400,2.87,3,28479565000,1134600
25100,021605,25100,700,25100,25050,ASK,3000,2.87,3,28404265000,1131600
25100,021605,25100,700,25100,25050,ASK,8600,2.87,3,0,981300
25100,021604,25150,750,25150,25050,BID,20000,3.07,290800000275,27685405000,1103000
25100,021601,25100,700,25150,25050,ASK,50000,2.87,290800000274,26430405000,1053000
25100,021559,25100,700,25150,25050,ASK,1000,2.87,290800000273,26405305000,1052000
25100,021558,25150,750,25150,25050,BID,20000,3.07,290800000272,25902305000,1032000
25100,021552,25100,700,25150,25050,ASK,1000,2.87,290800000271,25877205000,1031000
25100,021549,25150,750,25150,25050,BID,400,3.07,290800000269,25774090000,1026900
25100,021549,25150,750,25150,25050,BID,100,3.07,290800000268,25771575000,1026800
25100,021549,25150,750,25150,25050,BID,1000,3.07,290800000266,25743910000,1025700
25100,021549,25150,750,25150,25050,BID,3700,3.07,290800000270,25784150000,1027300
25100,021549,25150,750,25150,25050,BID,100,3.07,290800000267,25769060000,1026700
25100,021547,25100,700,25100,25050,BID,20000,2.87,290800000264,25236890000,1005500
25100,021547,25100,700,25100,25050,BID,300,2.87,290800000262,25103860000,1000200
25100,021547,25100,700,25100,25050,BID,5000,2.87,290800000263,25111390000,1000500
25100,021547,25100,700,25100,25050,BID,13900,2.87,290800000261,24754970000,986300
25100,021547,25100,700,25100,25050,BID,200,2.87,290800000265,25738890000,1025500
25100,021547,25050,650,25100,25050,ASK,1000,2.66,290800000260,24729920000,985300
25100,021546,25050,650,25100,25050,ASK,4000,2.66,290800000259,24629720000,981300
25100,021544,25100,700,25100,25050,BID,6100,2.87,290800000258,24476610000,975200
25100,021544,25100,700,25100,25050,BID,4800,2.87,290800000257,24356130000,970400
25100,021543,25050,650,25100,25050,ASK,15100,2.66,16,23977875000,955300
25100,021542,25050,650,25100,25050,ASK,100,2.66,15,23975370000,955200
25100,021540,25100,700,25100,25050,BID,4200,2.87,14,23724370000,945200
25100,021540,25100,700,25100,25050,BID,200,2.87,14,23970350000,955000
25100,021540,25100,700,25100,25050,BID,5000,2.87,14,23844850000,950000
25100,021540,25100,700,25100,25050,BID,600,2.87,14,23829790000,949400
25100,021535,25050,650,25100,25050,ASK,2600,2.66,10,23659240000,942600
25100,021535,25050,650,25100,25050,ASK,400,2.66,9,23649220000,942200
25100,021637,25100,700,25150,25050,ASK,1000,2.87,35,30423965000,1212000
25100,021636,25150,750,25150,25050,BID,3000,3.07,34,30348515000,1209000
25100,021636,25100,700,25150,25050,ASK,5000,2.87,33,30223015000,1204000
25100,021634,25150,750,25150,25050,BID,5300,3.07,32,30089720000,1198700
25100,021634,25150,750,25150,25050,BID,1000,3.07,31,30064570000,1197700
25100,021634,25100,700,25150,25050,ASK,100,2.87,30,30062060000,1197600
25100,021633,25100,700,25150,25050,ASK,4000,2.87,29,29961660000,1193600
25100,021633,25100,700,25150,25050,ASK,2000,2.87,28,29911460000,1191600
25100,021629,25100,700,25150,25050,ASK,1000,2.87,27,29886360000,1190600
25100,021628,25100,700,25150,25050,ASK,100,2.87,26,29883850000,1190500
25100,021628,25100,700,25150,25050,ASK,500,2.87,25,29590180000,1178800
25100,021628,25100,700,25150,25050,ASK,8500,2.87,26,29670500000,1182000
25100,021628,25100,700,25150,25050,ASK,2700,2.87,25,29602730000,1179300
25100,021628,25100,700,25150,25050,ASK,8000,2.87,22,29381850000,1170500
25100,021628,25100,700,25150,25050,ASK,300,2.87,22,29582650000,1178500
25100,021626,25150,750,25150,25050,BID,2000,3.07,20,29331550000,1168500
25100,021626,25150,750,25150,25050,BID,4500,3.07,19,29218375000,1164000
25100,021626,25150,750,25150,25050,BID,500,3.07,19,29205800000,1163500
25100,021624,25100,700,25150,25050,ASK,100,2.87,17,29203290000,1163400
25100,021623,25150,750,25150,25050,BID,400,3.07,16,29180655000,1162500
25100,021623,25150,750,25150,25050,BID,500,3.07,16,29190715000,1162900
25100,021623,25100,700,25150,25050,ASK,500,2.87,14,29120415000,1160100
25100,021623,25100,700,25150,25050,ASK,1900,2.87,14,29132965000,1160600
25100,021620,25150,750,25150,25050,BID,500,3.07,12,29107840000,1159600
25100,021613,25150,750,25150,25050,BID,1500,3.07,11,29070115000,1158100
25100,021706,25100,700,25150,25050,ASK,500,2.87,62,31965840000,1273400
25100,021705,25100,700,25150,25050,ASK,2400,2.87,61,31905600000,1271000
25100,021705,25100,700,25150,25050,ASK,1000,2.87,61,31880500000,1270000
25100,021705,25100,700,25150,25050,ASK,500,2.87,61,31867950000,1269500
25100,021705,25100,700,25150,25050,ASK,100,2.87,60,31865440000,1269400
25100,021703,25100,700,25150,25050,ASK,300,2.87,57,31857910000,1269100
25100,021703,25100,700,25150,25050,ASK,100,2.87,57,31855400000,1269000
25100,021703,25100,700,25150,25050,ASK,3000,2.87,57,31780100000,1266000
25100,021703,25100,700,25150,25050,ASK,16600,2.87,56,31112440000,1239400
25100,021703,25100,700,25150,25050,ASK,5000,2.87,56,31604400000,1259000
25100,021703,25100,700,25150,25050,ASK,2000,2.87,57,31729900000,1264000
25100,021703,25100,700,25150,25050,ASK,3000,2.87,54,31529100000,1256000
25100,021703,25150,750,25150,25050,BID,5000,3.07,50,30986690000,1234400
25100,021701,25100,700,25150,25050,ASK,2000,2.87,49,30936490000,1232400
25100,021701,25100,700,25150,25050,ASK,1000,2.87,48,30911390000,1231400
25100,021658,25100,700,25150,25050,ASK,200,2.87,47,30906370000,1231200
25100,021655,25150,750,25150,25050,BID,200,3.07,46,30901340000,1231000
25100,021651,25100,700,25150,25050,ASK,1000,2.87,45,30876240000,1230000
25100,021649,25100,700,25150,25050,ASK,500,2.87,44,30863690000,1229500
25100,021648,25150,750,25150,25050,BID,2500,3.07,43,30800815000,1227000
25100,021647,25100,700,25150,25050,ASK,2000,2.87,42,30750615000,1225000
25100,021644,25100,700,25150,25050,ASK,1000,2.87,41,30725515000,1224000
25100,021643,25100,700,25150,25050,ASK,2000,2.87,40,30675315000,1222000
25100,021643,25100,700,25150,25050,ASK,1000,2.87,39,30650215000,1221000
25100,021642,25100,700,25150,25050,ASK,500,2.87,38,30637665000,1220500
25100,021642,25150,750,25150,25050,BID,7000,3.07,37,30461615000,1213500
25100,021640,25100,700,25150,25050,ASK,500,2.87,36,30449065000,1213000
25100,021742,25150,750,25150,25050,BID,3400,3.07,96,34633435000,1379600
25100,021739,25150,750,25150,25050,BID,1000,3.07,95,34608285000,1378600
25100,021732,25100,700,25150,25050,ASK,500,2.87,94,34595735000,1378100
25100,021732,25100,700,25150,25050,ASK,1000,2.87,93,34570635000,1377100
