o,t,c,ch,h,l,mb,mv,ra,se,va,vo
102800,021528,102800,1100,102800,102800,UNKNOWN,1500,1.08,1,0,0
102800,021546,102900,1200,102900,102800,BID,500,1.18,384700000012,174770000,1700
102800,021546,102900,1200,102900,102800,BID,100,1.18,384700000011,164480000,1600
102800,021546,102800,1100,102800,102800,BID,100,1.08,384700000010,154200000,1500
102800,021638,102900,1200,102900,102800,BID,100,1.18,5,236500000,2300
102800,021638,102800,1100,102800,102800,BID,100,1.08,5,0,1500
102800,021638,102900,1200,102900,102800,BID,400,1.18,5,267370000,2600
102800,021638,102900,1200,102900,102800,BID,100,1.18,5,257080000,2500
102800,021638,102900,1200,102900,102800,BID,100,1.18,5,246790000,2400
102800,021747,102800,1100,102900,102800,BID,100,1.08,6,308530000,3000
102800,021859,102800,1100,102900,102800,BID,500,1.08,7,318810000,3100
102800,021937,102800,1100,102900,102800,BID,100,1.08,11,431890000,4200
102800,021937,102900,1200,102900,102800,BID,100,1.18,11,442170000,4300
102800,021937,102800,1100,102900,102800,BID,500,1.08,10,380490000,3700
102800,021937,102800,1100,102900,102800,BID,100,1.08,10,370210000,3600
102800,022238,102800,1100,102900,102800,BID,500,1.08,14,473020000,4600
102800,022232,102800,1100,102900,102800,BID,100,1.08,13,452460000,4400
102800,022232,102800,1100,102900,102800,BID,100,1.08,13,462740000,4500
102800,022406,102900,1200,102900,102700,BID,100,1.18,19,586100000,5700
102800,022406,102800,1100,102900,102700,BID,100,1.08,19,565530000,5500
102800,022406,102800,1100,102900,102700,BID,300,1.08,19,534690000,5200
102800,022406,102900,1200,102900,102700,BID,100,1.18,19,575810000,5600
102800,022406,102700,1000,102900,102700,BID,100,0.98,19,524420000,5100
102800,022440,102900,1200,102900,102700,BID,600,1.18,22,596390000,5800
102800,022440,102900,1200,102900,102700,BID,100,1.18,22,658130000,6400
102800,022440,102900,1200,102900,102700,BID,100,1.18,22,668420000,6500
102800,022510,102900,1200,102900,102700,BID,100,1.18,28,740450000,7200
102800,022510,102900,1200,102900,102700,BID,100,1.18,28,730160000,7100
102800,022510,102900,1200,102900,102700,BID,100,1.18,28,750740000,7300
102800,022510,102900,1200,102900,102700,BID,300,1.18,28,699290000,6800
102800,022510,102900,1200,102900,102700,BID,100,1.18,28,689000000,6700
102800,022510,102900,1200,102900,102700,BID,100,1.18,28,678710000,6600
102800,022550,103000,1300,103000,102700,BID,400,1.28,33,802190000,7800
102800,022550,102900,1200,102900,102700,BID,100,1.18,33,771320000,7500
102800,022550,102900,1200,102900,102700,BID,100,1.18,33,781610000,7600
102800,022550,102900,1200,102900,102700,BID,100,1.18,33,791900000,7700
102800,022550,102900,1200,102900,102700,BID,100,1.18,33,761030000,7400
102800,022653,102900,1200,103000,102700,BID,800,1.18,34,843390000,8200
102800,022735,102900,1200,103000,102700,BID,1500,1.18,35,925710000,9000
102800,022821,103000,1300,103000,102700,BID,100,1.28,39,1234490000,12000
102800,022821,103000,1300,103000,102700,BID,700,1.28,39,1162390000,11300
102800,022757,102900,1200,103000,102700,BID,700,1.18,37,1080060000,10500
102800,022757,103000,1300,103000,102700,BID,100,1.28,37,1152090000,11200
102800,022853,103000,1300,103000,102700,BID,200,1.28,45,1296290000,12600
102800,022853,103000,1300,103000,102700,BID,100,1.28,45,1337490000,13000
102800,022853,103000,1300,103000,102700,BID,100,1.28,45,1316890000,12800
102800,022853,103000,1300,103000,102700,BID,100,1.28,45,1327190000,12900
102800,022846,103000,1300,103000,102700,BID,100,1.28,41,1244790000,12100
102800,022846,103000,1300,103000,102700,BID,400,1.28,41,1255090000,12200
102800,022917,103000,1300,103000,102700,BID,100,1.28,48,1368390000,13300
102800,022917,103000,1300,103000,102700,BID,100,1.28,48,1347790000,13100
102800,022917,103000,1300,103000,102700,BID,100,1.28,48,1358090000,13200
102800,022948,103000,1300,103000,102700,BID,100,1.28,51,1419890000,13800
102800,022948,103000,1300,103000,102700,BID,100,1.28,51,1409590000,13700
102800,022948,103000,1300,103000,102700,BID,300,1.28,49,1378690000,13400
102800,023046,103200,1500,103200,102700,BID,400,1.47,69,1625990000,15800
102800,023037,103200,1500,103200,102700,BID,100,1.47,68,1615670000,15700
102800,023037,103100,1400,103100,102700,BID,100,1.38,68,1574410000,15300
102800,023037,103200,1500,103200,102700,BID,100,1.47,68,1605350000,15600
102800,023037,103100,1400,103100,102700,BID,100,1.38,68,1584720000,15400
102800,023037,103100,1400,103100,102700,BID,100,1.38,68,1564100000,15200
102800,023037,103200,1500,103200,102700,BID,100,1.47,68,1595030000,15500
102800,023037,103100,1400,103100,102700,BID,100,1.38,62,1553790000,15100
102800,023037,103000,1300,103000,102700,BID,100,1.28,62,1533190000,14900
102800,023037,103000,1300,103000,102700,BID,100,1.28,62,1543490000,15000
102800,023034,103000,1300,103000,102700,BID,100,1.28,59,1522890000,14800
102800,023034,103000,1300,103000,102700,BID,100,1.28,58,1512590000,14700
102800,023034,103000,1300,103000,102700,BID,100,1.28,58,1481690000,14400
102800,023034,103000,1300,103000,102700,BID,100,1.28,58,1502290000,14600
102800,023034,103000,1300,103000,102700,BID,100,1.28,58,1491990000,14500
102800,023034,103000,1300,103000,102700,BID,100,1.28,55,1440490000,14000
102800,023034,103000,1300,103000,102700,BID,100,1.28,55,1430190000,13900
102800,023034,103000,1300,103000,102700,BID,300,1.28,55,1450790000,14100
102800,023116,103200,1500,103200,102700,BID,100,1.47,70,1667270000,16200
102800,023450,103000,1300,103200,102700,ASK,500,1.28,72,1687890000,16400
102800,023450,103000,1300,103200,102700,ASK,100,1.28,72,1677590000,16300
102800,023559,103400,1700,103400,102700,BID,100,1.67,384700000097,1811610000,17600
102800,023559,103200,1500,103200,102700,BID,100,1.47,384700000093,1770330000,17200
102800,023559,103200,1500,103200,102700,BID,200,1.47,384700000092,1749690000,17000
102800,023559,103200,1500,103200,102700,BID,100,1.47,384700000096,1801290000,17500
102800,023559,103200,1500,103200,102700,BID,100,1.47,384700000095,1790970000,17400
102800,023559,103200,1500,103200,102700,BID,100,1.47,384700000094,1780650000,17300
102800,023558,103000,1300,103200,102700,ASK,100,1.28,384700000091,1739390000,16900
103000,023654,103400,1700,103400,102700,BID,600,1.67,2,1842610000,17900
103000,023654,103300,1600,103300,102700,BID,200,1.57,1,0,16900
103000,023839,103000,1300,103400,102700,ASK,400,1.28,4,2059150000,20000
103000,023839,103000,1300,103400,102700,ASK,1500,1.28,3,1904650000,18500
103000,023931,103400,1700,103400,102700,BID,800,1.67,5,2100350000,20400
103000,024003,103000,1300,103400,102700,ASK,500,1.28,9,2244870000,21800
103000,024003,103000,1300,103400,102700,ASK,500,1.28,9,2193370000,21300
103000,024003,103000,1300,103400,102700,ASK,500,1.28,9,2296370000,22300
103000,024003,103000,1300,103400,102700,ASK,100,1.28,9,2183070000,21200
103000,024035,103000,1300,103400,102700,BID,500,1.28,11,2419970000,23500
103000,024027,103000,1300,103400,102700,BID,700,1.28,10,2347870000,22800
103000,024101,103000,1300,103400,102700,BID,100,1.28,15,2502370000,24300
103000,024101,103000,1300,103400,102700,BID,100,1.28,15,2512670000,24400
103000,024101,103000,1300,103400,102700,BID,100,1.28,15,2492070000,24200
103000,024101,103000,1300,103400,102700,BID,200,1.28,15,2471470000,24000
103000,024145,103000,1300,103400,102700,ASK,100,1.28,16,2522970000,24500
103000,024252,103400,1700,103400,102700,BID,100,1.67,21,2615960000,25400
103000,024252,103300,1600,103400,102700,BID,100,1.57,21,2553930000,24800
103000,024252,103400,1700,103400,102700,BID,500,1.67,21,2564260000,24900
103000,024252,103300,1600,103400,102700,BID,100,1.57,21,2533270000,24600
103000,024252,103300,1600,103400,102700,BID,100,1.57,21,2543600000,24700
103000,024432,103000,1300,103400,102700,ASK,200,1.28,23,2626300000,25500
103000,024432,103000,1300,103400,102700,ASK,500,1.28,23,2646900000,25700
103000,024450,103000,1300,103400,102700,BID,100,1.28,24,2698400000,26200
103000,024543,102600,900,103400,102600,ASK,200,0.88,25,2708700000,26300
103000,024658,103000,1300,103400,102600,BID,700,1.28,26,2729220000,26500
103000,024953,103000,1300,103400,102600,BID,1500,1.28,27,2801320000,27200
103000,025036,103000,1300,103400,102600,BID,100,1.28,29,2955820000,28700
103000,025036,103000,1300,103400,102600,BID,900,1.28,29,2966120000,28800
103000,025432,103000,1300,103400,102600,BID,900,1.28,30,3058820000,29700
103000,025535,102700,1000,103400,102600,ASK,100,0.98,31,3151520000,30600
103000,025802,102800,1100,103400,102600,ASK,500,1.08,32,3161790000,30700
103000,025843,102800,1100,103400,102600,ASK,100,1.08,33,3213190000,31200
103000,025907,102800,1100,103400,102600,ASK,400,1.08,35,3223470000,31300
103000,025907,102800,1100,103400,102600,ASK,400,1.08,35,3264590000,31700
103000,030016,102900,1200,103400,102600,BID,200,1.18,37,3316000000,32200
103000,030016,102900,1200,103400,102600,BID,100,1.18,36,3305710000,32100
103000,030115,103000,1300,103400,102600,BID,100,1.28,40,3377780000,32800
103000,030115,103000,1300,103400,102600,BID,200,1.28,40,3336580000,32400
103000,030115,103000,1300,103400,102600,BID,200,1.28,40,3357180000,32600
103000,030144,103000,1300,103400,102600,BID,500,1.28,43,3532280000,34300
103000,030144,103000,1300,103400,102600,BID,1000,1.28,43,3429280000,33300
103000,030139,103000,1300,103400,102600,BID,400,1.28,41,3388080000,32900
103000,030255,103000,1300,103400,102600,BID,100,1.28,44,3583780000,34800
103000,030314,103000,1300,103400,102600,BID,100,1.28,46,3604380000,35000
103000,030314,103000,1300,103400,102600,BID,100,1.28,46,3594080000,34900
103000,030632,103200,1500,103400,102600,BID,400,1.47,48,3614680000,35100
103000,030632,103200,1500,103400,102600,BID,100,1.47,48,3655960000,35500
103000,030804,103000,1300,103400,102600,ASK,300,1.28,50,3686900000,35800
103000,030804,103100,1400,103400,102600,ASK,200,1.38,49,3666280000,35600
103000,030858,103300,1600,103400,102600,BID,300,1.57,52,3728130000,36200
103000,030858,103300,1600,103400,102600,BID,100,1.57,51,3717800000,36100
103000,030920,103400,1700,103400,102600,BID,100,1.67,57,3779800000,36700
103000,030920,103400,1700,103400,102600,BID,200,1.67,57,3800480000,36900
103000,030920,103400,1700,103400,102600,BID,100,1.67,57,3769460000,36600
103000,030920,103400,1700,103400,102600,BID,100,1.67,56,3790140000,36800
103000,030907,103400,1700,103400,102600,BID,100,1.67,53,3759120000,36500
