o,t,c,ch,h,l,mb,mv,ra,se,va,vo
28800,021527,28800,0,28800,28800,UNKNOWN,14100,0,1,0,0
28800,021554,28800,0,28800,28800,BID,700,0,385400000026,478080000,16600
28800,021548,28800,0,28800,28800,BID,200,0,385400000024,406080000,14100
28800,021548,28800,0,28800,28800,BID,2300,0,385400000025,411840000,14300
28800,021648,29000,200,29000,28800,BID,2000,0.69,12,636920000,22100
28800,021640,29000,200,29000,28800,BID,500,0.69,11,622420000,21600
28800,021640,28800,0,29000,28800,BID,300,0.0,11,613780000,21300
28800,021637,29000,200,29000,28800,BID,200,0.69,9,578980000,20100
28800,021637,29000,200,29000,28800,BID,200,0.69,9,573180000,19900
28800,021637,29000,200,29000,28800,BID,1000,0.69,8,584780000,20300
28800,021637,28950,150,28950,28800,BID,200,0.52,8,567390000,19700
28800,021637,28900,100,28900,28800,BID,200,0.35,5,561610000,19500
28800,021637,28850,50,28850,28800,BID,200,0.17,4,555840000,19300
28800,021637,28800,0,28800,28800,BID,600,0.0,3,538560000,18700
28800,021637,28800,0,28800,28800,ASK,1300,0.0,2,0,14100
28800,021637,28800,0,28800,28800,ASK,100,0.0,2,535680000,18600
28800,021716,28800,0,29000,28800,BID,1500,0.0,19,1227720000,42600
28800,021716,28800,0,29000,28800,BID,500,0.0,19,1270920000,44100
28800,021716,28800,0,29000,28800,BID,100,0.0,17,1224840000,42500
28800,021715,28800,0,29000,28800,ASK,100,0.0,16,694920000,24100
28800,021715,28800,0,29000,28800,ASK,300,0.0,16,1216200000,42200
28800,021715,28800,0,29000,28800,ASK,8000,0.0,16,985800000,34200
28800,021715,28800,0,29000,28800,ASK,10000,0.0,16,697800000,24200
28800,021806,28800,0,29000,28800,BID,3800,0.0,28,1927560000,66900
28800,021753,28800,0,29000,28800,ASK,100,0.0,27,1570440000,54500
28800,021753,28800,0,29000,28800,ASK,12300,0.0,27,1573320000,54600
28800,021746,28800,0,29000,28800,ASK,300,0.0,25,1561800000,54200
28800,021745,28800,0,29000,28800,ASK,1500,0.0,24,1518600000,52700
28800,021743,28800,0,29000,28800,BID,500,0.0,23,1504200000,52200
28800,021743,28800,0,29000,28800,BID,500,0.0,23,1403400000,48700
28800,021743,28800,0,29000,28800,BID,2100,0.0,23,1342920000,46600
28800,021743,28800,0,29000,28800,BID,3000,0.0,23,1417800000,49200
28800,021741,28800,0,29000,28800,BID,2000,0.0,20,1285320000,44600
28800,021834,28800,0,29000,28800,BID,1200,0.0,36,2261640000,78500
28800,021834,28800,0,29000,28800,BID,700,0.0,36,2241480000,77800
28800,021834,28800,0,29000,28800,BID,100,0.0,36,2296200000,79700
28800,021832,28800,0,29000,28800,BID,200,0.0,33,2235720000,77600
28800,021832,28800,0,29000,28800,BID,1800,0.0,33,2183880000,75800
28800,021821,28800,0,29000,28800,BID,100,0.0,31,2181000000,75700
28800,021821,28800,0,29000,28800,BID,3800,0.0,30,2037000000,70700
28800,021821,28800,0,29000,28800,BID,1200,0.0,30,2146440000,74500
28800,021917,28800,0,29000,28800,BID,200,0.0,41,2460360000,85400
28800,021909,28800,0,29000,28800,BID,3300,0.0,40,2345160000,81400
28800,021909,28800,0,29000,28800,BID,500,0.0,40,2440200000,84700
28800,021909,28800,0,29000,28800,BID,200,0.0,40,2454600000,85200
28800,021859,28800,0,29000,28800,BID,1600,0.0,37,2299080000,79800
28800,021936,28800,0,29000,28800,BID,500,0.0,48,2566920000,89100
28800,021936,28800,0,29000,28800,BID,1400,0.0,48,2526600000,87700
28800,021936,29000,200,29000,28800,BID,800,0.69,48,2581320000,89600
28800,021927,28800,0,29000,28800,BID,400,0.0,45,2469000000,85700
28800,021927,28800,0,29000,28800,BID,600,0.0,45,2509320000,87100
28800,021927,28800,0,29000,28800,BID,1000,0.0,45,2480520000,86100
28800,021924,28800,0,29000,28800,BID,100,0.0,42,2466120000,85600
28800,022021,29000,200,29000,28800,BID,700,0.69,52,2604520000,90400
28800,022021,29000,200,29000,28800,BID,500,0.69,52,2648020000,91900
28800,022021,29000,200,29000,28800,BID,600,0.69,52,2624820000,91100
28800,022021,29000,200,29000,28800,BID,200,0.69,52,2642220000,91700
28800,022114,28800,0,29000,28800,BID,2000,0.0,57,3011000000,104500
28800,022113,28800,0,29000,28800,ASK,11500,0.0,56,2679800000,93000
28800,022103,28800,0,29000,28800,ASK,100,0.0,55,2676920000,92900
28800,022102,28800,0,29000,28800,ASK,100,0.0,54,2662520000,92400
28800,022102,28800,0,29000,28800,ASK,400,0.0,54,2665400000,92500
28800,022147,28750,-50,29000,28750,ASK,5000,-0.17,59,3068600000,106500
28800,022147,28750,-50,29000,28750,ASK,1600,-0.17,59,3212350000,111500
28800,022225,28700,-100,29000,28700,ASK,100,-0.35,64,3338825000,115900
28800,022224,28700,-100,29000,28700,ASK,500,-0.35,63,3324475000,115400
28800,022207,28750,-50,29000,28750,BID,100,-0.17,62,3321600000,115300
28800,022207,28750,-50,29000,28750,BID,2000,-0.17,61,3264100000,113300
28800,022159,28750,-50,29000,28750,BID,200,-0.17,60,3258350000,113100
28800,022257,28700,-100,29000,28700,ASK,200,-0.35,66,3370395000,117000
28800,022256,28700,-100,29000,28700,ASK,1000,-0.35,65,3341695000,116000
28800,022336,28750,-50,29000,28700,ASK,300,-0.17,73,3560135000,123600
28800,022335,28750,-50,29000,28700,BID,200,-0.17,72,3519885000,122200
28800,022335,28750,-50,29000,28700,BID,1200,-0.17,72,3525635000,122400
28800,022314,28750,-50,29000,28700,BID,300,-0.17,70,3511260000,121900
28800,022314,28750,-50,29000,28700,BID,2100,-0.17,69,3376135000,117200
28800,022314,28750,-50,29000,28700,BID,1600,-0.17,69,3436510000,119300
28800,022314,28750,-50,29000,28700,BID,1000,-0.17,69,3482510000,120900
28800,022421,28800,0,29000,28700,BID,200,0.0,80,3729975000,129500
28800,022421,28800,0,29000,28700,BID,1800,0.0,79,3678135000,127700
28800,022404,28800,0,29000,28700,BID,1000,0.0,78,3649335000,126700
28800,022404,28800,0,29000,28700,BID,1500,0.0,78,3606135000,125200
28800,022404,28750,-50,29000,28700,ASK,200,-0.17,76,3600385000,125000
28800,022403,28750,-50,29000,28700,ASK,1000,-0.17,75,3571635000,124000
28800,022356,28750,-50,29000,28700,ASK,100,-0.17,74,3568760000,123900
28800,022447,28800,0,29000,28700,BID,2000,0.0,83,3813495000,132400
28800,022440,28800,0,29000,28700,BID,2400,0.0,82,3744375000,130000
28800,022440,28800,0,29000,28700,BID,300,0.0,82,3735735000,129700
28800,022540,28800,0,29000,28700,BID,400,0.0,88,3989175000,138500
28800,022540,28800,0,29000,28700,BID,1600,0.0,88,3943095000,136900
28800,022510,28800,0,29000,28700,BID,600,0.0,86,3871095000,134400
28800,022510,28800,0,29000,28700,BID,1400,0.0,86,3902775000,135500
28800,022510,28800,0,29000,28700,BID,500,0.0,86,3888375000,135000
