o,t,c,ch,h,l,mb,mv,ra,se,va,vo
46050,021526,46050,-750,46050,46050,UNKNOWN,19800,-1.6,1,0,0
46050,021535,46050,-750,46050,46050,ASK,300,-1.6,2,911790000,19800
46050,021614,46300,-500,46300,46050,BID,300,-1.07,21700000040,930235000,20200
46050,021614,46300,-500,46300,46050,BID,100,-1.07,21700000039,925605000,20100
46300,021647,46300,-500,46300,46050,BID,400,-1.07,1,0,20500
46300,021727,46300,-500,46300,46050,BID,400,-1.07,6,1217290000,26400
46300,021726,46300,-500,46300,46050,BID,500,-1.07,5,1194140000,25900
46300,021713,46300,-500,46300,46050,ASK,600,-1.07,4,1166360000,25300
46300,021709,46300,-500,46300,46050,BID,4300,-1.07,3,967270000,21000
46300,021709,46250,-550,46300,46050,BID,100,-1.18,3,962645000,20900
46300,021751,46300,-500,46300,46050,BID,100,-1.07,10,1268210000,27500
46300,021751,46300,-500,46300,46050,BID,300,-1.07,10,1254320000,27200
46300,021748,46250,-550,46300,46050,ASK,200,-1.18,8,1245070000,27000
46300,021737,46300,-500,46300,46050,BID,200,-1.07,7,1235810000,26800
46300,021842,46300,-500,46300,46050,BID,400,-1.07,11,1272840000,27600
46300,021904,46300,-500,46300,46050,BID,100,-1.07,14,1309880000,28400
46300,021904,46300,-500,46300,46050,BID,300,-1.07,14,1314510000,28500
46300,021844,46300,-500,46300,46050,BID,400,-1.07,12,1291360000,28000
46300,021931,46350,-450,46350,46050,BID,400,-0.96,16,1328400000,28800
46300,021931,46350,-450,46350,46050,BID,100,-0.96,16,1346940000,29200
46300,022000,46500,-300,46500,46050,BID,100,-0.64,22,1546245000,33500
46300,022000,46750,-50,46750,46050,BID,300,-0.11,22,1550895000,33600
46300,021955,46350,-450,46350,46050,BID,400,-0.96,20,1527705000,33100
46300,021942,46350,-450,46350,46050,BID,200,-0.96,19,1518435000,32900
46300,021942,46350,-450,46350,46050,BID,100,-0.96,19,1513800000,32800
46300,021942,46350,-450,46350,46050,BID,3500,-0.96,17,1351575000,29300
46300,022035,46700,-100,46750,46050,BID,100,-0.21,25,1658420000,35900
46300,022035,46750,-50,46750,46050,BID,100,-0.11,25,1663090000,36000
46300,022025,46750,-50,46750,46050,BID,2000,-0.11,23,1564920000,33900
46300,022100,46750,-50,46750,46050,BID,300,-0.11,27,1672435000,36200
46300,022100,46700,-100,46750,46050,BID,100,-0.21,27,1667765000,36100
46300,022123,46400,-400,46750,46050,ASK,2000,-0.85,28,1686460000,36500
46300,022203,46500,-300,46750,46050,BID,200,-0.64,30,1797860000,38900
46300,022144,46500,-300,46750,46050,BID,400,-0.64,29,1779260000,38500
46300,022224,46500,-300,46750,46050,BID,400,-0.64,31,1807160000,39100
46300,022306,46600,-200,46750,46050,BID,400,-0.43,32,1825760000,39500
46300,022333,46600,-200,46750,46050,BID,400,-0.43,34,1858350000,40200
46300,022312,46500,-300,46750,46050,ASK,300,-0.64,33,1844400000,39900
46300,022358,46750,-50,46750,46050,BID,400,-0.11,37,1895660000,41000
46300,022340,46600,-200,46750,46050,BID,200,-0.43,36,1876990000,40600
46300,022340,46750,-50,46750,46050,BID,200,-0.11,36,1886310000,40800
46300,022441,46700,-100,46750,46050,BID,400,-0.21,38,1914360000,41400
46300,022513,46700,-100,46750,46050,BID,400,-0.21,40,1942380000,42000
46300,022501,46700,-100,46750,46050,BID,200,-0.21,39,1933040000,41800
46300,022542,46650,-150,46750,46050,BID,400,-0.32,41,1961060000,42400
46300,022605,46500,-300,46750,46050,ASK,600,-0.64,46,2016920000,43600
46300,022605,46500,-300,46750,46050,ASK,100,-0.64,46,2044820000,44200
46300,022605,46500,-300,46750,46050,ASK,400,-0.64,46,1998320000,43200
46300,022605,46500,-300,46750,46050,ASK,100,-0.64,46,1993670000,43100
46300,022604,46500,-300,46750,46050,ASK,200,-0.64,43,1979720000,42800
46300,022604,46500,-300,46750,46050,ASK,100,-0.64,43,1989020000,43000
46300,022630,46500,-300,46750,46050,BID,400,-0.64,48,2054120000,44400
46300,022630,46500,-300,46750,46050,BID,100,-0.64,47,2049470000,44300
46300,022654,46400,-400,46750,46050,BID,100,-0.85,50,2165520000,46800
46300,022646,46400,-400,46750,46050,ASK,2000,-0.85,49,2072720000,44800
46300,022758,46400,-400,46750,46050,BID,200,-0.85,51,2170160000,46900
46300,022812,46350,-450,46750,46050,ASK,500,-0.96,52,2179440000,47100
46300,022857,46300,-500,46750,46050,ASK,300,-1.07,60,2272075000,49100
46300,022855,46300,-500,46750,46050,ASK,200,-1.07,59,2262815000,48900
46300,022855,46300,-500,46750,46050,ASK,100,-1.07,59,2258185000,48800
46300,022839,46300,-500,46750,46050,ASK,400,-1.07,57,2239665000,48400
46300,022839,46300,-500,46750,46050,ASK,100,-1.07,57,2235035000,48300
46300,022839,46350,-450,46750,46050,ASK,100,-0.96,55,2207250000,47700
46300,022839,46300,-500,46750,46050,ASK,500,-1.07,56,2211885000,47800
46300,022839,46350,-450,46750,46050,ASK,100,-0.96,54,2202615000,47600
46300,022910,46250,-550,46750,46050,ASK,900,-1.18,61,2285965000,49400
46300,022953,46100,-700,46750,46050,ASK,500,-1.5,74,2845270000,61500
46300,022950,46100,-700,46750,46050,ASK,600,-1.5,73,2817610000,60900
46300,022949,46250,-550,46750,46050,BID,400,-1.18,72,2799110000,60500
46300,022941,46200,-600,46750,46050,ASK,3000,-1.28,71,2637455000,57000
46300,022941,46100,-700,46750,46050,ASK,400,-1.5,71,2780670000,60100
46300,022941,46150,-650,46750,46050,ASK,100,-1.39,71,2776055000,60000
46300,022941,46200,-600,46750,46050,ASK,200,-1.28,70,2628215000,56800
46300,022941,46250,-550,46750,46050,ASK,200,-1.18,67,2618965000,56600
46300,022940,46250,-550,46750,46050,ASK,100,-1.18,67,2614340000,56500
46300,022940,46250,-550,46750,46050,ASK,5000,-1.18,66,2383090000,51500
46300,022940,46250,-550,46750,46050,ASK,100,-1.18,66,2378465000,51400
46300,022940,46250,-550,46750,46050,ASK,900,-1.18,66,2336840000,50500
46300,022928,46250,-550,46750,46050,ASK,200,-1.18,62,2327590000,50300
46300,023022,46100,-700,46750,46050,ASK,500,-1.5,75,2868320000,62000
46300,023025,46250,-550,46750,46050,BID,400,-1.18,76,2891370000,62500
46300,023114,46250,-550,46750,46050,BID,400,-1.18,78,2914495000,63000
46300,023055,46250,-550,46750,46050,BID,100,-1.18,77,2909870000,62900
46300,023141,46250,-550,46750,46050,BID,500,-1.18,80,2951495000,63800
46300,023139,46250,-550,46750,46050,BID,400,-1.18,79,2932995000,63400
46300,023201,46250,-550,46750,46050,BID,400,-1.18,84,3011620000,65100
46300,023200,46250,-550,46750,46050,BID,500,-1.18,83,2983870000,64500
46300,023200,46250,-550,46750,46050,BID,200,-1.18,83,2974620000,64300
46300,023200,46250,-550,46750,46050,BID,100,-1.18,83,3006995000,65000
46300,023249,46300,-500,46750,46050,BID,300,-1.07,88,3062495000,66200
46300,023249,46400,-400,46750,46050,BID,100,-0.85,88,3076385000,66500
46300,023228,46250,-550,46750,46050,BID,500,-1.18,86,3039370000,65700
46300,023225,46250,-550,46750,46050,BID,200,-1.18,85,3030120000,65500
46300,023335,46400,-400,46750,46050,BID,300,-0.85,89,3081025000,66600
46300,023350,46300,-500,46750,46050,ASK,1000,-1.07,91,3099590000,67000
46300,023335,46450,-350,46750,46050,BID,100,-0.75,90,3094945000,66900
46300,023415,46350,-450,46750,46050,BID,400,-0.96,92,3145890000,68000
46300,023521,46350,-450,46750,46050,BID,200,-0.96,93,3164430000,68400
46300,023552,46350,-450,46750,46050,BID,100,-0.96,21700000148,3173700000,68600
46350,023611,46350,-450,46750,46050,BID,200,-0.96,1,0,68600
46350,023651,46350,-450,46750,46050,BID,400,-0.96,3,3196875000,69100
46350,023650,46350,-450,46750,46050,BID,200,-0.96,2,3187605000,68900
46350,023706,46350,-450,46750,46050,BID,400,-0.96,4,3215415000,69500
46350,023814,46350,-450,46750,46050,BID,400,-0.96,5,3233955000,69900
46350,023846,46350,-450,46750,46050,BID,400,-0.96,7,3257130000,70400
46350,023820,46350,-450,46750,46050,BID,100,-0.96,6,3252495000,70300
46350,023902,46400,-400,46750,46050,BID,100,-0.85,10,3294230000,71200
46350,023851,46400,-400,46750,46050,BID,300,-0.85,9,3280310000,70900
