o,t,c,ch,h,l,mb,mv,ra,se,va,vo
17700,021529,17650,-150,17700,17650,ASK,100,-0.84,4,2596190000,146700
17700,021528,17650,-150,17700,17650,ASK,100,-0.84,3,2454990000,138700
17700,021528,17650,-150,17700,17650,ASK,7900,-0.84,3,2456755000,138800
17700,021527,17700,-100,17700,17700,UNKNOWN,138700,-0.56,1,0,0
17700,021552,17700,-100,17700,17650,BID,700,-0.56,202700000143,2872305000,162300
17700,021537,17700,-100,17700,17650,BID,500,-0.56,12,2863455000,161800
17700,021533,17700,-100,17700,17650,BID,5000,-0.56,11,2774955000,156800
17700,021532,17700,-100,17700,17650,BID,100,-0.56,10,2636895000,149000
17700,021532,17700,-100,17700,17650,BID,100,-0.56,10,2599725000,146900
17700,021532,17700,-100,17700,17650,BID,500,-0.56,10,2638665000,149100
17700,021532,17700,-100,17700,17650,BID,7200,-0.56,10,2647515000,149600
17700,021532,17700,-100,17700,17650,BID,100,-0.56,10,2597955000,146800
17700,021532,17700,-100,17700,17650,BID,2000,-0.56,10,2601495000,147000
17700,021615,17700,-100,17700,17650,BID,4400,-0.56,202700000144,2884695000,163000
17700,021651,17650,-150,17700,17650,ASK,300,-0.84,7,3361715000,190000
17700,021651,17650,-150,17700,17650,ASK,2500,-0.84,7,3317590000,187500
17700,021651,17650,-150,17700,17650,ASK,2700,-0.84,7,3269935000,184800
17700,021648,17700,-100,17700,17650,BID,4400,-0.56,4,3186760000,180100
17700,021648,17650,-150,17700,17650,ASK,300,-0.84,4,3264640000,184500
17700,021644,17650,-150,17700,17650,ASK,1600,-0.84,2,3158520000,178500
17700,021640,17650,-150,17700,17650,ASK,300,-0.84,1,0,167400
17700,021634,17700,-100,17700,17650,BID,600,-0.56,202700000151,3142605000,177600
17700,021629,17650,-150,17700,17650,ASK,4000,-0.84,202700000150,3072005000,173600
17700,021627,17650,-150,17700,17650,ASK,1400,-0.84,202700000147,3026115000,171000
17700,021627,17650,-150,17700,17650,ASK,1600,-0.84,202700000146,2997875000,169400
17700,021627,17650,-150,17700,17650,ASK,1100,-0.84,202700000149,3052590000,172500
17700,021627,17650,-150,17700,17650,ASK,100,-0.84,202700000148,3050825000,172400
17700,021627,17650,-150,17700,17650,ASK,2000,-0.84,202700000145,2962575000,167400
17700,021722,17650,-150,17700,17650,BID,2400,-0.84,16,3652940000,206500
17700,021722,17650,-150,17700,17650,BID,500,-0.84,16,3695300000,208900
17700,021717,17650,-150,17700,17650,ASK,600,-0.84,14,3642350000,205900
17700,021714,17650,-150,17700,17650,BID,5400,-0.84,13,3547040000,200500
17700,021712,17650,-150,17700,17650,ASK,200,-0.84,12,3543510000,200300
17700,021712,17650,-150,17700,17650,ASK,4400,-0.84,12,3465850000,195900
17700,021705,17650,-150,17700,17650,ASK,1000,-0.84,10,3448200000,194900
17700,021700,17650,-150,17700,17650,BID,4500,-0.84,9,3367010000,190300
17700,021700,17650,-150,17700,17650,BID,100,-0.84,9,3446435000,194800
17700,021749,17650,-150,17700,17650,ASK,600,-0.84,28,3826135000,216300
17700,021749,17700,-100,17700,17650,BID,100,-0.56,28,3824365000,216200
17700,021743,17650,-150,17700,17650,ASK,700,-0.84,26,3812010000,215500
17700,021737,17650,-150,17700,17650,ASK,200,-0.84,25,3808480000,215300
17700,021732,17650,-150,17700,17650,ASK,200,-0.84,24,3804950000,215100
17700,021731,17650,-150,17700,17650,ASK,200,-0.84,23,3801420000,214900
17700,021730,17650,-150,17700,17650,ASK,100,-0.84,22,3799655000,214800
17700,021728,17700,-100,17700,17650,BID,100,-0.56,21,3769565000,213100
17700,021728,17700,-100,17700,17650,BID,1600,-0.56,21,3771335000,213200
17700,021728,17700,-100,17700,17650,BID,2200,-0.56,21,3721775000,210400
17700,021728,17700,-100,17700,17650,BID,500,-0.56,21,3760715000,212600
17700,021723,17650,-150,17700,17650,ASK,1000,-0.84,17,3704125000,209400
17700,021810,17650,-150,17700,17650,ASK,400,-0.84,39,4101695000,231900
17700,021807,17650,-150,17700,17650,ASK,1000,-0.84,38,4084045000,230900
17700,021806,17650,-150,17700,17650,ASK,200,-0.84,37,4080515000,230700
17700,021806,17650,-150,17700,17650,ASK,1300,-0.84,37,4057570000,229400
17700,021804,17650,-150,17700,17650,ASK,400,-0.84,35,4050510000,229000
17700,021803,17650,-150,17700,17650,ASK,200,-0.84,34,4046980000,228800
17700,021759,17650,-150,17700,17650,ASK,1000,-0.84,33,4029330000,227800
17700,021757,17650,-150,17700,17650,ASK,2400,-0.84,32,3986970000,225400
17700,021757,17650,-150,17700,17650,ASK,1600,-0.84,32,3958730000,223800
17700,021757,17650,-150,17700,17650,ASK,2500,-0.84,32,3914605000,221300
17700,021752,17700,-100,17700,17650,BID,4400,-0.56,29,3836725000,216900
17700,021831,17650,-150,17700,17650,ASK,600,-0.84,41,4161705000,235300
17700,021827,17650,-150,17700,17650,ASK,3000,-0.84,40,4108755000,232300
17700,021905,17700,-100,17700,17650,BID,3500,-0.56,48,4375790000,247400
17700,021905,17700,-100,17700,17650,BID,900,-0.56,48,4437740000,250900
17700,021853,17650,-150,17700,17650,ASK,400,-0.84,46,4368730000,247000
17700,021851,17650,-150,17700,17650,ASK,200,-0.84,45,4365200000,246800
17700,021848,17650,-150,17700,17650,ASK,500,-0.84,44,4356375000,246300
17700,021847,17700,-100,17700,17650,BID,6000,-0.56,43,4250175000,240300
17700,021843,17700,-100,17700,17650,BID,4400,-0.56,42,4172295000,235900
17700,021935,17650,-150,17700,17650,ASK,100,-0.84,64,4780420000,270300
17700,021935,17650,-150,17700,17650,ASK,10000,-0.84,64,4782185000,270400
17700,021935,17650,-150,17700,17650,ASK,500,-0.84,64,4683345000,264800
17700,021935,17650,-150,17700,17650,ASK,1000,-0.84,64,4692170000,265300
17700,021935,17650,-150,17700,17650,ASK,6300,-0.84,64,4958685000,280400
17700,021935,17650,-150,17700,17650,ASK,4000,-0.84,64,4709820000,266300
17700,021935,17650,-150,17700,17650,ASK,100,-0.84,64,4681580000,264700
17700,021935,17650,-150,17700,17650,ASK,2000,-0.84,64,4646280000,262700
17700,021935,17650,-150,17700,17650,ASK,3500,-0.84,56,4540380000,256700
17700,021935,17650,-150,17700,17650,ASK,2500,-0.84,56,4602155000,260200
17700,021934,17650,-150,17700,17650,ASK,400,-0.84,54,4533320000,256300
17700,021933,17700,-100,17700,17650,BID,1000,-0.56,53,4455440000,251900
17700,021933,17700,-100,17700,17650,BID,1000,-0.56,53,4474910000,253000
17700,021933,17700,-100,17700,17650,BID,2300,-0.56,53,4492610000,254000
17700,021933,17700,-100,17700,17650,BID,100,-0.56,53,4473140000,252900
17700,021932,17700,-100,17700,17650,BID,100,-0.56,49,4453670000,251800
17700,022002,17700,-100,17700,17650,BID,1200,-0.56,73,5145940000,291000
17700,022002,17700,-100,17700,17650,BID,100,-0.56,73,5144170000,290900
17700,022002,17700,-100,17700,17650,BID,500,-0.56,71,5133550000,290300
17700,022002,17700,-100,17700,17650,BID,400,-0.56,71,5126470000,289900
17700,022002,17700,-100,17700,17650,BID,100,-0.56,71,5089300000,287800
17700,022002,17700,-100,17700,17650,BID,100,-0.56,71,5142400000,290800
17700,022002,17700,-100,17700,17650,BID,2000,-0.56,71,5091070000,287900
17700,021950,17650,-150,17700,17650,ASK,1000,-0.84,66,5071650000,286800
17700,021940,17700,-100,17700,17650,BID,100,-0.56,65,5069880000,286700
17700,022018,17700,-100,17700,17650,BID,500,-0.56,76,5211320000,294700
17700,022012,17650,-150,17700,17650,ASK,2200,-0.84,75,5172490000,292500
17700,022010,17700,-100,17700,17650,BID,300,-0.56,74,5167180000,292200
17700,022101,17700,-100,17700,17650,BID,100,-0.56,79,5229020000,295700
17700,022046,17700,-100,17700,17650,BID,200,-0.56,78,5225480000,295500
17700,022034,17700,-100,17700,17650,BID,300,-0.56,77,5220170000,295200
17700,022130,17700,-100,17700,17650,BID,100,-0.56,93,6443565000,364500
17700,022119,17650,-150,17700,17650,ASK,3000,-0.84,92,6390615000,361500
17700,022118,17650,-150,17700,17650,ASK,1300,-0.84,91,6367670000,360200
17700,022109,17650,-150,17700,17650,ASK,10000,-0.84,90,6191170000,350200
17700,022105,17650,-150,17700,17650,ASK,200,-0.84,89,6187640000,350000
