o,t,c,ch,h,l,mb,mv,ra,se,va,vo
54000,021527,54000,0,54000,54000,UNKNOWN,20700,0,1,0,0
54000,021547,54000,0,54000,54000,BID,100,0,381300000053,1128600000,20900
54000,021547,54000,0,54000,54000,BID,1200,0,381300000054,1134000000,21000
54000,021547,54000,0,54000,54000,BID,200,0,381300000052,1117800000,20700
54000,021628,54000,0,54000,53900,BID,100,0.0,381300000060,1290550000,23900
54000,021617,54000,0,54000,53900,BID,1200,0.0,381300000059,1225750000,22700
54000,021617,53900,-100,54000,53900,BID,500,-0.19,381300000058,1198800000,22200
54000,021654,54000,0,54000,54000,BID,200,0.0,5,1733350000,32100
54000,021654,54000,0,54000,54000,BID,500,0.0,5,1700950000,31500
54000,021654,54000,0,54000,54000,BID,4200,0.0,5,1474150000,27300
54000,021654,54000,0,54000,54000,BID,100,0.0,5,1727950000,32000
54000,021651,54000,0,54000,54000,BID,1700,0.0,1,0,22200
54000,021632,54000,0,54000,53900,BID,1600,0.0,381300000061,1295950000,24000
54000,021726,54000,0,54000,53900,ASK,200,0.0,21,2192340000,40600
54000,021722,54000,0,54000,53900,ASK,200,0.0,20,2181540000,40400
54000,021722,54000,0,54000,53900,ASK,3000,0.0,19,2019540000,37400
54000,021719,54000,0,54000,53900,ASK,100,0.0,18,2014140000,37300
54000,021710,54000,0,54000,53900,ASK,500,0.0,17,1987140000,36800
54000,021704,54000,0,54000,53900,BID,200,0.0,12,1760340000,32600
54000,021704,54000,0,54000,53900,BID,100,0.0,16,1981740000,36700
54000,021704,54000,0,54000,53900,BID,2100,0.0,16,1862940000,34500
54000,021704,54000,0,54000,53900,BID,1000,0.0,15,1792740000,33200
54000,021704,54000,0,54000,53900,BID,100,0.0,16,1976340000,36600
54000,021704,54000,0,54000,53900,BID,300,0.0,16,1846740000,34200
54000,021704,54000,0,54000,53900,BID,300,0.0,15,1771140000,32800
54000,021704,54000,0,54000,53900,BID,100,0.0,13,1787340000,33100
54000,021704,53900,-100,54000,53900,BID,100,-0.19,8,1744150000,32300
54000,021704,54000,0,54000,53900,BID,100,0.0,8,1754940000,32500
54000,021704,54000,0,54000,53900,BID,100,0.0,8,1749540000,32400
54000,021743,54000,0,54100,53900,ASK,500,0.0,26,2332910000,43200
54000,021740,54000,0,54100,53900,ASK,100,0.0,25,2327510000,43100
54000,021736,54000,0,54100,53900,ASK,300,0.0,24,2311310000,42800
54000,021734,54000,0,54100,53900,ASK,300,0.0,23,2295110000,42500
54000,021731,54100,100,54100,53900,BID,1700,0.19,22,2203140000,40800
54000,021805,54000,0,54100,53900,ASK,100,0.0,29,2533030000,46900
54000,021800,54100,100,54100,53900,BID,1500,0.19,28,2451880000,45400
54000,021755,54100,100,54100,53900,BID,1700,0.19,27,2359910000,43700
54000,021847,54000,0,54100,53900,ASK,300,0.0,37,2668200000,49400
54000,021845,54100,100,54100,53900,BID,1300,0.19,36,2597870000,48100
54000,021845,54100,100,54100,53900,BID,100,0.19,36,2576230000,47700
54000,021845,54100,100,54100,53900,BID,100,0.19,36,2581640000,47800
54000,021845,54100,100,54100,53900,BID,200,0.19,36,2587050000,47900
54000,021841,54000,0,54100,53900,ASK,500,0.0,32,2549230000,47200
54000,021841,54000,0,54100,53900,ASK,100,0.0,32,2543830000,47100
54000,021836,54000,0,54100,53900,ASK,100,0.0,30,2538430000,47000
54000,021917,54100,100,54100,53900,BID,300,0.19,40,2884570000,53400
54000,021917,54100,100,54100,53900,BID,2000,0.19,40,2776370000,51400
54000,021908,54100,100,54100,53900,BID,1700,0.19,38,2684400000,49700
54000,021936,54300,300,54300,53900,BID,500,0.56,63,3578080000,66200
54000,021936,54300,300,54300,53900,BID,500,0.56,63,3550930000,65700
54000,021936,54300,300,54300,53900,BID,700,0.56,63,3605230000,66700
54000,021934,54200,200,54200,53900,BID,100,0.37,60,3534670000,65400
54000,021934,54200,200,54200,53900,BID,200,0.37,60,3540090000,65500
54000,021934,54200,200,54200,53900,BID,100,0.37,59,3529250000,65300
54000,021934,54200,200,54200,53900,BID,2000,0.37,58,3420850000,63300
54000,021934,54200,200,54200,53900,BID,100,0.37,56,3090230000,57200
54000,021934,54200,200,54200,53900,BID,200,0.37,55,3019770000,55900
54000,021934,54200,200,54200,53900,BID,5000,0.37,56,3122750000,57800
54000,021934,54200,200,54200,53900,BID,500,0.37,56,3095650000,57300
54000,021934,54200,200,54200,53900,BID,500,0.37,56,3393750000,62800
54000,021934,54200,200,54200,53900,BID,100,0.37,54,3030610000,56100
54000,021934,54200,200,54200,53900,BID,1000,0.37,53,3036030000,56200
54000,021929,54100,100,54100,53900,BID,200,0.19,49,3008950000,55700
54000,021929,54000,0,54100,53900,ASK,300,0.0,48,2992750000,55400
54000,021929,54000,0,54100,53900,ASK,200,0.0,48,2981950000,55200
54000,021928,54100,100,54100,53900,ASK,300,0.19,46,2965720000,54900
54000,021922,54100,100,54100,53900,BID,200,0.19,45,2927850000,54200
54000,021922,54100,100,54100,53900,BID,200,0.19,45,2954900000,54700
54000,021922,54100,100,54100,53900,BID,300,0.19,45,2938670000,54400
54000,021921,54100,100,54100,53900,BID,100,0.19,42,2922440000,54100
54000,021919,54100,100,54100,53900,BID,400,0.19,41,2900800000,53700
54000,022004,54300,300,54300,53900,BID,700,0.56,65,3697440000,68400
54000,022004,54200,200,54300,53900,BID,1000,0.37,64,3643240000,67400
54000,022034,54300,300,54300,53900,BID,100,0.56,69,3827750000,70800
54000,022030,54200,200,54300,53900,ASK,100,0.37,68,3822330000,70700
54000,022023,54300,300,54300,53900,BID,100,0.56,67,3816900000,70600
54000,022014,54300,300,54300,53900,BID,1500,0.56,66,3735450000,69100
54000,022106,54300,300,54300,53900,BID,1700,0.56,74,4066650000,75200
54000,022104,54300,300,54300,53900,BID,1900,0.56,73,3844020000,71100
54000,022104,54300,300,54300,53900,BID,2200,0.56,73,3947190000,73000
54000,022042,54200,200,54300,53900,ASK,100,0.37,71,3838600000,71000
54000,022040,54200,200,54300,53900,ASK,100,0.37,70,3833180000,70900
54000,022130,54400,400,54400,53900,BID,100,0.74,95,5403550000,99800
54000,022127,54400,400,54400,53900,BID,300,0.74,94,5131550000,94800
54000,022127,54400,400,54400,53900,BID,4700,0.74,94,5147870000,95100
54000,022126,54400,400,54400,53900,BID,200,0.74,92,5120670000,94600
54000,022126,54400,400,54400,53900,BID,1000,0.74,91,5066270000,93600
54000,022116,54400,400,54400,53900,BID,1000,0.74,90,4794270000,88600
54000,022116,54400,400,54400,53900,BID,3500,0.74,90,4875870000,90100
54000,022116,54400,400,54400,53900,BID,500,0.74,90,4848670000,89600
54000,022115,54300,300,54300,53900,ASK,300,0.56,87,4777980000,88300
54000,022115,54300,300,54300,53900,ASK,700,0.56,87,4739970000,87600
54000,022111,54300,300,54300,53900,BID,1000,0.56,85,4680240000,86500
54000,022111,54300,300,54300,53900,BID,200,0.56,85,4397880000,81300
54000,022111,54300,300,54300,53900,BID,5000,0.56,85,4408740000,81500
54000,022111,54300,300,54300,53900,BID,100,0.56,85,4734540000,87500
54000,022111,54300,300,54300,53900,BID,100,0.56,85,4392450000,81200
54000,022111,54300,300,54300,53900,BID,900,0.56,83,4343580000,80300
54000,022109,54300,300,54300,53900,BID,1700,0.56,79,4251270000,78600
54000,022108,54300,300,54300,53900,BID,400,0.56,78,4229550000,78200
54000,022108,54300,300,54300,53900,BID,100,0.56,78,4224120000,78100
54000,022108,54300,300,54300,53900,BID,1100,0.56,76,4158960000,76900
54000,022108,54300,300,54300,53900,BID,100,0.56,76,4218690000,78000
54000,022152,54500,500,54500,53900,BID,500,0.93,107,5724650000,105700
54000,022147,54500,500,54500,53900,BID,200,0.93,106,5713750000,105500
54000,022147,54400,400,54500,53900,BID,1500,0.74,105,5632150000,104000
54000,022143,54400,400,54500,53900,BID,1500,0.74,104,5550550000,102500
54000,022138,54500,500,54500,53900,BID,100,0.93,103,5485150000,101300
54000,022138,54500,500,54500,53900,BID,100,0.93,103,5490600000,101400
54000,022138,54400,400,54400,53900,BID,200,0.74,103,5408990000,99900
54000,022138,54500,500,54500,53900,BID,800,0.93,103,5506950000,101700
54000,022138,54400,400,54400,53900,BID,1000,0.74,103,5425310000,100200
54000,022138,54500,500,54500,53900,BID,200,0.93,103,5496050000,101500
54000,022138,54400,400,54400,53900,BID,100,0.74,103,5479710000,101200
54000,022138,54400,400,54400,53900,BID,100,0.74,103,5419870000,100100
54000,022212,54400,400,54500,53900,BID,1000,0.74,113,5866230000,108300
54000,022211,54400,400,54500,53900,ASK,800,0.74,112,5811830000,107300
54000,022211,54400,400,54500,53900,ASK,200,0.74,112,5855350000,108100
54000,022209,54500,500,54500,53900,BID,500,0.93,110,5784580000,106800
