o,t,c,ch,h,l,mb,mv,ra,se,va,vo
82500,021533,82500,300,82500,82500,ASK,100,0.36,1,0,0
82500,022050,82400,200,82500,82400,BID,100,0.24,1,0,100
82500,022218,82400,200,82500,82400,BID,100,0.24,2,16490000,200
82500,022457,82200,0,82500,82200,BID,1000,0.0,3,24730000,300
82500,023232,82200,0,82500,82200,BID,100,0.0,4,106930000,1300
82500,023309,82200,0,82500,82200,BID,400,0.0,5,115150000,1400
82200,023635,82200,0,82500,82200,BID,300,0.0,1,0,1800
82200,023707,82200,0,82500,82200,BID,100,0.0,2,172690000,2100
82200,023906,82200,0,82500,82200,BID,100,0.0,3,180910000,2200
82200,023929,82200,0,82500,82200,BID,100,0.0,4,189130000,2300
82200,024021,82200,0,82500,82200,BID,100,0.0,5,197350000,2400
82200,024205,82200,0,82500,82200,BID,100,0.0,6,205570000,2500
82200,024219,82200,0,82500,82200,BID,100,0.0,7,213790000,2600
82200,024437,82000,-200,82500,82000,ASK,300,-0.24,8,222010000,2700
82200,024438,82000,-200,82500,82000,ASK,100,-0.24,10,254810000,3100
82200,024438,82000,-200,82500,82000,ASK,100,-0.24,10,246610000,3000
82200,024542,82200,0,82500,82000,BID,100,0.0,11,263010000,3200
82200,024727,82200,0,82500,82000,BID,100,0.0,12,271230000,3300
82200,024931,82200,0,82500,82000,BID,100,0.0,13,279450000,3400
82200,025001,82200,0,82500,82000,BID,100,0.0,14,287670000,3500
82200,025226,82200,0,82500,82000,BID,100,0.0,15,295890000,3600
82200,025248,82200,0,82500,82000,BID,100,0.0,17,312330000,3800
82200,025237,82200,0,82500,82000,BID,100,0.0,16,304110000,3700
82200,025307,82200,0,82500,82000,BID,100,0.0,19,328770000,4000
82200,025304,82200,0,82500,82000,BID,100,0.0,18,320550000,3900
82200,025322,82200,0,82500,82000,BID,100,0.0,21,345210000,4200
82200,025318,82200,0,82500,82000,BID,100,0.0,20,336990000,4100
82200,025716,82000,-200,82500,82000,ASK,800,-0.24,24,369830000,4500
82200,025716,82000,-200,82500,82000,ASK,100,-0.24,24,361630000,4400
82200,025716,82000,-200,82500,82000,ASK,100,-0.24,24,353430000,4300
82200,030629,82000,-200,82500,82000,ASK,100,-0.24,26,451830000,5500
82200,030629,82000,-200,82500,82000,ASK,200,-0.24,26,435430000,5300
82200,031704,81900,-300,82500,81900,ASK,200,-0.36,27,460030000,5600
82200,032454,81900,-300,82500,81900,ASK,100,-0.36,28,476410000,5800
82200,033303,81900,-300,82500,81900,BID,100,-0.36,29,484600000,5900
82200,033325,81900,-300,82500,81900,BID,100,-0.36,31,500980000,6100
82200,033315,81900,-300,82500,81900,BID,100,-0.36,30,492790000,6000
82200,033340,81900,-300,82500,81900,BID,100,-0.36,32,509170000,6200
82200,033622,81900,-300,82500,81900,BID,100,-0.36,33,517360000,6300
82200,033857,81900,-300,82500,81900,BID,100,-0.36,34,525550000,6400
82200,034158,81800,-400,82500,81800,ASK,100,-0.49,35,533740000,6500
82200,034502,81800,-400,82500,81800,ASK,100,-0.49,36,541920000,6600
82200,034616,81800,-400,82500,81800,ASK,500,-0.49,37,550100000,6700
82200,034715,81800,-400,82500,81800,ASK,100,-0.49,41,631900000,7700
82200,034715,81800,-400,82500,81800,ASK,100,-0.49,41,623720000,7600
82200,034715,81800,-400,82500,81800,ASK,100,-0.49,39,615540000,7500
82200,034715,81800,-400,82500,81800,ASK,300,-0.49,39,591000000,7200
82200,034746,81800,-400,82500,81800,ASK,100,-0.49,42,640080000,7800
82200,034751,81700,-500,82500,81700,ASK,100,-0.61,43,648260000,7900
82200,034815,81700,-500,82500,81700,ASK,100,-0.61,44,656430000,8000
82200,034952,81900,-300,82500,81700,BID,400,-0.36,45,664600000,8100
82200,035645,81900,-300,82500,81700,ASK,600,-0.36,46,697360000,8500
82200,040449,81700,-500,82500,81700,ASK,100,-0.61,47,746500000,9100
82200,040453,81700,-500,82500,81700,ASK,100,-0.61,49,762840000,9300
82200,040451,81700,-500,82500,81700,ASK,100,-0.61,48,754670000,9200
82200,040801,81700,-500,82500,81700,ASK,100,-0.61,50,771010000,9400
82200,041638,81700,-500,82500,81700,ASK,100,-0.61,51,779180000,9500
82200,042032,81700,-500,82500,81700,BID,100,-0.61,52,787350000,9600
82200,042057,81700,-500,82500,81700,BID,100,-0.61,53,795520000,9700
82200,042201,81700,-500,82500,81700,BID,100,-0.61,54,803690000,9800
82200,042414,81600,-600,82500,81600,ASK,100,-0.73,58,885300000,10800
82200,042414,81600,-600,82500,81600,ASK,200,-0.73,57,868980000,10600
82200,042414,81600,-600,82500,81600,ASK,200,-0.73,57,811860000,9900
82200,042414,81600,-600,82500,81600,ASK,500,-0.73,57,828180000,10100
82200,042529,81500,-700,82500,81500,ASK,900,-0.85,60,893460000,10900
82200,042529,81500,-700,82500,81500,ASK,100,-0.85,60,966810000,11800
82200,060031,81500,-700,82500,81500,ASK,100,-0.85,62,1032150000,12600
82200,060028,81700,-500,82500,81500,BID,700,-0.61,61,974960000,11900
82200,060337,82000,-200,82500,81500,BID,100,-0.24,63,1040300000,12700
82200,060346,82000,-200,82500,81500,BID,100,-0.24,64,1048500000,12800
82200,060617,82000,-200,82500,81500,BID,100,-0.24,66,1064900000,13000
82200,060612,82000,-200,82500,81500,BID,100,-0.24,65,1056700000,12900
82200,060631,82000,-200,82500,81500,BID,100,-0.24,68,1081300000,13200
82200,060624,82000,-200,82500,81500,BID,100,-0.24,67,1073100000,13100
82200,060649,82000,-200,82500,81500,BID,100,-0.24,69,1089500000,13300
82200,060757,82000,-200,82500,81500,BID,100,-0.24,70,1097700000,13400
82200,060815,82000,-200,82500,81500,BID,100,-0.24,73,1122300000,13700
82200,060808,82000,-200,82500,81500,BID,100,-0.24,72,1114100000,13600
82200,060804,82000,-200,82500,81500,BID,100,-0.24,71,1105900000,13500
82200,060836,82000,-200,82500,81500,BID,100,-0.24,75,1138700000,13900
82200,060825,82000,-200,82500,81500,BID,100,-0.24,74,1130500000,13800
82200,060855,82000,-200,82500,81500,BID,100,-0.24,77,1155100000,14100
82200,060845,82000,-200,82500,81500,BID,100,-0.24,76,1146900000,14000
82200,060924,82000,-200,82500,81500,BID,100,-0.24,78,1163300000,14200
82200,060936,82000,-200,82500,81500,BID,100,-0.24,79,1171500000,14300
82200,060947,82000,-200,82500,81500,BID,100,-0.24,80,1179700000,14400
82200,061025,82000,-200,82500,81500,BID,100,-0.24,81,1187900000,14500
82200,061051,82000,-200,82500,81500,BID,100,-0.24,82,1196100000,14600
82200,061125,82000,-200,82500,81500,BID,100,-0.24,83,1204300000,14700
82200,062015,82000,-200,82500,81500,BID,100,-0.24,84,1212500000,14800
82200,062630,82000,-200,82500,81500,BID,100,-0.24,85,1220700000,14900
82200,062927,81700,-500,82500,81500,ASK,100,-0.61,86,1228900000,15000
82200,063026,81600,-600,82500,81500,ASK,100,-0.73,89,1261580000,15400
82200,063026,81700,-500,82500,81500,BID,100,-0.61,88,1237070000,15100
82200,063026,81700,-500,82500,81500,BID,200,-0.61,88,1245240000,15200
82200,063107,81600,-600,82500,81500,ASK,100,-0.73,90,1269740000,15500
82200,063750,82000,-200,82500,81500,BID,100,-0.24,91,1277900000,15600
82200,064519,81600,-600,82500,81500,ASK,100,-0.73,92,1286100000,15700
82200,064539,81600,-600,82500,81500,ASK,100,-0.73,93,1294260000,15800
82200,064648,81600,-600,82500,81500,ASK,100,-0.73,94,1302420000,15900
82200,065019,82000,-200,82500,81500,BID,100,-0.24,95,1310580000,16000
82200,065412,82000,-200,82500,81500,BID,100,-0.24,96,1318780000,16100
