o,t,c,ch,h,l,mb,mv,ra,se,va,vo
12200,021528,12250,50,12250,12200,BID,2000,0.41,2,1681160000,137800
12200,021527,12200,0,12200,12200,UNKNOWN,137800,0.0,1,0,0
12200,021549,12250,50,12250,12200,BID,15500,0.41,256700000060,1711785000,140300
12200,021549,12250,50,12250,12200,BID,500,0.41,256700000059,1705660000,139800
12250,021606,12250,50,12250,12200,BID,300,0.41,8,2173610000,178000
12250,021606,12250,50,12250,12200,BID,3100,0.41,8,2133185000,174700
12250,021606,12250,50,12250,12200,BID,1200,0.41,8,2179735000,178500
12250,021606,12250,50,12250,12200,BID,100,0.41,8,2172385000,177900
12250,021606,12250,50,12250,12200,BID,200,0.41,8,2177285000,178300
12250,021606,12250,50,12250,12200,BID,100,0.41,8,2171160000,177800
12250,021606,12250,50,12250,12200,BID,1000,0.41,2,2120935000,173700
12250,021605,12250,50,12250,12200,BID,100,0.41,1,0,139800
12200,021603,12250,50,12250,12200,BID,1000,0.41,256700000064,2107460000,172600
12200,021601,12250,50,12250,12200,BID,2000,0.41,256700000063,2082960000,170600
12200,021600,12250,50,12250,12200,BID,10000,0.41,256700000062,1960460000,160600
12200,021557,12250,50,12250,12200,BID,4800,0.41,256700000061,1901660000,155800
12250,021616,12250,50,12250,12200,BID,3000,0.41,15,2298560000,188200
12250,021616,12250,50,12250,12200,BID,1900,0.41,15,2234860000,183000
12250,021616,12250,50,12250,12200,BID,3300,0.41,15,2258135000,184900
12250,021616,12250,50,12250,12200,BID,500,0.41,15,2335310000,191200
12250,021614,12250,50,12250,12200,BID,1400,0.41,11,2217710000,181600
12250,021613,12250,50,12250,12200,BID,900,0.41,10,2206685000,180700
12250,021611,12250,50,12250,12200,BID,1000,0.41,9,2194435000,179700
12250,021640,12250,50,12250,12200,ASK,100,0.41,18,2348785000,192300
12250,021634,12250,50,12250,12200,ASK,100,0.41,17,2347560000,192200
12250,021629,12250,50,12250,12200,ASK,500,0.41,16,2341435000,191700
12250,021700,12300,100,12300,12200,BID,20000,0.82,21,2417385000,197900
12250,021652,12250,50,12250,12200,ASK,5000,0.41,20,2356135000,192900
12250,021647,12250,50,12250,12200,ASK,500,0.41,19,2350010000,192400
12250,021718,12300,100,12300,12200,BID,600,0.82,25,2776545000,227100
12250,021717,12300,100,12300,12200,BID,1000,0.82,24,2764245000,226100
12250,021716,12300,100,12300,12200,BID,5000,0.82,23,2702745000,221100
12250,021713,12300,100,12300,12200,BID,3200,0.82,22,2663385000,217900
12250,021744,12300,100,12300,12200,BID,2200,0.82,43,3298065000,269500
12250,021735,12300,100,12300,12200,BID,2800,0.82,42,3263625000,266700
12250,021735,12300,100,12300,12200,BID,4600,0.82,42,3175065000,259500
12250,021735,12300,100,12300,12200,BID,2600,0.82,42,3231645000,264100
12250,021733,12300,100,12300,12200,BID,400,0.82,39,3170145000,259100
12250,021733,12300,100,12300,12200,BID,1000,0.82,39,3149235000,257400
12250,021733,12300,100,12300,12200,BID,1000,0.82,39,3136935000,256400
12250,021733,12300,100,12300,12200,BID,100,0.82,39,3167685000,258900
12250,021733,12300,100,12300,12200,BID,200,0.82,39,3161535000,258400
12250,021733,12300,100,12300,12200,BID,100,0.82,39,3168915000,259000
12250,021733,12300,100,12300,12200,BID,300,0.82,39,3163995000,258600
12250,021732,12300,100,12300,12200,BID,1000,0.82,33,3124635000,255400
12250,021730,12300,100,12300,12200,BID,8800,0.82,32,3016395000,246600
12250,021730,12300,100,12300,12200,BID,200,0.82,32,3007785000,245900
12250,021730,12300,100,12300,12200,BID,7500,0.82,32,2878635000,235400
12250,021730,12300,100,12300,12200,BID,1000,0.82,32,2995485000,244900
12250,021730,12300,100,12300,12200,BID,500,0.82,32,3010245000,246100
12250,021730,12300,100,12300,12200,BID,2000,0.82,32,2970885000,242900
12250,021729,12300,100,12300,12200,BID,7700,0.82,26,2783925000,227700
12250,021759,12300,100,12300,12200,ASK,200,0.82,54,3459195000,282600
12250,021759,12300,100,12300,12200,ASK,400,0.82,53,3454275000,282200
12250,021756,12300,100,12300,12200,BID,300,0.82,52,3450585000,281900
12250,021755,12300,100,12300,12200,BID,500,0.82,51,3444435000,281400
12250,021754,12300,100,12300,12200,BID,500,0.82,50,3386625000,276700
12250,021754,12300,100,12300,12200,ASK,900,0.82,50,3433365000,280500
12250,021754,12300,100,12300,12200,ASK,3300,0.82,50,3392775000,277200
12250,021753,12300,100,12300,12200,BID,500,0.82,47,3380475000,276200
12250,021752,12300,100,12300,12200,BID,600,0.82,46,3373095000,275600
12250,021745,12300,100,12300,12200,ASK,3800,0.82,45,3325125000,271700
12250,021745,12300,100,12300,12200,ASK,100,0.82,45,3371865000,275500
12250,021814,12350,150,12350,12200,BID,2800,1.23,75,4687465000,382800
12250,021814,12250,50,12300,12200,BID,47200,0.41,74,4109265000,335600
12250,021808,12250,50,12300,12200,ASK,1400,0.41,73,4074965000,332800
12250,021808,12250,50,12300,12200,ASK,900,0.41,73,4092115000,334200
12250,021808,12250,50,12300,12200,ASK,500,0.41,73,4103140000,335100
12250,021804,12250,50,12300,12200,ASK,3600,0.41,70,4030865000,329200
12250,021804,12250,50,12300,12200,ASK,2900,0.41,69,3995340000,326300
12250,021804,12250,50,12300,12200,ASK,900,0.41,69,3984315000,325400
12250,021804,12250,50,12300,12200,ASK,300,0.41,69,3980640000,325100
12250,021804,12250,50,12300,12200,ASK,5000,0.41,67,3919390000,320100
12250,021804,12250,50,12300,12200,ASK,3000,0.41,67,3882640000,317100
12250,021804,12250,50,12300,12200,ASK,2900,0.41,67,3847115000,314200
12250,021804,12300,100,12300,12200,ASK,5100,0.82,63,3461655000,282800
12250,021804,12250,50,12300,12200,ASK,2000,0.41,63,3801790000,310500
12250,021804,12250,50,12300,12200,ASK,10500,0.41,63,3660915000,299000
12250,021804,12250,50,12300,12200,ASK,1000,0.41,63,3789540000,309500
12250,021804,12250,50,12300,12200,ASK,1700,0.41,63,3826290000,312500
12250,021804,12300,100,12300,12200,ASK,1000,0.82,63,3548985000,289900
12250,021804,12300,100,12300,12200,ASK,8100,0.82,63,3561285000,290900
12250,021804,12300,100,12300,12200,ASK,1000,0.82,63,3536685000,288900
12250,021804,12300,100,12300,12200,ASK,1000,0.82,63,3524385000,287900
12250,021835,12300,100,12350,12200,BID,25100,0.82,81,5095965000,416000
12250,021835,12300,100,12350,12200,BID,400,0.82,81,5091045000,415600
12250,021835,12300,100,12350,12200,BID,24500,0.82,79,4789695000,391100
12250,021832,12300,100,12350,12200,BID,500,0.82,78,4783545000,390600
12250,021828,12300,100,12350,12200,BID,2000,0.82,77,4758945000,388600
12250,021826,12300,100,12350,12200,ASK,3000,0.82,76,4722045000,385600
12250,021847,12300,100,12350,12200,BID,2000,0.82,90,5547375000,452700
12250,021847,12300,100,12350,12200,BID,300,0.82,89,5543685000,452400
12250,021843,12300,100,12350,12200,BID,4100,0.82,88,5493255000,448300
12250,021843,12300,100,12350,12200,BID,900,0.82,88,5482185000,447400
12250,021842,12300,100,12350,12200,ASK,1300,0.82,86,5466195000,446100
12250,021841,12300,100,12350,12200,BID,100,0.82,85,5464965000,446000
12250,021841,12300,100,12350,12200,BID,600,0.82,85,5457585000,445400
12250,021841,12300,100,12350,12200,BID,3000,0.82,83,5420685000,442400
12250,021836,12300,100,12350,12200,BID,1300,0.82,82,5404695000,441100
12250,021902,12300,100,12350,12200,BID,200,0.82,92,5578125000,455200
12250,021858,12300,100,12350,12200,BID,500,0.82,91,5571975000,454700
12250,021930,12300,100,12350,12200,BID,1000,0.82,96,5602725000,457200
12250,021923,12300,100,12350,12200,BID,600,0.82,95,5595345000,456600
12250,021918,12300,100,12350,12200,BID,700,0.82,94,5580585000,455400
12250,021918,12300,100,12350,12200,BID,500,0.82,94,5589195000,456100
12250,021949,12250,50,12350,12200,ASK,100,0.41,98,5617485000,458400
12250,021948,12300,100,12350,12200,BID,200,0.82,97,5615025000,458200
12250,022011,12250,50,12350,12200,ASK,200,0.41,101,5656835000,461600
12250,021958,12250,50,12350,12200,ASK,100,0.41,100,5655610000,461500
12250,021957,12300,100,12350,12200,BID,300,0.82,99,5651920000,461200
12250,021957,12300,100,12350,12200,BID,2700,0.82,99,5618710000,458500
12250,022021,12250,50,12350,12200,ASK,600,0.41,107,5688685000,464200
12250,022021,12250,50,12350,12200,ASK,900,0.41,107,5671535000,462800
12250,022021,12250,50,12350,12200,ASK,500,0.41,107,5682560000,463700
12250,022015,12250,50,12350,12200,ASK,100,0.41,104,5669085000,462600
12250,022015,12250,50,12350,12200,ASK,100,0.41,104,5670310000,462700
12250,022015,12250,50,12350,12200,ASK,100,0.41,104,5667860000,462500
12250,022015,12250,50,12350,12200,ASK,700,0.41,104,5659285000,461800
12250,022035,12300,100,12350,12200,BID,2000,0.82,108,5696035000,464800
12250,022107,12300,100,12350,12200,BID,500,0.82,117,6117325000,499100
12250,022105,12300,100,12350,12200,BID,200,0.82,116,6114865000,498900
12250,022100,12250,50,12350,12200,ASK,300,0.41,115,5996040000,489200
12250,022100,12250,50,12350,12200,ASK,400,0.41,115,5967865000,486900
12250,022100,12250,50,12350,12200,ASK,100,0.41,115,5999715000,489500
12250,022100,12250,50,12350,12200,ASK,900,0.41,115,5972765000,487300
12250,022100,12250,50,12350,12200,ASK,9300,0.41,115,6000940000,489600
12250,022100,12250,50,12350,12200,ASK,1000,0.41,115,5983790000,488200
12250,022056,12300,100,12350,12200,BID,100,0.82,110,5966635000,486800
12250,022052,12300,100,12350,12200,BID,20000,0.82,109,5720635000,466800
12250,022114,12300,100,12350,12200,BID,200,0.82,118,6123475000,499600
12250,022139,12300,100,12350,12200,BID,1500,0.82,135,6556435000,534800
12250,022139,12300,100,12350,12200,BID,7300,0.82,135,6589645000,537500
12250,022139,12300,100,12350,12200,BID,1000,0.82,135,6574885000,536300
12250,022139,12300,100,12350,12200,BID,100,0.82,135,6588415000,537400
12250,022139,12300,100,12350,12200,BID,100,0.82,135,6587185000,537300
12250,022135,12300,100,12350,12200,BID,11600,0.82,130,6413755000,523200
12250,022135,12300,100,12350,12200,BID,500,0.82,130,6407605000,522700
12250,022135,12300,100,12350,12200,BID,900,0.82,130,6396535000,521800
12250,022135,12300,100,12350,12200,BID,3000,0.82,127,6359635000,518800
12250,022135,12300,100,12350,12200,BID,1000,0.82,127,6347335000,517800
12250,022135,12300,100,12350,12200,BID,1000,0.82,127,6307975000,514600
12250,022135,12300,100,12350,12200,BID,2000,0.82,127,6322735000,515800
12250,022135,12300,100,12350,12200,BID,100,0.82,127,6321505000,515700
12250,022135,12300,100,12350,12200,BID,100,0.82,127,6306745000,514500
12250,022135,12300,100,12350,12200,BID,100,0.82,127,6320275000,515600
12250,022135,12300,100,12350,12200,BID,4700,0.82,127,6248935000,509800
12250,022130,12300,100,12350,12200,BID,10000,0.82,119,6125935000,499800
12250,022159,12300,100,12350,12200,ASK,100,0.82,147,7136995000,582000
12250,022158,12300,100,12350,12200,ASK,500,0.82,146,7130845000,581500
12250,022157,12300,100,12350,12200,ASK,1000,0.82,145,7118545000,580500
12250,022153,12300,100,12350,12200,BID,800,0.82,144,7012765000,571900
12250,022153,12300,100,12350,12200,BID,1000,0.82,144,7106245000,579500
12250,022153,12300,100,12350,12200,BID,800,0.82,144,7096405000,578700
12250,022153,12300,100,12350,12200,BID,1000,0.82,144,7022605000,572700
12250,022153,12300,100,12350,12200,BID,5000,0.82,144,7034905000,573700
12250,022153,12300,100,12350,12200,BID,7200,0.82,144,6924205000,564700
12250,022153,12300,100,12350,12200,BID,100,0.82,144,6922975000,564600
12250,022153,12300,100,12350,12200,BID,1000,0.82,137,6910675000,563600
