o,t,c,ch,h,l,mb,mv,ra,se,va,vo
191000,021643,191000,0,191000,191000,BID,100,0,1,0,0
191000,021934,190900,-100,191000,190900,BID,100,-0.05,3,114550000,600
191000,021934,190900,-100,191000,190900,BID,500,-0.05,3,19100000,100
191000,022026,190900,-100,191000,190900,ASK,300,-0.05,4,133640000,700
191000,022038,190900,-100,191000,190900,BID,400,-0.05,5,190910000,1000
191000,022304,190900,-100,191000,190900,BID,100,-0.05,6,267270000,1400
191000,022330,190900,-100,191000,190900,BID,400,-0.05,8,305450000,1600
191000,022330,190900,-100,191000,190900,BID,100,-0.05,8,286360000,1500
191000,022409,190900,-100,191000,190900,BID,100,-0.05,11,400900000,2100
191000,022409,190900,-100,191000,190900,BID,200,-0.05,11,419990000,2200
191000,022409,190900,-100,191000,190900,BID,100,-0.05,11,381810000,2000
191000,023151,190900,-100,191000,190900,ASK,100,-0.05,15,515440000,2700
191000,023150,190900,-100,191000,190900,ASK,100,-0.05,15,458170000,2400
191000,023150,190900,-100,191000,190900,ASK,100,-0.05,15,477260000,2500
191000,023151,190900,-100,191000,190900,ASK,100,-0.05,15,496350000,2600
191000,023257,191000,0,191000,190900,BID,100,0.0,21,668230000,3500
191000,023257,191000,0,191000,190900,BID,200,0.0,21,630030000,3300
191000,023257,191000,0,191000,190900,BID,200,0.0,21,591830000,3100
191000,023257,191000,0,191000,190900,BID,100,0.0,21,534530000,2800
191000,023257,191000,0,191000,190900,BID,100,0.0,21,572730000,3000
191000,023257,191000,0,191000,190900,BID,100,0.0,21,553630000,2900
191000,023318,190900,-100,191000,190900,ASK,100,-0.05,22,687330000,3600
191000,023405,191000,0,191000,190900,BID,100,0.0,23,706420000,3700
191000,023900,191000,0,191000,190900,ASK,300,0.0,3,1317620000,6900
191000,023900,191000,0,191000,190900,ASK,2100,0.0,3,0,3800
191000,023900,191000,0,191000,190900,ASK,1000,0.0,3,1126620000,5900
191000,023906,191000,0,191000,190900,BID,200,0.0,4,1374920000,7200
191000,023928,191000,0,191000,190900,BID,200,0.0,5,1413120000,7400
191000,023950,191000,0,191000,190900,BID,200,0.0,7,1451320000,7600
191000,023950,191000,0,191000,190900,BID,2000,0.0,7,1489520000,7800
191000,024018,191000,0,191000,190900,BID,200,0.0,8,1871520000,9800
191000,024039,191000,0,191000,190900,ASK,500,0.0,12,2368120000,12400
191000,024031,191000,0,191000,190900,BID,2000,0.0,11,1986120000,10400
191000,024031,191000,0,191000,190900,BID,100,0.0,10,1967020000,10300
191000,024031,191000,0,191000,190900,BID,300,0.0,10,1909720000,10000
191000,024051,190900,-100,191000,190900,ASK,200,-0.05,15,2501820000,13100
191000,024051,190900,-100,191000,190900,ASK,100,-0.05,15,2540000000,13300
191000,024047,191000,0,191000,190900,ASK,200,0.0,13,2463620000,12900
191000,024205,191000,0,191000,190900,BID,100,0.0,17,2578190000,13500
191000,024205,191000,0,191000,190900,BID,100,0.0,17,2559090000,13400
191000,024218,191000,0,191000,190900,BID,200,0.0,18,2597290000,13600
191000,024544,190800,-200,191000,190800,BID,200,-0.1,19,2635490000,13800
191000,024932,190700,-300,191000,190700,BID,200,-0.16,20,2673650000,14000
191000,025000,191000,0,191000,190700,BID,100,0.0,22,2730880000,14300
191000,024959,190900,-100,191000,190700,BID,100,-0.05,21,2711790000,14200
191000,025228,190900,-100,191000,190700,BID,200,-0.05,23,2749980000,14400
191000,025249,190900,-100,191000,190700,BID,100,-0.05,26,2826340000,14800
191000,025249,191000,0,191000,190700,BID,100,0.0,26,2845430000,14900
191000,025238,190900,-100,191000,190700,BID,200,-0.05,24,2788160000,14600
191000,025309,190900,-100,191000,190700,BID,200,-0.05,27,2864530000,15000
191000,025317,190900,-100,191000,190700,BID,200,-0.05,28,2902710000,15200
191000,030548,191000,0,191000,190700,BID,100,0.0,31,2959980000,15500
191000,030548,191000,0,191000,190700,BID,2000,0.0,31,2979080000,15600
191000,030548,190900,-100,191000,190700,BID,100,-0.05,30,2940890000,15400
191000,031129,190900,-100,191000,190700,BID,500,-0.05,34,3361080000,17600
191000,031129,191000,0,191000,190700,BID,100,0.0,34,3456530000,18100
191000,031129,191000,0,191000,190700,BID,1400,0.0,34,3475630000,18200
191000,031209,191000,0,191000,190700,BID,600,0.0,36,3743030000,19600
191000,031209,191000,0,191000,190700,BID,400,0.0,36,3857630000,20200
191000,033151,191000,0,191000,190600,BID,900,0.0,40,4716930000,24700
191000,033151,190600,-400,191000,190600,BID,500,-0.21,40,3934030000,20600
191000,033151,191000,0,191000,190600,BID,1600,0.0,40,4029330000,21100
191000,033151,191000,0,191000,190600,BID,2000,0.0,40,4334930000,22700
191000,033306,191000,0,191000,190600,BID,200,0.0,41,4888830000,25600
191000,033324,191000,0,191000,190600,BID,200,0.0,43,4965230000,26000
191000,033313,191000,0,191000,190600,BID,200,0.0,42,4927030000,25800
191000,033339,190900,-100,191000,190600,BID,200,-0.05,44,5003430000,26200
191000,034158,190600,-400,191000,190600,ASK,100,-0.21,45,5041610000,26400
191000,034448,190900,-100,191000,190600,BID,100,-0.05,46,5060670000,26500
191000,034509,190900,-100,191000,190600,BID,100,-0.05,47,5079760000,26600
191000,034540,190900,-100,191000,190600,BID,200,-0.05,48,5098850000,26700
191000,034554,190900,-100,191000,190600,BID,100,-0.05,49,5137030000,26900
191000,034746,190600,-400,191000,190600,ASK,100,-0.21,50,5156120000,27000
191000,034751,190600,-400,191000,190600,ASK,100,-0.21,51,5175180000,27100
191000,034815,190500,-500,191000,190500,ASK,100,-0.26,52,5194240000,27200
191000,035743,191000,0,191000,190500,BID,900,0.0,54,5308790000,27800
191000,035743,191000,0,191000,190500,BID,500,0.0,54,5213290000,27300
191000,040018,190100,-900,191000,190100,ASK,500,-0.47,57,5766440000,30200
191000,040018,190500,-500,191000,190500,ASK,100,-0.26,56,5480690000,28700
191000,040018,190500,-500,191000,190500,ASK,1400,-0.26,56,5499740000,28800
191000,040417,191000,0,191000,190100,BID,300,0.0,59,6071590000,31800
191000,040417,191000,0,191000,190100,BID,1100,0.0,59,5861490000,30700
191000,040446,190100,-900,191000,190100,ASK,100,-0.47,60,6128890000,32100
191000,040453,190100,-900,191000,190100,ASK,100,-0.47,62,6166910000,32300
191000,040449,190100,-900,191000,190100,ASK,100,-0.47,61,6147900000,32200
191000,040717,191000,0,191000,190100,BID,1300,0.0,63,6185920000,32400
191000,041017,191000,0,191000,190100,BID,400,0.0,67,6434220000,33700
191000,041017,191000,0,191000,190100,BID,200,0.0,67,6529720000,34200
191000,041017,191000,0,191000,190100,BID,700,0.0,67,6567920000,34400
191000,041017,191000,0,191000,190100,BID,100,0.0,67,6510620000,34100
191000,041317,191000,0,191000,190100,BID,1300,0.0,69,6701620000,35100
191000,041317,191000,0,191000,190100,BID,100,0.0,69,6949920000,36400
191000,041424,191000,0,191000,190100,BID,1900,0.0,71,6969020000,36500
191000,041424,191000,0,191000,190100,BID,200,0.0,71,7331920000,38400
191000,041617,191000,0,191000,190100,BID,1400,0.0,72,7370120000,38600
191000,041638,190500,-500,191000,190100,ASK,100,-0.26,73,7637520000,40000
191000,041820,190500,-500,191000,190100,ASK,200,-0.26,74,7656570000,40100
191000,041917,191000,0,191000,190100,BID,600,0.0,75,7694670000,40300
191000,042048,191000,0,191000,190100,ASK,800,0.0,77,7809270000,40900
191000,042048,191000,0,191000,190100,ASK,100,0.0,77,7962070000,41700
191000,042217,191000,0,191000,190100,BID,1100,0.0,78,7981170000,41800
191000,042252,191000,0,191000,190100,ASK,300,0.0,79,8191270000,42900
191000,042432,190500,-500,191000,190100,ASK,2000,-0.26,80,8248570000,43200
191000,042451,190500,-500,191000,190100,ASK,1300,-0.26,82,8762920000,45900
191000,042451,190500,-500,191000,190100,ASK,700,-0.26,82,8629570000,45200
191000,042518,191000,0,191000,190100,BID,100,0.0,83,9010570000,47200
191000,042521,190500,-500,191000,190100,ASK,1400,-0.26,84,9029670000,47300
191000,060101,190500,-500,191000,190100,BID,400,-0.26,85,9296370000,48700
191000,060203,190500,-500,191000,190100,BID,200,-0.26,86,9372570000,49100
191000,060337,190600,-400,191000,190100,BID,100,-0.21,87,9410670000,49300
191000,060346,190600,-400,191000,190100,BID,100,-0.21,88,9429730000,49400
