o,t,c,ch,h,l,mb,mv,ra,se,va,vo
24650,021528,24650,0,24650,24650,UNKNOWN,121400,0,1,0,0
24650,021543,24700,50,24700,24650,BID,1000,0.2,2,2992510000,121400
24700,021607,24800,150,24800,24650,BID,3500,0.61,2,3037050000,123200
24700,021606,24800,150,24800,24650,BID,100,0.61,1,0,122400
24650,021600,24800,150,24800,24650,BID,400,0.61,2500000044,3024650000,122700
24650,021600,24800,150,24800,24650,BID,300,0.61,2500000043,3017210000,122400
24700,021711,24850,200,24850,24650,BID,1000,0.81,3,3123850000,126700
24700,021728,24850,200,24850,24650,BID,100,0.81,7,3409625000,138200
24700,021727,24850,200,24850,24650,BID,3500,0.81,6,3322650000,134700
24700,021727,24850,200,24850,24650,BID,1500,0.81,6,3285375000,133200
24700,021727,24850,200,24850,24650,BID,5500,0.81,4,3148700000,127700
24700,021747,24800,150,24850,24650,ASK,2000,0.61,22,3990025000,161600
24700,021747,24800,150,24850,24650,ASK,5400,0.61,22,3856105000,156200
24700,021745,24850,200,24850,24650,BID,1400,0.81,20,3821315000,154800
24700,021743,24850,200,24850,24650,BID,100,0.81,19,3818830000,154700
24700,021740,24800,150,24850,24650,ASK,1200,0.61,18,3789070000,153500
24700,021736,24800,150,24850,24650,ASK,400,0.61,17,3779150000,153100
24700,021736,24800,150,24850,24650,ASK,3000,0.61,16,3630350000,147100
24700,021736,24800,150,24850,24650,ASK,1000,0.61,16,3528670000,143000
24700,021736,24800,150,24850,24650,ASK,1000,0.61,16,3555950000,144100
24700,021736,24800,150,24850,24650,ASK,3000,0.61,16,3704750000,150100
24700,021736,24800,150,24850,24650,ASK,2000,0.61,16,3580750000,145100
24700,021736,24800,150,24850,24650,ASK,1000,0.61,16,3503870000,142000
24700,021736,24800,150,24850,24650,ASK,3000,0.61,16,3429470000,139000
24700,021736,24800,150,24850,24650,ASK,100,0.61,16,3553470000,144000
24700,021736,24800,150,24850,24650,ASK,700,0.61,16,3412110000,138300
24700,021811,24800,150,24850,24650,BID,2500,0.61,23,4039625000,163600
24700,021826,24800,150,24850,24650,BID,2000,0.61,25,4104095000,166200
24700,021817,24700,50,24850,24650,ASK,100,0.2,24,4101625000,166100
24700,021841,24800,150,24850,24650,BID,10000,0.61,26,4153695000,168200
24700,021855,24800,150,24850,24650,BID,200,0.61,31,4614975000,186800
24700,021855,24800,150,24850,24650,BID,2600,0.61,31,4619935000,187000
24700,021855,24800,150,24850,24650,BID,1000,0.61,31,4590175000,185800
24700,021855,24800,150,24850,24650,BID,500,0.61,31,4684415000,189600
24700,021855,24800,150,24850,24650,BID,7600,0.61,31,4401695000,178200
24700,021924,24850,200,24850,24650,BID,3200,0.81,32,4696815000,190100
24700,021943,24850,200,24850,24650,BID,200,0.81,34,4903070000,198400
24700,021942,24850,200,24850,24650,BID,5100,0.81,33,4776335000,193300
24700,021959,24850,200,24850,24650,BID,4000,0.81,35,4908040000,198600
24700,022026,24800,150,24850,24650,ASK,1000,0.61,41,5277760000,213500
24700,022026,24800,150,24850,24650,ASK,100,0.61,41,5275280000,213400
24700,022026,24800,150,24850,24650,ASK,500,0.61,39,5262880000,212900
24700,022026,24800,150,24850,24650,ASK,8100,0.61,38,5007440000,202600
24700,022026,24800,150,24850,24650,ASK,200,0.61,38,5257920000,212700
24700,022026,24800,150,24850,24650,ASK,2000,0.61,38,5208320000,210700
24700,022041,24800,150,24850,24650,BID,3300,0.61,42,5302560000,214500
24700,022100,24850,200,24850,24650,BID,400,0.81,45,5438960000,220000
24700,022051,24800,150,24850,24650,ASK,500,0.61,44,5426560000,219500
24700,022051,24800,150,24850,24650,ASK,1700,0.61,44,5384400000,217800
24700,022136,24850,200,24850,24650,BID,100,0.81,47,5451380000,220500
24700,022134,24800,150,24850,24650,ASK,100,0.61,46,5448900000,220400
24700,022155,24850,200,24850,24650,BID,9400,0.81,48,5453865000,220600
24700,022212,24850,200,24850,24650,BID,1000,0.81,63,6104935000,246800
24700,022212,24850,200,24850,24650,BID,1500,0.81,63,6129785000,247800
24700,022212,24850,200,24850,24650,BID,500,0.81,63,6087540000,246100
