o,t,c,ch,h,l,mb,mv,ra,se,va,vo
21250,021528,21250,350,21250,21250,UNKNOWN,48800,1.67,1,0,0
21250,021546,21100,200,21250,21100,ASK,7900,0.96,41700000048,1089770000,51300
21250,021546,21100,200,21250,21100,ASK,2000,0.96,41700000047,1047570000,49300
21250,021546,21100,200,21250,21100,ASK,100,0.96,41700000046,1045460000,49200
21250,021543,21100,200,21250,21100,ASK,200,0.96,4,1041240000,49000
21250,021543,21200,300,21250,21200,ASK,100,1.44,4,1039120000,48900
21250,021530,21200,300,21250,21200,ASK,100,1.44,2,1037000000,48800
21250,021602,21100,200,21250,21100,ASK,15000,0.96,41700000049,1256460000,59200
21100,021631,21100,200,21250,21100,ASK,3900,0.96,1,0,49200
21100,021718,21150,250,21250,21100,ASK,100,1.2,2,1655250000,78100
21100,021736,21200,300,21250,21100,BID,2600,1.44,4,1659480000,78300
21100,021725,21150,250,21250,21100,ASK,100,1.2,3,1657365000,78200
21100,021751,21200,300,21250,21100,BID,2000,1.44,5,1714600000,80900
21100,021815,21200,300,21250,21100,ASK,10000,1.44,10,2403600000,113400
21100,021801,21200,300,21250,21100,BID,25000,1.44,9,1871480000,88300
21100,021801,21200,300,21250,21100,BID,100,1.44,9,2401480000,113300
21100,021801,21200,300,21250,21100,BID,5000,1.44,8,1765480000,83300
21100,021801,21200,300,21250,21100,BID,400,1.44,7,1757000000,82900
21100,021831,21250,350,21250,21100,BID,200,1.67,17,2981100000,140600
21100,021831,21250,350,21250,21100,BID,2600,1.67,17,2985350000,140800
21100,021831,21250,350,21250,21100,BID,2000,1.67,15,2896100000,136600
21100,021831,21250,350,21250,21100,BID,2000,1.67,15,2938600000,138600
21100,021831,21250,350,21250,21100,BID,8200,1.67,14,2721850000,128400
21100,021824,21250,350,21250,21100,BID,1800,1.67,12,2683600000,126600
21100,021824,21250,350,21250,21100,BID,3200,1.67,12,2615600000,123400
21100,021909,21200,300,21250,21100,ASK,4500,1.44,18,3040600000,143400
21100,021916,21250,350,21250,21100,BID,100,1.67,19,3136000000,147900
21100,021949,21250,350,21250,21100,BID,100,1.67,25,3261375000,153800
21100,021949,21250,350,21250,21100,BID,1000,1.67,25,3263500000,153900
21100,021949,21250,350,21250,21100,BID,3800,1.67,25,3284750000,154900
21100,021949,21250,350,21250,21100,BID,100,1.67,25,3259250000,153700
21100,021942,21250,350,21250,21100,BID,1900,1.67,21,3218875000,151800
21100,021942,21250,350,21250,21100,BID,3800,1.67,21,3138125000,148000
21100,022005,21200,300,21250,21100,ASK,100,1.44,26,3365500000,158700
21100,022022,21250,350,21250,21100,BID,200,1.67,28,3369745000,158900
21100,022020,21250,350,21250,21100,BID,100,1.67,27,3367620000,158800
21100,022039,21250,350,21250,21100,BID,100,1.67,31,3393120000,160000
21100,022039,21250,350,21250,21100,BID,100,1.67,31,3390995000,159900
21100,022038,21250,350,21250,21100,BID,800,1.67,29,3373995000,159100
21100,022109,21250,350,21250,21100,BID,2100,1.67,34,3478120000,164000
21100,022109,21250,350,21250,21100,BID,1000,1.67,34,3456870000,163000
21100,022109,21250,350,21250,21100,BID,2900,1.67,34,3395245000,160100
21100,022139,21250,350,21250,21100,BID,3000,1.67,35,3522745000,166100
21100,022146,21250,350,21250,21100,BID,100,1.67,36,3586495000,169100
21100,022212,21250,350,21250,21100,BID,100,1.67,37,3588620000,169200
21100,022256,21250,350,21250,21100,BID,300,1.67,39,3605620000,170000
21100,022256,21250,350,21250,21100,BID,700,1.67,39,3590745000,169300
21100,022334,21250,350,21250,21100,BID,100,1.67,40,3611995000,170300
21100,022445,21200,300,21250,21100,ASK,100,1.44,41,3614120000,170400
21100,022504,21200,300,21250,21100,ASK,5000,1.44,52,4146240000,195500
21100,022449,21200,300,21250,21100,ASK,3700,1.44,51,4067800000,191800
21100,022449,21200,300,21250,21100,ASK,300,1.44,51,4061440000,191500
21100,022449,21200,300,21250,21100,ASK,3000,1.44,51,3987240000,188000
21100,022449,21200,300,21250,21100,ASK,500,1.44,51,4050840000,191000
21100,022449,21200,300,21250,21100,ASK,500,1.44,51,3976640000,187500
21100,022449,21200,300,21250,21100,ASK,10000,1.44,51,3658640000,172500
21100,022449,21200,300,21250,21100,ASK,1000,1.44,51,3624720000,170900
21100,022449,21200,300,21250,21100,ASK,600,1.44,49,3645920000,171900
21100,022449,21200,300,21250,21100,ASK,5000,1.44,51,3870640000,182500
21100,022449,21200,300,21250,21100,ASK,400,1.44,45,3616240000,170500
21100,022509,21200,300,21250,21100,BID,2700,1.44,56,4281920000,201900
21100,022507,21200,300,21250,21100,ASK,100,1.44,55,4279800000,201800
21100,022507,21200,300,21250,21100,ASK,1200,1.44,55,4254360000,200600
21100,022505,21200,300,21250,21100,ASK,100,1.44,53,4252240000,200500
21100,022534,21200,300,21250,21100,BID,10000,1.44,60,4462120000,210400
21100,022530,21200,300,21250,21100,BID,500,1.44,59,4451520000,209900
21100,022528,21200,300,21250,21100,ASK,4300,1.44,58,4339160000,204600
21100,022528,21200,300,21250,21100,ASK,1000,1.44,58,4430320000,208900
21100,022635,21200,300,21250,21100,BID,1000,1.44,61,4674120000,220400
21100,022705,21200,300,21250,21100,BID,500,1.44,62,4695320000,221400
21100,022707,21200,300,21250,21100,BID,1500,1.44,63,4705920000,221900
21100,022747,21150,250,21250,21100,ASK,400,1.2,64,4737720000,223400
21100,022833,21150,250,21250,21100,ASK,100,1.2,65,4746180000,223800
21100,022924,21150,250,21250,21100,ASK,700,1.2,73,5219940000,246200
21100,022923,21150,250,21250,21100,ASK,10000,1.2,72,5008440000,236200
21100,022923,21150,250,21250,21100,ASK,1200,1.2,72,4983060000,235000
21100,022923,21150,250,21250,21100,ASK,9300,1.2,70,4748295000,223900
21100,022923,21150,250,21250,21100,ASK,600,1.2,70,4947105000,233300
21100,022923,21150,250,21250,21100,ASK,100,1.2,70,4944990000,233200
21100,022923,21150,250,21250,21100,ASK,1000,1.2,70,4959795000,233900
21100,022923,21150,250,21250,21100,ASK,100,1.2,70,4980945000,234900
21100,022943,21150,250,21250,21100,ASK,500,1.2,76,5262240000,248200
21100,022943,21150,250,21250,21100,ASK,1000,1.2,76,5272815000,248700
21100,022943,21150,250,21250,21100,ASK,1300,1.2,76,5234745000,246900
21100,023022,21150,250,21250,21100,ASK,500,1.2,77,5293965000,249700
