o,t,c,ch,h,l,mb,mv,ra,se,va,vo
76400,021530,76400,0,76400,76400,ASK,100,0,3,649400000,8500
76400,021529,76400,0,76400,76400,ASK,900,0,2,580640000,7600
76400,021528,76400,0,76400,76400,UNKNOWN,7600,0,1,0,0
76400,021550,76400,0,76400,76400,ASK,100,0,380100000035,702880000,9200
76400,021550,76400,0,76400,76400,ASK,100,0,380100000033,679960000,8900
76400,021550,76400,0,76400,76400,ASK,200,0,380100000034,687600000,9000
76400,021544,76400,0,76400,76400,ASK,300,0,4,657040000,8600
76400,021612,76400,0,76400,76400,ASK,100,0,1,0,8900
76400,021625,76400,0,76400,76400,ASK,100,0,7,794560000,10400
76400,021623,76400,0,76400,76400,ASK,100,0,6,786920000,10300
76400,021623,76400,0,76400,76400,ASK,200,0,6,771640000,10100
76400,021623,76400,0,76400,76400,ASK,200,0,6,756360000,9900
76400,021623,76400,0,76400,76400,ASK,100,0,4,748720000,9800
76400,021615,76400,0,76400,76400,ASK,400,0,2,718160000,9400
76400,021650,76400,0,76400,76400,ASK,100,0,8,802200000,10500
76400,021710,76400,0,76400,76400,ASK,200,0,13,993200000,13000
76400,021709,76400,0,76400,76400,ASK,2000,0,12,840400000,11000
76400,021657,76400,0,76400,76400,ASK,100,0,11,832760000,10900
76400,021657,76400,0,76400,76400,ASK,200,0,10,817480000,10700
76400,021657,76400,0,76400,76400,ASK,100,0,10,809840000,10600
76400,021731,76400,0,76400,76400,ASK,200,0,17,1046680000,13700
76400,021731,76400,0,76400,76400,ASK,200,0,17,1031400000,13500
76400,021731,76400,0,76400,76400,ASK,100,0,15,1008480000,13200
76400,021731,76400,0,76400,76400,ASK,200,0,15,1016120000,13300
76400,021755,76400,0,76400,76400,ASK,500,0,18,1061960000,13900
76400,021812,76400,0,76400,76400,ASK,400,0,23,1138360000,14900
76400,021806,76400,0,76400,76400,ASK,100,0,22,1130720000,14800
76400,021804,76400,0,76400,76400,ASK,200,0,21,1107800000,14500
76400,021804,76400,0,76400,76400,ASK,100,0,21,1123080000,14700
76400,021804,76400,0,76400,76400,ASK,100,0,21,1100160000,14400
76400,021838,76400,0,76400,76400,ASK,100,0,27,1207120000,15800
76400,021838,76400,0,76400,76400,ASK,200,0,27,1191840000,15600
76400,021838,76400,0,76400,76400,ASK,200,0,25,1176560000,15400
76400,021838,76400,0,76400,76400,ASK,100,0,25,1168920000,15300
76400,021912,76400,0,76400,76400,ASK,200,0,30,1245320000,16300
76400,021912,76400,0,76400,76400,ASK,200,0,30,1230040000,16100
76400,021912,76400,0,76400,76400,ASK,200,0,28,1214760000,15900
76400,021939,76400,0,76400,76400,ASK,200,0,31,1260600000,16500
76400,021955,76400,0,76400,76400,ASK,500,0,40,1512720000,19800
76400,021950,76400,0,76400,76400,ASK,400,0,39,1482160000,19400
76400,021948,76400,0,76400,76400,ASK,100,0,38,1474520000,19300
76400,021946,76400,0,76400,76400,ASK,100,0,37,1466880000,19200
76400,021945,76400,0,76400,76400,ASK,200,0,36,1451600000,19000
76400,021945,76400,0,76400,76400,ASK,100,0,35,1443960000,18900
76400,021945,76400,0,76400,76400,ASK,100,0,35,1436320000,18800
76400,021943,76400,0,76400,76400,ASK,200,0,33,1421040000,18600
76400,021943,76400,0,76400,76400,ASK,1900,0,32,1275880000,16700
76400,022019,76400,0,76400,76400,ASK,200,0,43,1550920000,20300
76400,022019,76400,0,76400,76400,ASK,100,0,43,1581480000,20700
76400,022019,76400,0,76400,76400,ASK,200,0,43,1566200000,20500
76400,022053,76400,0,76400,76400,ASK,100,0,52,1787760000,23400
76400,022052,76400,0,76400,76400,ASK,100,0,51,1780120000,23300
76400,022052,76400,0,76400,76400,ASK,100,0,51,1757200000,23000
76400,022052,76400,0,76400,76400,ASK,200,0,51,1764840000,23100
76400,022051,76400,0,76400,76400,ASK,200,0,48,1741920000,22800
76400,022051,76400,0,76400,76400,ASK,100,0,47,1711360000,22400
76400,022051,76400,0,76400,76400,ASK,200,0,47,1726640000,22600
76400,022051,76400,0,76400,76400,ASK,100,0,47,1719000000,22500
76400,022051,76400,0,76400,76400,ASK,1600,0,47,1589120000,20800
76400,022106,76400,0,76400,76400,ASK,400,0,60,2039880000,26700
76400,022104,76400,0,76400,76400,ASK,100,0,59,2032240000,26600
76400,022102,76400,0,76400,76400,ASK,100,0,58,2024600000,26500
76400,022101,76400,0,76400,76400,ASK,1000,0,57,1948200000,25500
76400,022059,76400,0,76400,76400,ASK,500,0,56,1910000000,25000
76400,022057,76400,0,76400,76400,ASK,500,0,55,1871800000,24500
76400,022055,76400,0,76400,76400,ASK,100,0,54,1864160000,24400
76400,022055,76400,0,76400,76400,ASK,900,0,53,1795400000,23500
76400,022506,76400,0,76400,76400,BID,100,0,62,2070440000,27100
76400,022506,76400,0,76400,76400,BID,300,0,62,2078080000,27200
76400,022623,76400,0,76400,76400,BID,100,0,63,2101000000,27500
76400,022932,76300,-100,76400,76300,ASK,700,-0.13,64,2108640000,27600
76400,022953,76300,-100,76400,76300,ASK,100,-0.13,68,2200200000,28800
76400,022951,76300,-100,76400,76300,ASK,200,-0.13,67,2177310000,28500
76400,022951,76300,-100,76400,76300,ASK,100,-0.13,67,2192570000,28700
76400,022951,76300,-100,76400,76300,ASK,200,-0.13,67,2162050000,28300
76400,023011,76300,-100,76400,76300,ASK,200,-0.13,71,2261240000,29600
76400,023001,76300,-100,76400,76300,ASK,500,-0.13,70,2223090000,29100
76400,022956,76300,-100,76400,76300,ASK,200,-0.13,69,2207830000,28900
76400,023024,76300,-100,76400,76300,ASK,100,-0.13,78,2451990000,32100
76400,023024,76300,-100,76400,76300,ASK,100,-0.13,78,2459620000,32200
76400,023024,76300,-100,76400,76300,ASK,100,-0.13,76,2444360000,32000
76400,023024,76300,-100,76400,76300,ASK,100,-0.13,76,2436730000,31900
76400,023017,76300,-100,76400,76300,ASK,200,-0.13,74,2421470000,31700
76400,023017,76300,-100,76400,76300,ASK,100,-0.13,73,2413840000,31600
76400,023017,76300,-100,76400,76300,ASK,1800,-0.13,73,2276500000,29800
76400,023049,76300,-100,76400,76300,ASK,400,-0.13,84,2650370000,34700
76400,023049,76300,-100,76400,76300,ASK,1500,-0.13,84,2680890000,35100
76400,023046,76300,-100,76400,76300,ASK,200,-0.13,82,2619850000,34300
76400,023046,76300,-100,76400,76300,ASK,200,-0.13,82,2635110000,34500
76400,023045,76300,-100,76400,76300,ASK,700,-0.13,80,2566440000,33600
76400,023045,76300,-100,76400,76300,ASK,1300,-0.13,80,2467250000,32300
76400,023105,76300,-100,76400,76300,BID,100,-0.13,89,2848750000,37300
76400,023105,76300,-100,76400,76300,BID,100,-0.13,89,2841120000,37200
76400,023104,76300,-100,76400,76300,BID,200,-0.13,87,2825860000,37000
76400,023104,76300,-100,76400,76300,BID,200,-0.13,86,2810600000,36800
76400,023104,76300,-100,76400,76300,BID,200,-0.13,86,2795340000,36600
76400,023132,76300,-100,76400,76300,ASK,200,-0.13,92,2871640000,37600
76400,023132,76300,-100,76400,76300,ASK,200,-0.13,92,2886900000,37800
76400,023132,76300,-100,76400,76300,ASK,200,-0.13,90,2856380000,37400
76400,023205,76300,-100,76400,76300,ASK,100,-0.13,95,2925050000,38300
76400,023205,76300,-100,76400,76300,ASK,200,-0.13,94,2909790000,38100
